{'短评内容': '酒店位置好，但是设施不太好，水不热，冬天洗澡洗脸很不方便', '短评打分': 3}
{'短评内容': '还可以吧，前台服务态度非常好', '短评打分': 5}
{'短评内容': '服务可以，环境一般', '短评打分': 5}
{'短评内容': '年代有点久远的酒店。电视是网络电视，网速快。', '短评打分': 5}
{'短评内容': '酒店还行，环境还可以，非常好找，交通便利，周围就是八里庄，里面有很多小吃，非常的方便，玩的很开心。。', '短评打分': 5}
{'短评内容': '交通便利、服务态度好、卫生干净、住房舒适！', '短评打分': 5}
{'短评内容': '卫生干净，不错?', '短评打分': 5}
{'短评内容': '房间很好，很满意', '短评打分': 5}
{'短评内容': '靠窗晚上有些吵 其他不错', '短评打分': 4}
{'短评内容': '房间整洁，环境舒适', '短评打分': 5}
{'短评内容': '不错啊不错', '短评打分': 5}
{'短评内容': '不错不错啊', '短评打分': 5}
{'短评内容': '不错啊，不错', '短评打分': 5}
{'短评内容': '总体还是可以，酒店比较老，设备过于古老', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '交通很便利，附近就有地铁站和公交站，虽然是比较老的酒店，但环境还不错，服务员态度也很好，就是房间的空调有点不给力，临街房间有点吵~~~', '短评打分': 5}
{'短评内容': '整天还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
