{'descr': '服务很好，酒店也比较干净，交通方便。', 'star': 5}
{'descr': '离市中心有两公里，不是很便利，旁边有家餐馆老奶奶特别好，很热情，吃了两顿，11点多电话催退房了', 'star': 3}
{'descr': '早餐就是普通的早餐，酒店旁边的早餐店不错的', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '早餐还不错比较实惠，每位15元，需要另外出钱。房间设施稍微有点旧，房间不是太大。不过直接办了一张他们家的会员卡。说是以后送早餐。', 'star': 5}
{'descr': '我定了两个房间，因为有老人特意让安排安静的房间，结果给我安排大马路旁的房间，马路车声不说，并且半夜时被隔壁的狗男女吵醒，十一点多电视开的声音特别大，已经提醒过一次，结果到了半夜三点多两个人开始聊天了，这女的不知道是不是被叫来的小姐，这小姐说话声音特别大 把我老人都吵醒了 提醒过之后还继续说，估计是花钱叫来的小姐到了四五点就离开了...这一宿跟没睡一样，到了早上二层又开始装修呵呵...谁来谁遭罪，我', 'star': 2}
{'descr': '酒店还是不错的，就是位置有点偏，每次来大丰都住着，希望以后早餐能丰富点，现在的太简陋了。', 'star': 5}
{'descr': ' ＋ 房间里面烟味有点重，被子上也有烟味，其它的都不错', 'star': 3}
{'descr': '地理位置较偏，但比较安静，房间宽敞明亮卫生，电视较小，总体还是不错。', 'star': 5}
{'descr': '非常好  特别干净，但是就是有点离繁华的地方比较远，当然就比较安静了', 'star': 5}
{'descr': '还可以就是房间太低挺压抑的.', 'star': 3}
{'descr': '店里服务很好，也很整洁，很方便，早餐再丰富一些。', 'star': 5}
{'descr': '大床挺舒服，给好评', 'star': 3}
{'descr': '希望有窗户的房间啊!谢谢啊!', 'star': 3}
{'descr': '经济实惠，交通也挺方便的，以后还会选择入住的。', 'star': 5}
{'descr': '酒店人气蛮高的，房间的隔音很不好，房间的桌面灰尘太多，早餐样式不多~', 'star': 1}
{'descr': '环境不错。早饭也丰富', 'star': 3}
{'descr': '设施陈旧，2市区距离远，服务不好，给人印象不好', 'star': 1}
{'descr': '还好吧 挺干净 也比较安静，就是早餐太简单了', 'star': 5}
{'descr': '，挺方便', 'star': 3}
{'descr': '价廉物美，交通方便，基本功能齐全，卫生环境不错，就是没有早餐．', 'star': 5}
{'descr': '2点不是很满意，网速慢和早餐比较差。其他都不错。', 'star': 5}
{'descr': '房间里头还过的去，隔音太差，隔壁在用普通音量说事情都听的清楚，还有价格太贵，不值', 'star': 3}
{'descr': '挺好的，就有一点，离东风起亚的车间太近，油漆味太重', 'star': 5}
{'descr': '服务不错,很干净.早餐也不错.离着汽车站也不远,比较方便.', 'star': 5}
{'descr': '  房间倒是比较干净，但没有想象中的那么大啊，而且说能上网只是提供网线而已，不像人家提供电脑，还有就是早晨居然停电，也没热水，也不通知，害的我冷死了，虽说不是酒店的原因，但最起码道个歉，打个折总可以吧，一概没有，我去过常州的酒店，比这个房间大环境好的价位都没这个高，此酒店性价比不高。', 'star': 1}
{'descr': '酒店的位置蛮好找的，出行也比较方便，床睡得很舒服，隔音不错，服务很好，周到热情，住宿环境还可以', 'star': 5}
{'descr': '服务员态度很好周到热情，酒店门口打车很好打，早餐很不错，口味好，交通便利', 'star': 5}
{'descr': '酒店靠近河边公园，周边景色还可以，服务很热情，办事效率快，位置好，交通出行方便', 'star': 5}
{'descr': '房间硬件设施很新，很齐全，装修的比较简洁，采光，通风和隔音效果都不错，住着蛮舒服的', 'star': 5}
{'descr': '酒店的房间很大，很宽敞，卫生条件不错，打扫的很干净，服务很好很周到，房间采光很好，比较通透，还可以的酒店', 'star': 5}
{'descr': '房间打扫的很干净，格局都差不多，布置的挺温馨的，设施也比较齐全，感觉不错。', 'star': 5}
{'descr': '周边环境不那么杂乱，显得很安静，不会影响休息，睡眠质量很好。', 'star': 5}
{'descr': '酒店位置还不错，离开市中心最热闹出，只有两个红绿灯', 'star': 5}
{'descr': '住房隔音太差，道路上的汽车噪音和邻房的做爱声均很响', 'star': 1}
{'descr': '在城市入口处，很容易找，房间各项设施都不错。', 'star': 5}
