{'短评内容': '房间的木地板破了，房间还比较暖和，网速不够快，应该说很慢……服务还不错，前台的美女很热情，别的都还比较满意', '短评打分': 5}
{'短评内容': '挺好的，下次去看男朋友还住这里。', '短评打分': 5}
{'短评内容': '一直住在这家，位置好', '短评打分': 5}
{'短评内容': '一个年头很久的汉庭，设施已经跟不上了，服务态度很好，就是觉得真的该装修了', '短评打分': 4}
{'短评内容': '位置好找，前台服务挺热情', '短评打分': 5}
{'短评内容': '分手的地方', '短评打分': 5}
{'短评内容': '说是高级大床房  我咋没看出来   唉   比如家差多了', '短评打分': 3}
{'短评内容': '很干净舒适', '短评打分': 5}
{'短评内容': '服务很好，很安静，态度很好，很周到。', '短评打分': 5}
{'短评内容': '作为快捷酒店，整体的设施已经不错，而且前台的服务也不错的，周边环境不是很好，但是交通还算是比较便利，在二环边上，周边配套商圈也还可以', '短评打分': 4}
{'短评内容': '很干净', '短评打分': 5}
{'短评内容': '很干净', '短评打分': 5}
{'短评内容': '环境好，交通便利就在街边，好找，购物方便，挨着北国商城', '短评打分': 5}
{'短评内容': '环境不错住的非常满意', '短评打分': 5}
{'短评内容': '还不错，舒服干净', '短评打分': 5}
{'短评内容': '酒店设施有点陈旧了 床有点脏 服务态度挺好的', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店环境干净整洁，不错，地理位置也很好，周围很安静，服务员态度也很不错，值得入住。', '短评打分': 5}
{'短评内容': '环境还不错，价格比较合理。附近有个夜市，感觉很好，就是空气质量太差。', '短评打分': 5}
{'短评内容': '房间很干净，前台服务很好。整体感觉房间比较宽敞。', '短评打分': 3}
{'短评内容': '服务很好、环境优雅，交通便利，非常值得推荐', '短评打分': 5}
{'短评内容': '卫生很干净，床铺和被子都很舒服。房间环境也不错，离机场稍远', '短评打分': 5}
