{'descr': '房间比较脏', 'star': 4}
{'descr': '酒店地理位置不错，很好找，周边吃的东西有很多，很方便，酒店设施太差，卫生不好，蟑螂很多，房间很大的。', 'star': 3}
{'descr': '房间还是比较不错，宽敞', 'star': 5}
{'descr': '房间很大，热水也不错', 'star': 5}
{'descr': '不行，楼道间一股味道，酒店房间差的不想说话。', 'star': 3}
{'descr': '挺好的', 'star': 5}
{'descr': '大厅气派，房间超大，还有麻将机，但洗澡水出水小，卫生间里有小强。', 'star': 5}
{'descr': '一般', 'star': 4}
{'descr': '房间挺大的，服务很好，还会再去的', 'star': 3}
{'descr': '酒店旧了点', 'star': 3}
{'descr': '有空调，但是声音很大。\n房间和窗都比较大，只是卫生不太好，毛巾有破洞掉色。\n含早餐，还可以。\n相对价格来讲，不是太推荐', 'star': 1}
{'descr': '房间很大，交通方便，价格有点高，含早可是没机会吃到呵呵呵', 'star': 5}
