{'短评内容': '质量不错，价格比超市便宜', '短评打分': 5}
{'短评内容': '总体感觉不错，489块一晚上还是有点贵，酒店干净卫生，房间大，环境安静，中午12:00要求退房。位置还算可以，出门对面就是工商银行，离地铁站步行10分钟', '短评打分': 4}
{'短评内容': '总体感觉不错，489块一晚上还是有点贵，酒店干净卫生，房间大，环境安静，中午12:00要求退房。位置还算可以，出门对面就是工商银行，离地铁站步行10分钟', '短评打分': 4}
{'短评内容': '房间很大交通方便', '短评打分': 5}
{'短评内容': '房间卫生、设施、空气太差，这么破的房子为什么卖1200多元？室内整体环境不如招待所，为什么这么贵？电梯不能直接上六楼？', '短评打分': 1}
{'短评内容': '酒店设施陈旧，不过地理位置还不错，办事方便，出差，住这里勉强还可以吧。如果是自己出来玩儿的话，肯定不会选择这里。', '短评打分': 4}
{'短评内容': '还行，前台服务很一般，房间有点旧，被子太薄。', '短评打分': 5}
{'短评内容': '一直都在这家酒店、价格便宜又舒服 服务好！强烈推荐', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '之前住过 在公司旁边 挺不错的', '短评打分': 5}
{'短评内容': '一行', '短评打分': 3}
{'短评内容': '交通办事均便利，饭店安静，宽敞。', '短评打分': 4}
{'短评内容': '交通便利，办事方便。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '真正的是严格的三星级，每一项都只能打个三星，实际的房间比图片上要小，电梯也不能直达6楼。还得自己步行一层', '短评打分': 3}
{'短评内容': '房间很大，很舒服', '短评打分': 5}
{'短评内容': '酒店很旧，供暖不好，服务很差，不会再去住了。', '短评打分': 3}
{'短评内容': '酒店', '短评打分': 5}
{'短评内容': '   酒店服务太差，周边环境一般，房间还可以。', '短评打分': 1}
{'短评内容': '环境很不错，交通也便利，算得上四星级酒店，住宿很舒服，就是没有早点，吃早饭还要自己掏钱，哎。，比较纠结', '短评打分': 5}
{'短评内容': '很不错，房间很大、很干净！又再二环不远就是地铁站很方便，信价比很高下次一定还信这里！', '短评打分': 5}
{'短评内容': '哇塞！~~标间真的和酒店介绍说的一样大，我坐在桌前玩电脑看房间门口的人 变得好小呀！我喜欢 里面还有冰箱保险箱竟然还有掏耳朵的小棉签 真的好贴心呀 ，像家一样的温暖 窗帘也能拉的严严实实的 早上都差点起不来 烧水壶还是不锈钢的 不会像快捷酒店里面的那些掉锈的水壶 烧出来的水还是甜的！这是我在北京住的最好的 同四星级酒店了 最神的是 电梯还是360度镜子的 哇哈哈哈哈....美中不足的是40多寸的液', '短评打分': 5}
{'短评内容': '交通较方便，房间卫生还可以，服务也不错，还会再选择。', '短评打分': 5}
{'短评内容': '硬件还行，软件应加大力度提升，早餐太一般了。', '短评打分': 5}
{'短评内容': '房间主规中矩，洗手间也很干净，离开地铁站也不远，', '短评打分': 5}
{'短评内容': '硬件可以，软件差多了，服务意识跟不上。早餐30元/人太不值了。', '短评打分': 1}
{'短评内容': '酒店入住感觉很好', '短评打分': 3}
{'短评内容': '很好的酒店。', '短评打分': 3}
{'短评内容': '不够四星。位置偏僻、服务差。以后再也不来了', '短评打分': 1}
{'短评内容': '非常好', '短评打分': 3}
{'短评内容': '房间很一般、服务水准很低——服务员和主管模样的人聚在走廊，感觉不值！', '短评打分': 3}
{'短评内容': '位置挺好，服务也周到热情。周边也有很多小吃店便利店，很方便', '短评打分': 5}
{'短评内容': '酒店环境幽净，房间舒适。', '短评打分': 5}
{'短评内容': '服务很没水准！房间的卫浴软件破旧，星级标准不及哦。\r\n价高、服务质量差。\r\n\r\n再也不会入住这家酒店啦', '短评打分': 1}
{'短评内容': '客房里有会客区。浴室是透视的，估计蜜月度假的人会喜欢。\n\n不过浴室的地漏下水很慢。有线的互联网的DNS服务器居然有问题，打电话叫网管来看了之后晚上才弄好的。\n\n我挑这家是因为位置，如果不是需要在鼓楼、后海附近活动不推荐住这里。', '短评打分': 5}
{'短评内容': '订的是商务标准间，房间在30-35平方米（靠北的房间似乎更大些），在安德路南，安德路本身就比较安静，又窗户多朝向住宅区，更形安静。刚开业两周年，设施未旧，很满意，下次还会再来。', '短评打分': 5}
{'短评内容': '去北京必住的宾馆！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '提高服务水准，增加硬件设施，才能达到星级标准，才会有更多的顾客入住，硬软件都达不到何谈按星级标准收费。', '短评打分': 1}
