{'短评内容': '还不错，到西昌一直住这个酒店！', '短评打分': 5}
{'短评内容': '性价比还不错。', '短评打分': 4}
{'短评内容': '态度一般', '短评打分': 4}
{'短评内容': '四季悦酒店离邛海湿地公园不远。房间很大，酒店干净，设施齐全，服务好。早餐还是挺丰富的，味道也不错。停车场很大，车子出门时给酒店前台说一下就行啦。', '短评打分': 5}
{'短评内容': '挺好，卫生，干净！', '短评打分': 5}
{'短评内容': '很不错，房间大', '短评打分': 5}
{'短评内容': '好家伙！下次还来京东！信赖京东！！', '短评打分': 5}
{'短评内容': '服务不错，硬件设施不错，周边环境一般，但吃东西方便，离邛海也不远。', '短评打分': 4}
{'短评内容': '环境不错，十个字以上', '短评打分': 5}
{'短评内容': '环境优雅，房间宽大干净，装修漂亮，重点是自带超大停车场，自驾的朋友可以考虑，总之200多的价格住得非常舒服', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '非常好的体验，服务热情周到，设施干净整洁，地理位置很好，去哪儿都方便。有机会再去西昌的话，一定还住这儿。', '短评打分': 5}
{'短评内容': '第二次住这个酒店，最大的优势就是周边吃的比较多，方便。', '短评打分': 4}
{'短评内容': '性价比可以', '短评打分': 3}
{'短评内容': '第二次去住了，环境不错，出行很方便，位置也很好找。附近一家油焖大虾味道不错。', '短评打分': 5}
{'短评内容': '酒店位置很方便，周边吃饭的地方很多，来参加马拉松，只住了一晚，感觉还可以', '短评打分': 5}
{'短评内容': '房间大小合适，卫生干净，停车场大，适合自驾一族。', '短评打分': 3}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': '酒店环境不错，干净卫生。晚上不吵，就是早餐还可以做得更好。', '短评打分': 3}
{'短评内容': '典型的商务酒店，可在房间办公，停车方便。', '短评打分': 3}
{'短评内容': '很新的酒店，设施很不错。住着很舒心。只是旺季时去的，价格贵了', '短评打分': 5}
