{'descr': '房间蛮大的', 'star': 5}
{'descr': '这个价格适合这样的条件', 'star': 4}
{'descr': '不山水含山巴登巴登并不多', 'star': 5}
{'descr': '上班不到华标的不咸不淡难受', 'star': 5}
{'descr': '宏程方法帆船纯刚胡娟计较宏芳方法', 'star': 5}
{'descr': '一般', 'star': 2}
{'descr': '不错，看的很不错啊！', 'star': 4}
{'descr': '一早还没起，就有服务员开门进来了！这不把人吓死啊？不会再来了！', 'star': 3}
{'descr': '无', 'star': 3}
{'descr': '就在交易中心旁，挺方便的……下次来住这里办事方便，外观看起来还不错，同事住的还算比较满意……希望越做越好', 'star': 4}
{'descr': '挺好的', 'star': 5}
{'descr': '服务周到交通方便干净卫生', 'star': 3}
{'descr': '好、平静干净，交通方便。服务一流.。', 'star': 3}
{'descr': '老宾馆了，同样的房间看在性价比上，还是不错的!', 'star': 3}
{'descr': '性价比很高，总体环境一般', 'star': 3}
{'descr': '环境不好，位置太偏，早餐太差。床单太旧。', 'star': 1}
{'descr': '进大厅看上去还挺好，结果房间一进去，设施极为陈旧，同事住的4楼房间房顶全是黑色的水渍，地板全是开裂的小洞。我住的6楼全被改装成了韩泰轮胎的员工宿舍，半夜12点怪叫不断，早上早餐极差，豆浆里一股怪味，再也不会来住了', 'star': 1}
{'descr': '酒店环境很好 洗澡水温也不错呀 还提供早饭 总体来说性价比很高', 'star': 3}
{'descr': '酒店卫生环境不错，免费早餐有豆浆、鸡蛋、油条、油饼、炒饭、玉米粥等，能吃饱，不能算很好，但免费就算可以了。', 'star': 5}
{'descr': '该宾馆不仅环境优美，还价格合理。此外还提供丰富可口的早餐。', 'star': 5}
{'descr': '需要对下水道改进                  。', 'star': 1}
{'descr': '还可以啦!', 'star': 3}
{'descr': '在修路，好不容易找到这里！！！！！！！！！！还要几个月。', 'star': 1}
