{'descr': '还可以吧,性价比挺高,热水空调都很好,周围小吃很多,方便。就是房间单子不是特别干净,总之还是推荐入住吧!', 'star': 3}
{'descr': '不干净，很一般，就是地段好。。。。网络还不稳定。', 'star': 1}
{'descr': '位置非常好，出门交通很便利，房间有点小，被子不是很干净，不过也还可以。是比较经济实惠的酒店。前台服务一般。算是性价比很高的酒店', 'star': 5}
{'descr': '地点较好 设施较旧 距离鼓楼 地铁较近 交通还算方便', 'star': 1}
{'descr': '酒店点评', 'star': 3}
{'descr': '什么都不用说了，一句话，再也不会去那里住了。', 'star': 1}
{'descr': '挺好的，房间有淋浴，电视，空调。服务也不错！', 'star': 5}
{'descr': '非常好。接待也很客气。离地铁站非常近。我们都很满意的。', 'star': 5}
{'descr': '好吧....实在没地方住的话 可以将就住一下下的 离后海很近', 'star': 1}
{'descr': '环境真差!不会再去第二次了!', 'star': 3}
{'descr': '房间还不错，没窗户的光线有些暗。这儿有个脸黑黑的·鼓嘟嘟·个子不高的女的，真不是个东西，态度超级差，见她就生气，真想扇她两个耳光！', 'star': 1}
{'descr': '这次住的是大床房~很好很贴心哈~呵呵~~', 'star': 5}
{'descr': '房屋很温馨，很有卧室的感觉，就是标间双床的床有点小。不过这个价位很实惠啦~', 'star': 5}
{'descr': '一上来就给我一间没收拾的房间,被子乱扔,但是不能退只能换房间,换了一间有味道,超级难闻以后再也不会来了', 'star': 3}
{'descr': '还不错，就是服务态度不是很好。', 'star': 3}
{'descr': '硬件好差啊！！！隔音效果太差！空调也不好使！！旁边就有7天  建议不要去', 'star': 1}
{'descr': '离烟袋斜街很近，步行15分钟就到~其他条件都只能勉强接受 大床两个人睡有点挤，卫生间看着很脏，房间隔音效果不好 ', 'star': 1}
{'descr': '还不错挺干净，就是晚上楼下有娱乐场所有点吵', 'star': 3}
{'descr': '位置方便,条件一般,尚可', 'star': 3}
{'descr': '位置好，交通方便，价格便宜，也挺干净的，来北京想逛后海附近的话是很明智的选择~', 'star': 5}
{'descr': '还不错，态度也蛮好的，因为是来旅行的，想在里面用下免费电话的，可是没有，但是其他不错，推荐吧。', 'star': 5}
{'descr': '楼下是个商务会所，楼上是个台球厅，不隔音，晚上有些吵。浴巾太旧了', 'star': 1}
{'descr': '条件一般，交通比较方便。', 'star': 3}
{'descr': '一般，价钱也不贵，就算是物有所值了。硬件设施很一般', 'star': 5}
{'descr': '地理位置很好，出行方便，室内条件和卫生不是很好，总体性价比还可以', 'star': 3}
{'descr': '已入住酒店  酒店位置很好 出入方便就是硬件太差 比较陈旧 ', 'star': 3}
{'descr': '洗澡水让我差点感冒，电视都是条形码，其他的都还凑合吧', 'star': 1}
{'descr': '环境比我想象的好，交通也比较方便性价比高', 'star': 3}
{'descr': '环境一般，。。。。。。。。。。。。。。。。。。。', 'star': 1}
{'descr': '价位合适,但楼下歌厅,凌晨两点前有点吵,整体不错,就是特价房开发票要收费', 'star': 3}
{'descr': '前台服务还好，办理手续挺快，卫生方面还好，设施有些陈旧了，价格还比较实惠。', 'star': 3}
{'descr': '位置挺好，离地铁站挺近，出行挺方便，价格也比较便宜。', 'star': 5}
{'descr': '很差，空调不能用，暖气不暖，热水是自己烧的，烧了一小时，才开始热，洗了几分钟就没有热水了。一个字：冷。  床单被子比较脏，好像没有换。不会再去。', 'star': 1}
{'descr': '设施陈旧，而且服务也跟不上.有些像家庭旅馆，显得很不规范.位置好在鼓楼周边出行方便.', 'star': 1}
{'descr': '房间整齐干净，通风挺好，周边交通便利，吃饭的地方也挺多的。', 'star': 3}
{'descr': '酒店位置很优越，离后海很近，游玩很方便，周边交通也挺便利，出行也挺方便。', 'star': 5}
{'descr': '房间大小还好，打扫挺干净，采光也很好，住的还比较舒适。价格方面也挺便宜的。', 'star': 5}
{'descr': '  硬件设施一般，服务态度差，居然连空调也不让开，唯一是位置尚可。', 'star': 1}
