{'短评内容': '服务非常满意', '短评打分': 5}
{'短评内容': '入住630，房間不大，設備舊了些，優點是離三元橋近，去機場方便，服務到還不錯，比較適合商務出差人士！', '短评打分': 4}
{'短评内容': '酒店经济实惠', '短评打分': 5}
{'短评内容': '酒店安保非常严格', '短评打分': 5}
{'短评内容': '非常不错干净整洁', '短评打分': 4}
{'短评内容': '设施齐全，干净整洁', '短评打分': 4}
{'短评内容': '环境不错，整洁卫生', '短评打分': 5}
{'短评内容': '整洁卫生，服务员热情', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '条件一般，出差随便住住了', '短评打分': 4}
{'短评内容': '不错，同事出差一直坐这里，就是价格浮动比较大，不过北京都这样，真是没办法，有地住就不错，，，，，，，', '短评打分': 5}
{'短评内容': '头一次住感觉还不错，比较安静，周边交通还行。服务也还行。', '短评打分': 5}
{'短评内容': '太热，地方临近高速，吵', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '早餐再丰富一些就好了', '短评打分': 4}
{'短评内容': '酒店比较干净整洁，服务非常到位', '短评打分': 4}
{'短评内容': '帮客户定的，住了一天换了，不知道为啥', '短评打分': 3}
{'短评内容': '帮客户定的，住了一天换了，不知道为啥。', '短评打分': 3}
{'短评内容': '方便', '短评打分': 4}
{'短评内容': '好，，，，，，，，，，，，，，', '短评打分': 4}
{'短评内容': 'Its really nice hotel. Clean and comfortable. If there is wifi in room will be much better.', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还行，周边吃的少', '短评打分': 4}
{'短评内容': '酒店的服务态度很好。 房间也干净，就是浴巾的消毒水气味大了点。', '短评打分': 4}
{'短评内容': '酒店很安静，房间比较干净，早餐品种少了点。', '短评打分': 4}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '干净，舒适，服务不错，早餐非常可口，是一家性价比很高的酒店．', '短评打分': 5}
{'短评内容': '望京丽都一带就数这个算是性价比很高的酒店了，到北京基本选这家，希望能继续保持良好的服务', '短评打分': 5}
{'短评内容': '以前来北京就常住这里，应该说性价比不错，要是能含上早点就好了。', '短评打分': 5}
{'短评内容': '服务不错，感觉比实际的星级要高。地理位置比较方便。', '短评打分': 3}
{'短评内容': '值得推荐。\n酒店路边的牌子是大雨酒店，外观不如邻家的气派，但设施、服务都是一流的。', '短评打分': 5}
{'短评内容': '非常喜欢的酒店，很多美好的回忆', '短评打分': 3}
{'短评内容': '位置在京顺路,去机场和进城都很方便..房间和厕所的装修很温馨,,玻璃的隔音很不错,基本听不到外面的汽车声,,床挺舒服,不过枕头有点软,,,,住的标准间,没有无线网络,,提供的网线两头的卡子全掉了...', '短评打分': 5}
{'短评内容': '望京地区周边最具性价比的酒店，强烈推荐！', '短评打分': 5}
{'短评内容': '每次必住的酒店，今年房间涨价了，是以前含早餐的价格，喜欢房间里的沙发，但是有的房间只有单人沙发配一把术椅，感觉不太协调，其他都挺好．', '短评打分': 5}
{'短评内容': '老选择了，一直住这家，离机场不远，酒店环境也很好．', '短评打分': 5}
{'短评内容': '酒店非常的好，很安静，性价比很高了。房间里的配置相当于4星级标准。', '短评打分': 5}
{'短评内容': '在那周边，是性价比最高的一家，非常不错！', '短评打分': 5}
{'短评内容': '性价比高，房间干净舒适，对于需要住机场附近的商旅旅客是个不错的选择。', '短评打分': 5}
{'短评内容': '不错的酒店，比较方便，房间很好，很安静，值得推荐。', '短评打分': 5}
{'短评内容': ' 很好，温馨', '短评打分': 3}
{'短评内容': '酒店位置不哦，就是价格高点。离机场较劲，推荐。', '短评打分': 5}
{'短评内容': '設施很不錯\n床很舒服\n但網路怪怪的上不了', '短评打分': 3}
{'短评内容': '北京大雨澳斯特酒店是我经常住的酒店,清净干净,ok了！', '短评打分': 5}
{'短评内容': '已经记不清是第几次入住了，这次又分到了有沙发的房型，很喜欢。可惜就是房价早餐都涨了', '短评打分': 5}
{'短评内容': '很不错，下次优惠还来，停车方便，设施齐全', '短评打分': 5}
{'短评内容': '北京的相当不错的一个酒店，就在北京机场高速的傍边上，离开我要去的地方也很近哦', '短评打分': 5}
{'短评内容': '帮朋友定的 貌似挺小的', '短评打分': 3}
{'短评内容': '酒店的地理位置离开我要去办事的地方相当的近，离开地铁只有一站。可以。', '短评打分': 5}
{'短评内容': '不错不错，推荐推荐，如果房间更大一些就更好了', '短评打分': 5}
{'短评内容': '北 京大雨澳斯特酒店,环境不错,服务也不错。', '短评打分': 3}
{'短评内容': '首次入住，感觉不错，交通还算方便，就是吃饭不太方便', '短评打分': 5}
{'短评内容': '不错的酒店，闹中取静，离新世界百货、宜家都很近。', '短评打分': 5}
{'短评内容': '酒店不错，离办事的地方很近。旁边新世界离的也很近。酒店房间干净卫生，下次还会入住！', '短评打分': 5}
{'短评内容': '服务很好，交通方便。下次还会考虑入住。', '短评打分': 3}
{'短评内容': '非常新的酒店，房间还有着那种新酒店的气息。离机场非常近，20分钟打车的路程。服务人员5星级服务，有礼貌而且很热情。周边感觉一般，需要走一段时间，或者打车才能到不错的饭店或者是商场。总体来说，非常值得推荐！', '短评打分': 5}
{'短评内容': '酒店很干净，也很安静。有停车场，很不错。服务人员也挺好。推荐', '短评打分': 5}
{'短评内容': '干净、用心，因为是新酒店，一切都不错：）', '短评打分': 5}
{'短评内容': '在京密路还是很好找的，房间有点小，但是很安静，配置不错，就是浴巾毛巾有点发硬了。', '短评打分': 5}
{'短评内容': '299性价比不错 毕竟在北京 不过这价格没有早餐的', '短评打分': 5}
{'短评内容': '299的促销价格 很不错 我喜欢看卫星外语节目 都有除了房间小点 其他都可以 同样的促销 比上次入住的上海同星级酒店宽敞。注意了 没有早餐的。客房服务挺客气的。', '短评打分': 5}
{'短评内容': '也是听朋友介绍才入住的，酒店的大堂设计得不错，琥珀色的灯光，大堂的主吊灯不是寻常的水晶灯，是一组艺术造型的金色小圆灯，别致。标间空间有些促狭，考虑在北京这地这个性价比也属正常了。', '短评打分': 5}
{'短评内容': ' 特价房除了略小其它都一样', '短评打分': 3}
{'短评内容': '房间有些小，服务一般，而且房间有种说不出来的味道，很一般。', '短评打分': 1}
{'短评内容': '大堂装修还行，房间里面很一般，感觉不够四星标准，类似连锁酒店。', '短评打分': 1}
{'短评内容': '酒店硬件还是可以的,早餐一般,出行也还算方便,算是该地段性价比比较高的.', '短评打分': 5}
{'短评内容': '位置还算方便，离机场不远，去东边的地方都还可以。酒店很静，房间窗子不能打开，因为整个酒店都是新风系统，这个很好，服务人员有些少，可能是住客少的关系吧，早餐样式有点少，50一位的话有点贵了，总体，下次去798附近还会住的一个酒店。', '短评打分': 5}
{'短评内容': '位置极好，离我考试的社科院研究生院非常近，如果能通过考试，那我要感谢这家酒店了，内部很干净，但就是比较吵，因为挨着街。', '短评打分': 5}
{'短评内容': '第二次订这家酒店了，性价比很高，早餐中西结合，比较合我的口味，服务也很好，除了某位前台接待的小姐态度比较冷淡。', '短评打分': 5}
{'短评内容': '房间很热，排气效果不好，特价房的原因吧，总之没想的好', '短评打分': 1}
{'短评内容': '交通方便，性价比很高，很好，服务态度很好，清洁干净', '短评打分': 5}
{'短评内容': '交通方便，价格偏高，设施一般，其它没啥可说的。', '短评打分': 5}
{'短评内容': 'dayu dayu  yizhi xia ,wo ge n yi huan zai na  bi yu !!!!!!', '短评打分': 5}
{'短评内容': '酒店的第六届收到胡混佛ijvpfdpo   结构化iugyigfeoioiiygyfgiiuyywfd\nuggds 09u0iu恶毒的-9偶ie', '短评打分': 5}
{'短评内容': '环境还可以,房间内设施也不错,但是早餐太贵了。', '短评打分': 3}
{'短评内容': '酒店格局简洁，环境氛围也不错。早餐再多几样面包种类就更好了。', '短评打分': 5}
{'短评内容': '房间干净，服务也很好。周围设施也方便。已住过两次。', '短评打分': 5}
{'短评内容': '这个酒店还不错.\n交通方便.\n室内设施也很好', '短评打分': 5}
{'短评内容': '酒店地理位置比较不错。出行时也不会那么拥堵。\n酒店设施一般，价格还可以。\n', '短评打分': 5}
{'短评内容': '入住多次了   很不错的酒店   只是希望  酒店想办法让无烟房真的没有人抽烟', '短评打分': 5}
{'短评内容': '设施特别好的酒店，四星肯定有了呵呵，床特别舒服', '短评打分': 5}
{'短评内容': '酒店整体还是不错的，价位也比较合适，不错不错', '短评打分': 3}
{'短评内容': '这是个性价比很高酒店，以后会继续推荐朋友入住的。', '短评打分': 3}
{'短评内容': '交通方便，环境好，设施满意，服务态度非常满意，房间干净舒适，价格优廉,下次还住这。', '短评打分': 5}
{'短评内容': '挺不错的酒店， 靠近京密路， 交通方便， 去望京购物去也近', '短评打分': 5}
{'短评内容': '交通方便，环境好，设施满意，服务态度非常满意，房间干净舒适，价格优廉。', '短评打分': 5}
{'短评内容': '房间干净，好。', '短评打分': 3}
{'短评内容': '除了从机场打的过去，出租车司机会觉得太近不愿意送，酒店本身还不错', '短评打分': 5}
{'短评内容': '预订的特价房，性价比不错，不含早餐。单买早餐很贵，不值。', '短评打分': 5}
{'短评内容': '环境不错，服务也不错', '短评打分': 3}
{'短评内容': '十好评', '短评打分': 3}
{'短评内容': ':-)', '短评打分': 3}
{'短评内容': '酒店位置离机场很近，周围安静，酒店服务态度好，酒店干净，性价比高，以后换回入住的，也会介绍给朋友的。', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '去机场便利，周边设施齐全，性价比挺高，很干净，房间也挺大，定的299的特价房，就是稍小一点，靠近我要培训的地点，下次有机会还会继续入住', '短评打分': 5}
{'短评内容': '酒店很好！去机场便利，环境也不错，服务周到~~非常满意！以后如果赶早班飞机，还会选择这里！推荐推荐~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '装修不错，性价比挺好。\n周边设施齐全。推荐                                                  ', '短评打分': 5}
{'短评内容': '总的来说还可以 性价比不错\n服务人员素质很好 很有礼貌 而且门童也很有眼力件儿 不管你是不是拿行李都会主动为你开门 这点比一些住过的五星级酒店还要好\n房间较小 空调声有点大 别的没什么了', '短评打分': 5}
{'短评内容': '靠近城区中心比较远，但是离机场非常近，可以直接做的士，周围环境也还可以，酒店设施等其它感觉还可以，比较新,还是比较推荐的，服务态度也还比较好', '短评打分': 5}
{'短评内容': '酒店环境挺好，周边也挺方便。交通也还好，就是出租车司机不知道位置。\n\n推荐！', '短评打分': 5}
{'短评内容': '酒店据说开业3年了，但是设施设备还挺新的，一楼大厅觉得有点新木头的那种味道。酒店还可以的。', '短评打分': 5}
{'短评内容': '早餐品种有点少，周边环境，酒店装修都不错。推荐', '短评打分': 5}
{'短评内容': '设施不错，性价比高，299的价格能住这种酒店超值。位置有点远也是没办法的事情了。', '短评打分': 5}
{'短评内容': '环境不错交通方便，只是早点稍贵了点，每口停车也很方便，', '短评打分': 5}
{'短评内容': '性价比很高的酒店，住着很舒适，服务很好，早餐也很丰富，下次有机会的话还想再去。', '短评打分': 5}
{'短评内容': '房间干净整齐，就是有点小。服务很好，对得起这个价位。有点不好打车', '短评打分': 5}
{'短评内容': '帮朋友定的，进去看了看，房间有点小，还有点噪音大。物有所值吧。呵呵', '短评打分': 5}
