{'短评内容': '除了没有电梯，其他都还可以', '短评打分': 5}
{'短评内容': '酒店内部环境很不好 毛巾脏兮兮的，床边还有烟头，不知道为啥这个连锁的酒店还是卫生这么差，国庆期间还提价到四百多的标间', '短评打分': 4}
{'短评内容': '挺不错的大家以后都用吧', '短评打分': 5}
{'短评内容': '每次都慢，真不想住他酒店了！', '短评打分': 1}
{'短评内容': '屋子小点脏点，不过价格比较低，也不能说啥', '短评打分': 3}
{'短评内容': '越住越不行了', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '服务态度差，环境差', '短评打分': 1}
{'短评内容': '酒店卫生太差了', '短评打分': 5}
{'短评内容': '酒店一般，卫生太差了', '短评打分': 5}
{'短评内容': '假期假期价格高，不好', '短评打分': 2}
{'短评内容': '很一般，下面广场是个烧烤大排档，感觉不安全，而且比较吵', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '还行，安全放心，下次还来。', '短评打分': 3}
{'短评内容': '服务到位，去古城方便，很好', '短评打分': 3}
{'短评内容': '连早餐都没有，要不返现多，真不住这', '短评打分': 3}
{'短评内容': '垃圾中的垃圾！！！！！！', '短评打分': 3}
