{'短评内容': '淋浴水超小，卫生间也超小。', '短评打分': 2}
{'短评内容': '环境一般，卫生间垃圾桶里面还有用过的洗漱用品！其他还可以', '短评打分': 5}
{'短评内容': '跟着导航开的，开到一条小路里有个垃圾堆，转弯过去就是旅馆了。房间大小还好，就是卫生间很小，而且抽水马桶漏水的，都不能用，其他基本还行。', '短评打分': 3}
{'短评内容': '酒店环境都还好，就是设施不全，没有吹风机，桌子也小', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '除了位置不错，其他的都一般般吧，就是设施有点成旧，面盆和水龙头的位置不好，烧水壶没法接水，空调电视什么的都还可以，洗澡不方便，隔音略差。相对预订的价格来说，总体性价比不错。', '短评打分': 3}
{'短评内容': '性价比还是可以，交通也很方便', '短评打分': 4}
{'短评内容': '设施硬件不是太好，环境一般', '短评打分': 3}
{'短评内容': '我要求不高，还不错，周边挺热闹', '短评打分': 5}
{'短评内容': '有三人房，适合三口之家的出游，不错，周边吃饭方便，早餐可以去不远的富春酒楼尝尝扬州早点。', '短评打分': 5}
{'短评内容': '我们已经住进了扬州凯越大酒店，还干净，服务态度也好，可以说物有所值吧！', '短评打分': 3}
