{'短评内容': '感觉不行。。。不值', '短评打分': 4}
{'短评内容': '环境不错，价格也不贵', '短评打分': 5}
{'短评内容': '1）交通方便，离春熙路很近；\r\n2）很整齐、整洁；\r\n3）早上的自助餐很丰盛；', '短评打分': 5}
{'短评内容': '服务不够完善，实际房价和网上报价不相符，卫生条件有待提高，其他都还好。', '短评打分': 5}
{'短评内容': '酒店本身不错，温馨间面积小，装修有品位，洗澡水也很大，早餐不错丰富，美中不足就是电视效果太差，收不了几个台，没交闭路费吗？', '短评打分': 5}
{'短评内容': '酒店环境不错，四星酒店的标准，定的大床房房间不大，扣掉返券就很划算了，推荐。', '短评打分': 5}
{'短评内容': '酒店总体感觉一般，房间较小，尤其是电视更是我住的所有酒店中最小的!', '短评打分': 3}
{'短评内容': '地段挺好的 去哪很方便 就是温馨间比较小 ', '短评打分': 5}
{'短评内容': '性价比高，但大床房没有标间好', '短评打分': 3}
{'短评内容': '订的是228返81的温馨间，性价比高。步行到春熙路20分钟，大堂环境可以，房间不大无异味、设施较旧无故障、电视机小无吹风机。早饭相对这个价格来说算不错，就是为什么有面包没有黄油。以后再来还会住', '短评打分': 3}
{'短评内容': '酒店安静，旁边的香香巷有很多四川美食！', '短评打分': 3}
{'短评内容': '现在的早餐没有几年前丰富了。其他的还好。', '短评打分': 5}
{'短评内容': '价格在同等条件的酒店不高，酒店卫生和床的软硬合适，条件不错，以后出差来成都还会入住。', '短评打分': 5}
{'短评内容': '地理位置好，环境不错，工作人员服务态度好，房间干净卫生，早餐可口，下次去还会住！', '短评打分': 5}
{'短评内容': '酒店地理位置好，环境不错，房间干净卫生，早餐可口。下次去还会住这个酒店！', '短评打分': 5}
{'短评内容': '该酒店交通方便，工作人员服务态度比较好，特价房比较小，性价比比较高。', '短评打分': 5}
{'短评内容': '该酒店交通方便，服务态度比较好，特价房比较小，早餐很好，性价比高。', '短评打分': 5}
{'短评内容': '酒店还行，电视太小。房间空调制冷效果不行', '短评打分': 5}
{'短评内容': '酒店离春熙路比较近。就是房间小。装修落后，早餐可以。', '短评打分': 5}
{'短评内容': '酒店的装修比较落后，早餐比较好。离春熙路比较近。', '短评打分': 5}
{'短评内容': ' 房间有点小 其他的都挺好的', '短评打分': 3}
{'短评内容': '酒店大厅很气派，但内部装修比较陈旧，毛巾等用品也很陈旧', '短评打分': 5}
{'短评内容': '酒店环境不错，早餐也很丰盛，服务员很热情，特别是大门接待，周边生活也很方便。我们住的小房间里只有固定宽带网线，不过大厅有无线网络，很推荐。', '短评打分': 5}
{'短评内容': '找酒店要了温馨标间，比第一天入住的522房间差点，不过还是比较不错了', '短评打分': 5}
{'短评内容': '今天还是住的特价房温馨单间，但是房间面积明显比温馨标间小的多，如果可以建议大家都住标间。', '短评打分': 5}
{'短评内容': '我订的是下午6点后的特价房，价格很给力，房间设施设备有点陈旧，不高对得起这个价格，还包含双早。', '短评打分': 5}
{'短评内容': '温馨间价格实惠，酒店设施齐全，位置幽静，离商业中心近，吃饭方便，有公交站台，就是的士不好叫。', '短评打分': 5}
{'短评内容': '确实旧了，不过这个价格还行，性价比也还凑合将就吧。', '短评打分': 1}
{'短评内容': '酒店很好，特价房也很不错，还是河岸观景房，适合二人世界度假。', '短评打分': 5}
{'短评内容': '酒店不错，房间很干净 ，我来晚了 依然有房。前台服务态度好。', '短评打分': 5}
{'短评内容': '还不错，虽然房间小，但地址有性价比', '短评打分': 3}
{'短评内容': '早餐还行，房子装修一般。大党可以。房间电视小，温馨房太小。', '短评打分': 5}
{'短评内容': '酒店离春熙路比较近，周围吃饭方便。就是电视小，早餐还行。', '短评打分': 5}
{'短评内容': '设式齐全，服务周到，只是网络信号不稳定，总体满意。', '短评打分': 3}
{'短评内容': '设施不是很新了，房间挺大，服务也很不错！下次还可以考虑入住\n', '短评打分': 5}
{'短评内容': '距离春熙路步行十五分钟，大厅设施不错，大床房太小了点', '短评打分': 5}
{'短评内容': '还好，就是温馨房比较小特价的，服务好。被褥干净自己旅游很实惠。', '短评打分': 5}
{'短评内容': '宾馆还行地理位置还行。温馨特价房太小。', '短评打分': 3}
