{'短评内容': '干净', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '酒店位置好方便，周边有家乐福、地铁出行方便，早餐还不错，餐饮包厢菜口味不错，酒店05年开业设施比较陈旧。', '短评打分': 4}
{'短评内容': '有停车场，位置好', '短评打分': 5}
{'短评内容': '不错的一家酒店', '短评打分': 5}
{'短评内容': 'Good', '短评打分': 5}
{'短评内容': '下次一定记得不入住这家酒店。主要是太老的原因吧，卫生间小且赃，床很软很不舒服，不知道为什么还是四星酒店', '短评打分': 3}
{'短评内容': '定的时候是个四星级酒店，入驻以后有点上当受骗的感觉。主要是设施严重老化，卫生间装修太久了，也太小了。床更不舒服。', '短评打分': 4}
{'短评内容': '这样一家洒店也许是太老的结果，各个方面都与四星酒店有差距。主要是设施老化严重，卫生巾都黄了，浴缸很小', '短评打分': 3}
{'短评内容': '说实话，该酒店是一个老四星级酒店，设施已经过时老化 与期望值差太多 应该降低星级 这是近几年住过的最差四星级酒店', '短评打分': 3}
{'短评内容': '酒店地处市中心，周边餐饮，购物挺方便', '短评打分': 5}
{'短评内容': '位置挺不错的，但是，还是临街边有点吵。', '短评打分': 4}
{'短评内容': '整体不错，就是目前交通不太方便，价格略高，不过还是挺舒适的哦', '短评打分': 5}
{'短评内容': '酒店设施有一定年限，不算很陈旧但也不新，整体还行。', '短评打分': 3}
{'短评内容': '下次去合肥办事还会选择那里', '短评打分': 5}
{'短评内容': '房间—般，冷气不够，设备有些陈旧，服务质量到是不错。', '短评打分': 3}
{'短评内容': '总体来说还可以，周边环境差了一点\n房间还有蚊子', '短评打分': 5}
{'短评内容': '一直喜欢康源，舒适！', '短评打分': 3}
{'短评内容': '酒店半夜空调不制冷，蚊子很多，前台服务态度差，停车还收费。', '短评打分': 3}
{'短评内容': '内部设施一般，感觉未到达四星级标准，外部装饰比较高档，位置优越，舒适度有待提升！', '短评打分': 5}
{'短评内容': '酒店条件不错，客房有很大的内庭院，房间空间宽畅，服务热情，响应及时。', '短评打分': 5}
{'短评内容': '酒店环境不错，空间宽敞，服务员也很有礼貌。值得推荐。', '短评打分': 3}
{'短评内容': '是个挂牌4星得酒店，可酒店客人其少，很凄凉，没人气，服务员得水平都很高，说是要装修了，准备停业，所以人少，从酒店的布局与装修与服务员的素质来看这里曾今辉煌过，不知现在为何经营得如此惨淡，酒店的经营者应反思。', '短评打分': 1}
{'短评内容': ' 环境不错，不过，酒店正准备装修，用餐不太方便', '短评打分': 3}
{'短评内容': '周边环境太差,早餐也不好.而且价格与同类酒店相比高出不少.', '短评打分': 1}
{'短评内容': '条件一般', '短评打分': 3}
{'短评内容': '服务响应及时，房间里干净舒适，也很安静，这次住的很舒心。', '短评打分': 5}
{'短评内容': '設備只有三星的水準, 收費卻是四星的. 房間裝備很一般, 入住的電視還是壞的.', '短评打分': 1}
{'短评内容': '服务挺好的，设施也不错，性价比高', '短评打分': 5}
