{'短评内容': '房间蛮干净的，洗澡热水也随时都有，就是有点烫而且很难调节…早餐就是油条、鸡蛋、咸蛋、咸菜和粥，简单实在…', '短评打分': 2}
{'短评内容': '环境还可以，满干净的，就是农家菜有点甜.周围的环境满适合度假的，龙王山漂流也值得去 玩的也满嗨的呵呵呵', '短评打分': 4}
{'短评内容': '有着典型住山里农家乐的感觉，地方有些偏，但是也很安静。', '短评打分': 4}
{'短评内容': '晚饭很好吃', '短评打分': 5}
{'短评内容': '农家乐挺安静的，房间也不错，周边环境比较好', '短评打分': 4}
{'短评内容': '山里太冷，10分钟步行到龙王山景区', '短评打分': 3}
{'短评内容': '我住的那间马桶下水不好，老板人很好，帮弄了，菜很好吃', '短评打分': 3}
{'短评内容': '不得不说，老板的菜烧的太赞了，房间一般般', '短评打分': 3}
{'短评内容': '第二次来了，几年前来过一次，非常好玩，下次在来。', '短评打分': 3}
{'短评内容': '房间还可以，帮同事定的', '短评打分': 3}
{'短评内容': '价格便宜环境还好老板跟老板娘特别热情 老板来回接送我们去景区 特别好 厨艺也棒 很好玩下次还去 景色还有漂流都不错', '短评打分': 5}
{'短评内容': '老板比较亲和', '短评打分': 4}
{'短评内容': '非常靠近景区，四周环境不错，旅游放松比较理想的选择。', '短评打分': 5}
{'短评内容': '非常靠近景区，四周环境不错，旅游放松比较理想的选择。', '短评打分': 5}
{'短评内容': '老板服务态度很好，作为农家乐，比较干净，空气不错，环境不错，建议网络改进一下。', '短评打分': 5}
{'短评内容': '老板服务态度很好，作为农家乐，比较干净，空气不错，环境不错，建议网络改进一下。', '短评打分': 5}
