{'短评内容': '黄村一家不错的酒店。。。普通房的价格 比商务酒店高点，', '短评打分': 4}
{'短评内容': '服务还不错！', '短评打分': 3}
{'短评内容': '挺好的，设施也比较新，服务还可以，交通比较方便', '短评打分': 5}
{'短评内容': '很不错，酒店干净，设施也很新，床睡着很舒服。。。', '短评打分': 5}
{'短评内容': '已经老旧，卫生稍差。', '短评打分': 3}
{'短评内容': '地理位置还不错，前台看起来也很正规。但就是为嘛5楼不能洗澡呢？4楼可以洗澡，为什么不给订4楼的房间呢？', '短评打分': 5}
{'短评内容': '环境不错，就是不能洗澡，挺奇怪的,而且如果不能洗澡，为什么不提前跟客人说下呢！哎', '短评打分': 5}
{'短评内容': '房间老旧 晚上旁边KTV很吵 前台服务态度恶劣 要努力啊', '短评打分': 5}
{'短评内容': '他的服务很差劲，5层根本就没有热水。前台说是太阳能的，阴雨天就不是太好，大家在阴雨天也最好就不要去哪里了，此外最重要的 是卫生很一般。', '短评打分': 1}
{'短评内容': '隔音不好，服务还可以，卫生一般吧，在大兴地点还好', '短评打分': 5}
{'短评内容': '一般，入住之前和酒店打招呼说了定的房间，结果临到店了，打电话说没房，只能换个别的住，屋子里第一眼还成，细看就不成了，杯子、椅子、厕所、尤其是浴缸和没收拾过一样。', '短评打分': 5}
{'短评内容': ' 隔音不好 床不好', '短评打分': 3}
{'短评内容': '服务很好，很有情调，费用合理', '短评打分': 3}
{'短评内容': '不错，房间感觉挺好，就是浴品不好，用完身上痒起皮，头发也是。屋里有点暗。其他还行', '短评打分': 3}
{'短评内容': '很好。欧陆迷情房间设施有些陈旧。洗澡水偏凉。', '短评打分': 5}
{'短评内容': '很好，床很舒服很软。屋内环境很喜欢。就是泡池没有堵盖。', '短评打分': 5}
{'短评内容': '房间不错,不过大堂差点.', '短评打分': 3}
{'短评内容': '挺好的，除了有人大清早结婚有点吵以外别的都还行', '短评打分': 3}
{'短评内容': '凑合吧，周边没出租不方便。凑合吧，周边没出租不方便。凑合吧，周边没出租不方便。凑合吧，周边没出租不方便。', '短评打分': 5}
{'短评内容': '还行吧，就是没出租车！还行吧，就是没出租车！还行吧，就是没出租车！还行吧，就是没出租车！还行吧，就是没出租车！还行吧，就是没出租车！', '短评打分': 5}
{'短评内容': '环境不错 。。。 价钱也合理 。。还不错哦 ', '短评打分': 5}
{'短评内容': '这次入住有点心慌慌，一进门房间插卡处插着一张速八会员卡，出去吃饭回来床单上有一撮头发和一颗指甲，果断不是我们的，害怕害怕，望改进', '短评打分': 3}
{'短评内容': '不错的酒店', '短评打分': 3}
{'短评内容': '位置不错，周边配套还可以，价位也不高已经做的很不错了！', '短评打分': 5}
{'短评内容': '清洁上应该更注意一点，装潢的很有色特，蛮喜欢的', '短评打分': 5}
{'短评内容': '总的来说还可以，这个价位的已经做的相当不错了！最近床上又加了海绵垫子\n很软！', '短评打分': 5}
{'短评内容': '主题房间还是可以的！其他就是设施比较陈旧点！', '短评打分': 5}
{'短评内容': '帮朋友定的，听说还很不错，主题的，床很好', '短评打分': 5}
{'短评内容': '整体来说主题房间圆舞曲还不错，就是设备有点成旧，服务一般般！', '短评打分': 5}
{'短评内容': '房子倒是蛮有特色，但如果能更干净，更便宜就做好了', '短评打分': 3}
{'短评内容': '总体不错，房间非常宽敞，就是设施有些陈旧，服务态度一般', '短评打分': 5}
{'短评内容': '位置不错，周边配套还可以，服务员服务也不错，下次再来。', '短评打分': 5}
{'短评内容': '酒店的洗澡热水不给力，几乎是凉的~  还有房间不是很干净！希望能加强管理~\n该装修的地方如果能小装修一下就更好了\n', '短评打分': 5}
{'短评内容': '房间挺大内设一般服务一般。', '短评打分': 3}
{'短评内容': '装修得还挺有想法的，就是卫生差了一点，设施略显旧了点', '短评打分': 5}
{'短评内容': '整体很不错，和洲际有拼，空调也比上次暖了。。。', '短评打分': 5}
{'短评内容': '还可以，就是稍微贵一点！有的房间网速喝热水还可以\n但是有的不成\n貌似需要冲新弄一下了', '短评打分': 5}
{'短评内容': '总体来说相当不错，服务很到位帮助我找到了万能充电器帮了大忙，喜欢泡在浴缸里看电视的感觉，停车位也充足。非常不错', '短评打分': 5}
{'短评内容': '经常住的酒店 性价比很高 环境真的很不错 大家值得去体验下', '短评打分': 5}
{'短评内容': '挺好的 就是等了好久的热水', '短评打分': 3}
{'短评内容': '性价比很高，热水也还不错，就是有点吵挨着ktv', '短评打分': 5}
{'短评内容': '还不错，不过我更喜欢名叫“月亮湾”的主题房', '短评打分': 3}
{'短评内容': '挺不错，房间很温馨，地铁站近在咫尺，隔音也很好，很安静', '短评打分': 5}
{'短评内容': '酒店的地理位置很方便，环境也还可以，如果价位再低一些就更有竞争力了！', '短评打分': 5}
{'短评内容': '不能上网，电话不太好用，且国内长途每分钟1元多', '短评打分': 3}
{'短评内容': '总体环境卫生不错，隔壁ktv噪音也感觉比以前小点儿了，就是房间的宽带实在不怎么样，无线连不上，插网线老断。', '短评打分': 5}
{'短评内容': '房间很大，卫生条件有待提高！热水器非常不好用！', '短评打分': 3}
{'短评内容': '地理位置不错，容易找到。房间不错，给个好评！！！', '短评打分': 5}
{'短评内容': '酒店地理位置不错，方便找到，整体环境不错，给个好评！', '短评打分': 5}
{'短评内容': '整体环境不错，主题房很有格调。就是挨着ktv，有时候有点小吵。', '短评打分': 5}
{'短评内容': '没有早餐， 网络无法上网居然发票打印都有问题。 旁边是歌厅不安静', '短评打分': 1}
{'短评内容': '房间可以 差不多三星标准吧 服务也可以 卫生间独立电热水器 在大兴这个价还是稍贵一点儿', '短评打分': 5}
{'短评内容': '酒店环境好', '短评打分': 3}
{'短评内容': '挺好的，干净，不过电视遥控器不好使。还有怎么不能上网呢。', '短评打分': 5}
{'短评内容': '服务不好。不知为什么访客还要看身份证，莫名其妙那家的规定。', '短评打分': 1}
{'短评内容': '感觉不错，就是价格在大兴地区价位较贵，我觉得它的价格有点定高了。', '短评打分': 5}
{'短评内容': '不知道这是第几次住了 一直很中意加码  各方面都满意呢', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '灰常喜欢这家酒店 是住过中比较满意的 适合情侣 好好好', '短评打分': 5}
{'短评内容': '总体不错 浴室灯太暗了 还可以还可以还可以还可以 会推荐的', '短评打分': 5}
{'短评内容': '挺适合情侣入住的，价位也还好，就是电视有点老，躺倒床上看不清', '短评打分': 5}
{'短评内容': '环境安静，服务态度较好。', '短评打分': 3}
{'短评内容': '酒店的主题挺不错 房间也挺大的 适合情侣住宿 就是卫生坏境差点 地毯上一块一块的白色污物 看起来很恶心 浴室的地面看起来也比较脏 和价钱相比有点不值·····', '短评打分': 5}
{'短评内容': '住的是欧陆迷情 不是很干净 地毯有些脏 总体来说隔音很好 很安静 床很大 还不错 ', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '环境很不醋，房间很有特色，不足就是能听到隔壁KTV唱歌，不过不是很吵', '短评打分': 5}
{'短评内容': '这次太仓促了，住到了 新月湾 ，总体还不错的，不过不太喜欢这间。设备都有点旧了 。  还有就是一个问题，不管那间房都有浴缸，但是水却放不够，热水供不上是个问题', '短评打分': 5}
{'短评内容': '气氛很不错，很温馨~\n放着音乐有淡淡香味的走廊就像五星级酒店一样~\n\nps：晚上吃宵夜回来，碰到旁边ktv出来几个警察，进去带了俩男子出来...', '短评打分': 5}
{'短评内容': '，网络除非半夜，不然就别上，省得生气，床有声响，其他都不错', '短评打分': 3}
{'短评内容': '空调差', '短评打分': 3}
{'短评内容': '舒适', '短评打分': 3}
{'短评内容': '房间很大 房间的设计很别致 浴室的玻璃是透明的 很安静 服务也很周到 \n出门有麦当当和地铁 很是方便\n周围就是大兴剧场晚上还能看二人转~~~~~~~~~~', '短评打分': 5}
{'短评内容': '早上洗澡水已经不太热了  喷头出水也不太痛快   还有由于服务员失误  导致半夜12点 有人用房卡捅我门  差点儿进来 前台居然还12点给我房间打电话 问我怎么进来的....无语了....', '短评打分': 5}
{'短评内容': '在大兴来说算是很不错的酒店了，住过几次了，交通很方便，房间很大很有特色，还会再来！圆舞曲的床是拼的，不太舒服，月亮房很好！', '短评打分': 5}
{'短评内容': '房间挺大…床好硬，床垫的弹簧咯的不舒服', '短评打分': 3}
{'短评内容': '房间不错，有一些老化，浴室的蓬头和浴缸老化，下水堵塞，希望能够改进。...........................', '短评打分': 5}
{'短评内容': '客房内的网络很差，网速很慢，收发邮件和网页都成问题，客房内的装修细节方面需要整修，已经有开裂的现象，地毯污渍明显。', '短评打分': 5}
{'短评内容': '很不错的酒店，住了几次，服务很好，只是有的房间的洗浴有问题，但是服务员马上都会给解决。', '短评打分': 5}
{'短评内容': '酒店环境很好，也房间内的装修也很有情调，不足是房间没有较亮的明灯，都是那种装饰性的格调式灯，卫生间内的洗浴喷头差得很，出水慢的很。希望能更换新的。', '短评打分': 5}
{'短评内容': '房间还可以，服务员服务还是可以的，怎么样才能够二十字啊', '短评打分': 5}
{'短评内容': '总体还成\n就是第一天入住时还晚，就我一个就想住个单人间，服务员告诉我没了，只有大床房。只好入住了大床房，到房间上网查预订，居然还有单人间房源充足，感觉很不爽，隧在网上订了单人间，接下来的两天就换房住了。', '短评打分': 5}
{'短评内容': '不错 服务挺好 就是访客来了都要登记 不太方便', '短评打分': 5}
{'短评内容': '服务质量还不错，希望能够继续保持，楼道里的空调有点凉', '短评打分': 5}
{'短评内容': '在大兴区 去就用了很久 不过周围环境不错~\n屋里有浴缸好开心~可是没热水 呜呜\n楼下的周先生很好吃~\n整体非常不错 地板很好看 东西很新喜欢~', '短评打分': 5}
{'短评内容': '支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持', '短评打分': 5}
{'短评内容': '支持支持支持支持支持支持支持支持支持支持支持', '短评打分': 5}
{'短评内容': '11111111111111111111111111111111111', '短评打分': 5}
{'短评内容': '1111111111111111111111111111111111', '短评打分': 5}
{'短评内容': '呵呵。总去要是还能优惠点就好了。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间不错，就是酒店什么也没有，早餐晚餐小卖部，什么都没有', '短评打分': 5}
{'短评内容': '挺好的，就是洗浴要是在方便点就好了。。。。。。。', '短评打分': 5}
{'短评内容': '还不错，服务态度都很好。。。距离和我们很近。。。比较方便\n。。。', '短评打分': 5}
{'短评内容': '不能泡澡', '短评打分': 3}
{'短评内容': '酒店性价比很高，一经住过多次了，以后肯定还回去', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '还挺不错的，性价比很高 就是有的时候热水不够', '短评打分': 5}
{'短评内容': '就是家具都被没素质的人用烟头烧了，都是黑点点', '短评打分': 5}
{'短评内容': ' very nice', '短评打分': 3}
{'短评内容': '隔音挺好。环境也挺好的，就是洗浴间的喷头不好用咯。', '短评打分': 5}
{'短评内容': '11111111111111111111111111111', '短评打分': 5}
{'短评内容': '酒店性价比很好，有奢华的感觉！哈哈哈 总之很之得', '短评打分': 5}
{'短评内容': ' 住的圆舞曲主题房，很漂亮哦', '短评打分': 3}
{'短评内容': '酒店环境好，服务也不错，就是酒店来访客人不方便，安全的前提也带来好多不便。', '短评打分': 5}
{'短评内容': '酒店不错，周围交通便利，离地跌很近，就是没有早餐。', '短评打分': 5}
{'短评内容': '。酒店不错，性价比高。', '短评打分': 3}
{'短评内容': '酒店环境不错，就是设备太过老化,很多电器都已经损坏没有进行维修。', '短评打分': 5}
{'短评内容': '整体很舒适，装修很独特', '短评打分': 3}
{'短评内容': '这是我第二次住加码酒店了，第一次是希腊神话，这次是南洋风情，都特别好', '短评打分': 5}
{'短评内容': '中央空调冷气不足，其他尚好。酒店服务一般，不够热情。', '短评打分': 1}
{'短评内容': '很不错 性价比相当高 推荐大家试一下 就是有时热水不够用', '短评打分': 5}
{'短评内容': '很不错\u3000性价比挺高的', '短评打分': 3}
{'短评内容': '这是我第二次入住主题房了\u3000感觉很好\u3000下回还去', '短评打分': 3}
{'短评内容': '，让人住了，宾馆还可以', '短评打分': 3}
{'短评内容': '酒店服务很到位', '短评打分': 3}
{'短评内容': '酒店还可以，就是来了以后主题房间类型已经不能选了。', '短评打分': 3}
