{'短评内容': '还不错，暖气太热了', '短评打分': 5}
{'短评内容': '前台服务热情周到，房间设施齐全。', '短评打分': 5}
{'短评内容': '不错的酒店，就是网有点慢', '短评打分': 5}
{'短评内容': '就那样', '短评打分': 5}
{'短评内容': '挺干净的，这个价位还行', '短评打分': 5}
{'短评内容': '不怎么干净', '短评打分': 4}
{'短评内容': '出差经常住七天连锁酒店感觉这家不错干净清爽', '短评打分': 5}
{'短评内容': '没有住进去，京东客服帮忙取消的，服务很好', '短评打分': 5}
{'短评内容': '挺好，送货快，配送员辛苦了。', '短评打分': 5}
{'短评内容': '房间设施很好，地理位置优越', '短评打分': 5}
{'短评内容': '环境位置不错', '短评打分': 4}
{'短评内容': '推荐入住', '短评打分': 5}
{'短评内容': '噪音比较大，对睡眠质量不好！', '短评打分': 3}
{'短评内容': '酒店位置不错，酒店的整体环境也还不错，不过跟其他相同层级的酒店没有什么大的差别，总得来说体验还是可以的。', '短评打分': 5}
{'短评内容': '地理位置优越，房间干净整洁，服务周到热情。', '短评打分': 5}
{'短评内容': '酒店位置不错，门口一个垃圾堆，很不好！服务态度不好。房间比较干净。有小卡片！', '短评打分': 4}
{'短评内容': '每次入住都很舒适。向大家极力推荐！', '短评打分': 5}
{'短评内容': '差 太差', '短评打分': 1}
{'短评内容': '酒店卫生糟糕，桌上好多头发，床单也不干净也血渍，就住一晚，也就凑合，不过7天是我一直的选择，第二次入住了，这次很失望，希望能改进', '短评打分': 4}
