{'短评内容': '外观看着不错，不过就是屋子有点小啊！', '短评打分': 3}
{'短评内容': '价格有点偏高，屋里设施陈旧！这个价位如果住如家一类的，都可以住的很好了。', '短评打分': 1}
{'短评内容': '离火车站很近，环境还可以，算是很干净的，就是卫生间里的东西很不好。', '短评打分': 5}
{'短评内容': '服务态度好，环境好，诚信。', '短评打分': 3}
{'短评内容': '住着不错态度也好', '短评打分': 3}
{'短评内容': '设施老化，房价虚高。', '短评打分': 3}
{'短评内容': '服务态度不错,但条件一般,!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '干净，舒适，温馨，快捷方便，人性化服务周到。非常不错，价格合理。推荐入住。', '短评打分': 5}
{'短评内容': '还不错卫生间灯坏了一个女工程师马上修好赞一个', '短评打分': 3}
{'短评内容': '不是很好，第一天入住马桶就坏了，然后又是水龙头坏了，房间有点脏兮兮的。不敢恭维', '短评打分': 1}
{'短评内容': '已入住还不错的', '短评打分': 3}
{'短评内容': '周边环境脏、乱、差，酒店设施比较陈旧，卫生条件堪忧。不过服务态度挺好，离车站也很近。', '短评打分': 1}
{'短评内容': '离车站金，服务态度好，下一次还会住那里，房间可以，早晨不太好', '短评打分': 5}
{'短评内容': '一般，房间有异味。', '短评打分': 3}
{'短评内容': '楼下早上6点开始早市，十分吵，附近吃的也没有，楼下那间所谓的饭店的饭你看了就没胃口，服务态度也很一般。', '短评打分': 1}
{'短评内容': '已住', '短评打分': 3}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '已经及时入住！', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '环境一般，一些设施太过老旧。不过距离火车站咫尺之遥，还是比较方便的。衡水好多小旅馆，相比下来，这还是可以的。', '短评打分': 1}
{'短评内容': '唯一让我欣慰的就是酒店的位置比较好，\n早餐竟然是限量的，豆腐脑一碗、鸡蛋一枚、馅饼半个....\n没有网络，电梯噪音大.\n服务人员不热情...', '短评打分': 1}
{'短评内容': '环境不错 比较雅致 交通也方便 靠近汽车火车站', '短评打分': 5}
{'短评内容': '宾馆挺安静的，离火车站和汽车站都很近，回家很方便', '短评打分': 5}
{'短评内容': '感觉一般，宾馆不提供多开发票，感觉不方便，不能满足顾客要求', '短评打分': 1}
{'短评内容': '好，很好，非常好，YES!好，很好，非常好，yes!', '短评打分': 5}
{'短评内容': '很烂的酒店，吹风机没有，插座没有~！比较简陋~不值这个价！！！', '短评打分': 1}
