{'descr': '房间小，其他的一般。没有停车场。房间小，其他的一般。没有停车场。房间小，其他的一般。没有停车场。房间小，其他的一般。没有停车场。', 'star': 3}
{'descr': '', 'star': 5}
{'descr': '唯一问题没有停车场。不太方便', 'star': 5}
{'descr': '值得推荐', 'star': 5}
{'descr': '房间不错，空间大', 'star': 5}
{'descr': '酒店不错，就是前台的那个胖女人态度我没发说，携程上明明写着到晚上10点，我7点多去的，告我9点必须离店，我和他说怎么不是10点，她又给我来了个9点半也行！我就想知道我住的是你们家？搞服务的咋还这么牛*！', 'star': 5}
{'descr': '整体环境很好', 'star': 5}
{'descr': '好好好好好', 'star': 5}
{'descr': '酒店条件不错，价格比较实惠', 'star': 5}
{'descr': '酒店不错，性价比高', 'star': 5}
{'descr': '为啥在携程网买的和实体店不一样', 'star': 3}
{'descr': '还可以吧，出差习惯性住着', 'star': 5}
{'descr': '还可以！', 'star': 3}
{'descr': '晚上尽然暖气未开，冻感冒了……', 'star': 1}
{'descr': '便宜 但是太小 暖气燥热', 'star': 4}
{'descr': '经济性酒店舒适程度一般，位置在一条小巷子里，真不好找，而且网上的标示也不对。', 'star': 5}
{'descr': '房间还可以的  挺安静  后面是学校 还可以  还可以 还可以 还可以', 'star': 5}
{'descr': '设施差', 'star': 3}
{'descr': '还不错，整体上还成。电视节目太少了。早餐也略显不丰富。', 'star': 5}
{'descr': '房间太小，前台的态度太差!', 'star': 3}
{'descr': '一般。。。很一般。。。不值200块钱。。。。屋子很小。。。。。。。', 'star': 1}
{'descr': '房间有点小,卫生状况尚可.床品比较舒适.洗浴令人满意!感觉这个价格应该提供早餐.', 'star': 3}
{'descr': '比较满意', 'star': 3}
{'descr': '房间很好', 'star': 3}
{'descr': '酒店附近吃饭，买东西还是很方便的，步行大概有十五分钟就可以到王府井百货。环境也还不错，只是只有头顶上的两个床头灯，房间有点暗。。。但是也不是什么大问题。', 'star': 5}
{'descr': '优点：房间宽敞明，平米数较大，设施也很不错，盥洗室无水痕毛发及污垢\n缺点：毛巾质量不太好，没有吹风机，浴室喷头水量太小', 'star': 5}
{'descr': '酒店比较干净，可能是与新开的有关吧！我住的房间临街，晚上很吵的！', 'star': 5}
{'descr': '毕竟是新开的酒店，还过的去，过些日子不好说，门口的门童和黑车司机实在是很讨人厌，入住的要做好心里准备。', 'star': 5}
{'descr': '服务一般 淋浴设施不好 大床房和商务大床房区别很大 入住后又调换的房间', 'star': 1}
{'descr': '满干净的，也很安静，设施还是很新的，有一点，浴液和洗发液没标明。。。我弄了好久也没弄清楚哪个是哪个。。', 'star': 5}
{'descr': '内容', 'star': 3}
{'descr': '环境和服务都不错   性价比也是可以    如果下次的话 我还会去的  哈哈哈\n', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '下水道堵了。没有拖鞋。没有地巾。综合评价就是以后再也不去那住了', 'star': 3}
