{'短评内容': '超乎想象', '短评打分': 3}
{'短评内容': '酒店地理位置离会展中心较近，参展方便。但酒店设施一般，服务员态度一般，周围吃喝要都不方便，是一家很一般的酒店。', '短评打分': 3}
{'短评内容': '宾馆自己上传照片很，但现实很不理想。设备有些旧～服务还得要提升。卫生还得多注意～很难找到宾馆地址，地标和招牌应加强～', '短评打分': 3}
{'短评内容': '设施陈旧，卫生不佳，不是因为交了担保金立马换宾馆，100元都不值，第一次在携程定酒店就失了手，走了眼。', '短评打分': 2}
{'短评内容': '周边交通方便，安全，周边吃的也挺多', '短评打分': 4}
{'短评内容': '说实话，有钱多花钱，这地不比招待所强', '短评打分': 3}
{'短评内容': '位置好。其他一般', '短评打分': 4}
{'短评内容': '便宜，但是挺一般的', '短评打分': 3}
{'短评内容': '还可以吧，不错', '短评打分': 4}
{'短评内容': '也就是因为在北京，其他地方这个只能收100以内吧。床单明显被踩过，都没有换，我要求换房间了，才给换的床单，毛巾都发黑了也不买新的，设施太陈旧了。以后不能图便宜了！', '短评打分': 2}
{'短评内容': '交通方便', '短评打分': 4}
{'短评内容': '交通方便', '短评打分': 4}
{'短评内容': '酒店印象：\n1、放在房间的桶装饮用水很可能是装的自来水，因为换水的时候自己不能取水，送来的时候是开封的，也没有标识，喝起来也是自来水的味道。\n2、房间毛巾等物品可以淘汰了。\n3、大门进出门不方便，3次进门都要打了电话才开门，浪费我的电话费。\n4、虽然跟周边的房间要便宜一点点，但还是对不起这样的价格。\n优点是离鸟巢近', '短评打分': 1}
{'短评内容': '亲戚来北京玩住的，离家近方便，比较干净，这个地理位置算是价格低的了', '短评打分': 5}
{'短评内容': '亲戚来北京玩住的，离家近方便，比较干净，这个地理位置算是价格低的了', '短评打分': 5}
{'短评内容': '这个价钱还行吧，不是在这里享福的', '短评打分': 3}
{'短评内容': '床铺还算干净，可洗淋浴。就是隔音不太好，交通还算便利，价钱也合适。', '短评打分': 5}
{'短评内容': '老板挺好', '短评打分': 3}
{'短评内容': '价格还行，环境一般……', '短评打分': 3}
{'短评内容': '房间味道非常重，毛巾都是坏的。空气不好，服务也不行', '短评打分': 1}
{'短评内容': ' 旅馆从卧龙小区正门进很难找。门面很小。前台只有一个服务员。没有统一着装。看起来像是家庭作坊。窗户朝走廊，不过有窗帘，但隔音效果不好', '短评打分': 3}
{'短评内容': '看了评论有味，但决没想到能味道如此忍无可忍，再也不会去了!', '短评打分': 3}
{'短评内容': ' 相对于周边地区的房价来说，也算勉强对得起这个房价了。', '短评打分': 3}
{'短评内容': '小巧干净', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '住宿环境不是太好，价格便宜，估计只能这样了。\n', '短评打分': 1}
{'短评内容': '太难找了...设备还说的过去 可是相对这个价位就...贵了...', '短评打分': 3}
{'短评内容': '离国家会议中心很近，地段不错，房间环境一般。不过价位还是低啊。', '短评打分': 3}
{'短评内容': '地理位置很理想，价格很优惠，房间还可以，总体是可以接受的。为什么要打50个字呢，不打50个字就不能评价吗？很讨厌这个！！！！！！！！！！！！！！！！！！！！！！！！！！1', '短评打分': 5}
{'短评内容': '离鸟巢、科技馆很方便。安静，房间设施一般', '短评打分': 5}
{'短评内容': '就是离着科技新馆、鸟巢、水立方、奥林匹克公园、国家会议中心近；房屋较小，无人不换风，无对外窗户室内较味，开空调后可以。', '短评打分': 5}
{'短评内容': '里面的设施很垃圾很古老，房间很小，很不舒服，服务态度也很差', '短评打分': 1}
{'短评内容': '酒店不错，离国家会议中心很近，就是卫生间太小了，房间隔音也不是很好，洗漱用品似乎没人更换，房间也没人打扫，有热水，旁边还有家24小时超市，很方便。', '短评打分': 5}
{'短评内容': '  宾馆还行，就是不好找啊', '短评打分': 3}
{'短评内容': '离国家会议中心很近步行约十分钟,但上网不行.', '短评打分': 3}
{'短评内容': '价格有点高。', '短评打分': 3}
{'短评内容': '离鸟巢近，在马路边，很方便，老板人很好', '短评打分': 3}
{'短评内容': '虽不能说是上好的酒店，但物有所值，下次还会选择它。', '短评打分': 5}
{'短评内容': '房间太小，被褥也不干净，洗澡只有20分钟！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '本人感觉，这家酒店的还价格合理，设备也比较齐全，环境也算干净。', '短评打分': 5}
{'短评内容': '地方不错，就是有点偏了，在小区里面，找个半天，里面还挺干净的，态度也好', '短评打分': 5}
{'短评内容': '不错，下次还来.离会展中心很近，很方便-----', '短评打分': 5}
{'短评内容': '隔音很差 还算干净 房间很小 价格是很便宜  但是下次不会去了', '短评打分': 1}
{'短评内容': '房间气味比较重，虽然便宜，也不能有味道呀。', '短评打分': 1}
{'短评内容': '位置很偏。在一个小区里。进小区还要先按门铃，很麻烦。房间里全是消毒水的味道。就是一个小旅馆。不值。', '短评打分': 1}
{'短评内容': '住宿环境不是太好，价格便宜，估计只能这样了。', '短评打分': 5}
{'短评内容': '临时入住的，房间小，没空调，在小区内貌似，所以进门时还要按门铃，前台从宾馆出来给开的门，总之性价比一般。不值这个价，但是地段好，所以贵吧。', '短评打分': 1}
{'短评内容': '经济酒店价格还可以，适合学生，总的来讲还可以吧', '短评打分': 5}
{'短评内容': '环境一般', '短评打分': 5}
{'短评内容': '：位置可以，离鸟巢水立方近，但住宿环境很一般', '短评打分': 5}
{'短评内容': '一家小旅社.位置有点难找.但价钱也相对公道.适应学生族.', '短评打分': 5}
{'短评内容': '也就是个招待所  服务质量一般  位置在卧龙小区院里', '短评打分': 1}
{'短评内容': '房间非常小，地理位置离鸟巢比较近，但在一个小区里，一般人还真不好找。不过相对于这个位置价格还算不错的。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '住了两天都未给做卫生，电视信号也不好，除了靠近科技馆外没有可值得住的。', '短评打分': 1}
{'短评内容': '+满意', '短评打分': 5}
{'短评内容': '服务态度很好~~环境也不错~~价位也便宜~~', '短评打分': 5}
{'短评内容': '不怎么样', '短评打分': 1}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '除了临近奥体中心以外，其他只能用（差或极差）来形容。这家叫宾馆，实际上就是一个私人小旅店！以后不会住这地方了！！！！！', '短评打分': 1}
{'短评内容': '我想我不会再去', '短评打分': 1}
{'短评内容': '请大家注意某些评价，我就是看了那些评价后去的，都不知道是不是真的有他们说的那么OK，但是请各位务必在入住前先去看看房间，再决定要不要住，不然你一定会有一种受骗上当的感觉！这个社会，托怎么会这么多了！', '短评打分': 3}
{'短评内容': '酒店和网上的评论出入还是很大的，位置稍微靠近了鸟巢，但是出行未必是方便！最主要是房间比较小，卫生间是直接用玻璃从房间里面隔出来的，房间没有空调，窗户有也是对着走道的，没有任何意义，除了隔音很差外！去入住的时候没有多想，工作人员还进去喷了几下清新剂，后来才知道，因为里面卫生间的气味比较重，搞得都不敢上厕所了！强烈建议，不要为了省4，50元，住这里，的确是感觉差了一点！', '短评打分': 1}
{'短评内容': '炫豪宾馆其实就是一家庭旅馆，房间很小，价格比我在和平里住的标间还贵一些。但离奥运公园很近，对于晚上观鸟巢夜景非常方便。', '短评打分': 5}
{'短评内容': '酒店很干净，住着也舒服。挺不错的。', '短评打分': 5}
{'短评内容': '酒店的性价比还不错，当时预定的是商务三人间价格还是比较合理的，位置也还好，配置硬件设施也很达标。根据价格来讲算是比较达标的酒店。配置设施就是旅馆式的。', '短评打分': 5}
{'短评内容': '除了位置好，别的很一般', '短评打分': 1}
