{'短评内容': '酒店不错啊', '短评打分': 4}
{'短评内容': '设施一般吧，也不算太旧的。毛巾看起来比较破，房间不是很小，旅游淡季价格倒是不贵', '短评打分': 4}
{'短评内容': '首先房间给我第一印象：干净！入住之后发现我入住的是一间单人间，一个小窗户，窗户下正好就是格林联盟的早餐部，下楼出门就是公交站，路途不远的话 还有小黄车！交通很便利！可是夜里三点多就会被吵醒！因为卖早餐的开始工作了！这是唯一令我失望的', '短评打分': 5}
{'短评内容': '非常方便，位置好找', '短评打分': 5}
{'短评内容': '房间太小了，而且空调也不好，浴室漏水实在是太厉害，门都关不上，浴室顶也是坏的，放置东西的筐业不好，真的很不满意，总得来说浴室实在是太差了，无法忍，下水也不好', '短评打分': 3}
{'短评内容': '位置不错，条件不错，就是有点吵', '短评打分': 5}
{'短评内容': '位置方便，服务快速质量很好。周围有吃喝玩乐的场所，除了晚上稍微有点吵，毕竟靠近马路。总的来说还是很不错的。', '短评打分': 4}
{'短评内容': '位置方便，服务快速质量很好。周围有吃喝玩乐的场所，除了晚上稍微有点吵，毕竟靠近马路。总的来说还是很不错的。', '短评打分': 4}
{'短评内容': '位置方便，服务快速质量很好。周围有吃喝玩乐的场所，除了晚上稍微有点吵，毕竟靠近马路。总的来说还是很不错的。', '短评打分': 4}
{'短评内容': '干净，卫生，很好', '短评打分': 5}
{'短评内容': '隔音效果不好，会影响休息，已经住过几次都是感觉噪声有点大，希望能改进，其他的还不错，周围交通也便利，消费场所也多', '短评打分': 4}
{'短评内容': '不错，实惠', '短评打分': 5}
{'短评内容': '挺好的，价格便宜，离市中心挺近的', '短评打分': 4}
{'短评内容': '周边吃饭不太方便，卫生干净  床很舒适  是我喜欢的软软的那种，无线也还可以  总之还不错', '短评打分': 5}
{'短评内容': '酒店还是不错的，房间与图片一致，交通方便。唯一就是在携程定贵了，交的137一晚，酒店单子是120一晚的。。哎', '短评打分': 5}
{'短评内容': '很好，吃饭方便。服务很好。', '短评打分': 3}
