{'短评内容': '真是很好的，外面看很一般，里面富丽堂皇的，价格亲民，下次来无锡还到这家店。', '短评打分': 5}
{'短评内容': '好好好好', '短评打分': 5}
{'短评内容': '一直住这边，很安静，很好！', '短评打分': 5}
{'短评内容': '环境不错，挺干净的', '短评打分': 5}
{'短评内容': '酒店性价比很高，前台还给我免费升级了。', '短评打分': 5}
{'短评内容': '房间空间很大', '短评打分': 5}
{'短评内容': '酒店还不错，房间很大', '短评打分': 5}
{'短评内容': '定的大床房，感觉比朋友定的套房稍微小点，位置比较方便，靠近朋友家，就是里面的设施老旧了，没新的住的那么舒服，而且说是四星级的，无论从里到外都有点感觉不到哦，不错总体性价比还可以的，比较实惠', '短评打分': 5}
{'短评内容': '非常棒的体验。推荐！', '短评打分': 5}
{'短评内容': '订了付款了说没房，看来还是要先联系', '短评打分': 5}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '环境优雅，清洁，卫生', '短评打分': 5}
{'短评内容': '前台服务不错', '短评打分': 5}
{'短评内容': '前台服务不错，特别感谢大堂经理徐敏先生和前台刘佳燕小姐的热情帮助，谢谢你们！下次来无锡还会再来的入住的！', '短评打分': 5}
{'短评内容': '真的特别棒 我的行李落在房间了 还帮忙快递了 ', '短评打分': 5}
{'短评内容': '性价比很高的酒店', '短评打分': 5}
{'短评内容': '这里的服务员态度和蔼可亲，这里的交通环境很好的，这里的酒店用品也很不错哦，这里的吃饭什么的都很方便。', '短评打分': 5}
{'短评内容': '房间还可以，隔音很好，房间的位置还是有点区别的，所以需要提前定房事说清楚。早饭如果能更好点就好了，有点简单', '短评打分': 5}
{'短评内容': '很好，房间很大', '短评打分': 5}
{'短评内容': '一般般吧餐厅菜价贵菜品差', '短评打分': 4}
{'短评内容': '您可以聊聊酒店服务、位置、设施、环境卫生等方面的真实体验。所有真实有效的评价都会被显示。', '短评打分': 5}
{'短评内容': '酒店不错吧！外面看不出是四星级的。', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 4}
{'短评内容': '大抵不錯、下次還會再預定入住。', '短评打分': 4}
{'短评内容': '房间比较大，\r\n环境不错。', '短评打分': 5}
