{'短评内容': '设施设备比较旧，床单被套等看上去还是挺干净的。最大优点是去哈工程学校近，周围环境好、安静。早餐也可以。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '服务还行', '短评打分': 5}
{'短评内容': '服务好，干净，价格合理，很满意', '短评打分': 5}
{'短评内容': '一般般，有点不喜欢', '短评打分': 3}
{'短评内容': '位置对我来说非常好。但是空调不好使，冷得睡不着觉，衣服都没脱，几乎一夜也没睡着。 总台电脑坏了，入住手续办不了，找了修理的人也没修好。离店时扣了坐便套的费用，我根本就 没看见有座便套，总台又联系楼层服务员，又把钱还给了我。 再也不去这个店了。', '短评打分': 2}
{'短评内容': '酒店环境不错，房间干净，服务态度也很好，推荐。位置比较好，交通方便，特价房有早餐，适合商务和旅游，……！', '短评打分': 5}
{'短评内容': '酒店环境还不错，军工院内非常安静，房间也干净卫生', '短评打分': 4}
{'短评内容': '是隔音不太好', '短评打分': 4}
{'短评内容': '总体来说挺好的，有机会会再次入住的', '短评打分': 5}
{'短评内容': '餐厅差一些。', '短评打分': 3}
{'短评内容': '在一起时代电视剧', '短评打分': 4}
{'短评内容': '住过好几次了，很好，物有所值', '短评打分': 3}
{'短评内容': '环境不错  房间内设备齐全 晚上有一段时间断电不知道停电还是特意断电！希望改进', '短评打分': 3}
{'短评内容': '也许是建店较早吧，设施有些老化，尤其卫生间明显', '短评打分': 5}
