{'短评内容': '酒店位置不错，吃饭很方便。酒店属于老式装修，但价格便宜，个人出行，性价比很高！窗户很大，我住的阳面，阳光明媚，屋内暖气也挺热，总体满意！', '短评打分': 5}
{'短评内容': '酒店位置还可以，虽然冬天空调不让开，但是暖气的温度足够用，不冷。屋内的装潢有年头了，电视有点儿小，但是算得上干净，算得上用心，电视个别有雪花。隔音有些差，早上是被楼上的人穿高跟鞋吵醒的，大晚上隔壁和走廊还有些吵。服务员的态度都很好，让人觉得亲切。早餐的话，样式较少，吃饱没有问题', '短评打分': 4}
{'短评内容': '床睡的比较舒服', '短评打分': 5}
{'短评内容': '非常不错值得入住', '短评打分': 5}
{'短评内容': '很好的啊！', '短评打分': 5}
{'短评内容': '经济实惠的酒店', '短评打分': 5}
{'短评内容': '很好！环境不错', '短评打分': 5}
{'短评内容': '非常的宾馆', '短评打分': 5}
{'短评内容': '卫生间设施陈旧了一些，其它方面还是不错。', '短评打分': 4}
{'短评内容': '黄金首饰就是觉得你的空间经常看到不大可能纯棉内裤不参加点解点解', '短评打分': 5}
{'短评内容': '前台的服务态度特别好，室内也很好，这个价钱真的很合适，推荐！！', '短评打分': 5}
{'短评内容': '总体不错，尤其是早餐', '短评打分': 5}
{'短评内容': '不错，出差住宿值得推荐', '短评打分': 5}
{'短评内容': '房间大服务好性价比高，所以又续住了一天', '短评打分': 5}
{'短评内容': '一切都很好，除了临街，有点吵。前台妹子好漂亮阿', '短评打分': 5}
