{'短评内容': '仃车有，不过连续住了三天，却一直没有换床单，临到退房时，想冲个热水澡，打开水龙头一直都是凉的，打电话前台，大半个小时都没有回复，真的是冲个凉水澡', '短评打分': 3}
{'短评内容': '可以撒', '短评打分': 4}
{'短评内容': '前台服务很差，我一个人入住，订的双人间，还问为什么一个人不订单人间，要订双人间！', '短评打分': 2}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '还行吧，就是小卡片太多', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '环境挺好,只是网络WI-Fi时好时差的,没有免费洗漱用品', '短评打分': 4}
{'短评内容': '还可以吧。', '短评打分': 4}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '前台服务太差，携程上己付款，结帐还要我付款，把我气晕了。3分吧。', '短评打分': 3}
{'短评内容': '第二次入住  睡的很乡', '短评打分': 3}
{'短评内容': '还可以     ', '短评打分': 3}
{'短评内容': '不咋地。', '短评打分': 3}
{'短评内容': '交通方便，吃饭方便，酒店铺盖不卫生', '短评打分': 4}
{'短评内容': '不错，很实惠，条件也很好', '短评打分': 3}
