{'descr': '便宜性价比高', 'star': 4}
{'descr': '前台大姐肤白貌美，亲切随和，房间宽大，床超级舒服，物料齐全，交通方便，价格亲民，下次还要住，住了不想走', 'star': 5}
{'descr': '非常好，非常好', 'star': 5}
{'descr': '酒店位置还行，毕竟便宜，性价比很高了', 'star': 3}
{'descr': '酒店位置还行，毕竟便宜，性价比很高了', 'star': 4}
{'descr': '住的人不多，但是性价比很高，毕竟这么便宜了，离地铁也不算远', 'star': 4}
{'descr': '以前从来不去评价的，不知道浪费了多少积分，自从知道评论之后京豆可以抵现金了，才知道评论的重要性，京豆的价值，后来我就把这段话复制了，走到哪里，复制到哪里，既能赚京东，还非常省事，特别是不用认真的评论了，又健康快乐又能么么哒，哈哈哈', 'star': 5}
{'descr': '应急不错', 'star': 4}
{'descr': '不错！！！', 'star': 4}
{'descr': '其实设施卫生也没有评论里那么差了，都能满足基本的使用，离镇坪路地铁站走20分钟，周边有面馆和便利店，性价比还是挺高的', 'star': 4}
{'descr': '个人感觉还是蛮不错的，特价房价钱合理，房间干净卫生舒适，交通还算较为便利的～', 'star': 5}
{'descr': '差劲，吹风机都没有，空调都坏的，热水出水量少，水杯脏，除了地理位置还算在闹市区外，其他都很差劲，只有失望，不值这个价格', 'star': 1}
{'descr': '常常常', 'star': 4}
{'descr': '常驻', 'star': 4}
{'descr': '还行吧！车子没法停房间有点吵！', 'star': 5}
{'descr': '满意', 'star': 4}
{'descr': '好', 'star': 4}
{'descr': '卫生好差~隔音不好~全楼有味道~', 'star': 1}
{'descr': '还行，地点也不是太偏，总得还可以吧，可以经常 去\n', 'star': 5}
{'descr': '高级大床房还是挺不错的，房间空间适中，比较舒适', 'star': 5}
{'descr': '这家酒店还行、、、连锁的，，就是 房子有点小 ，，这价值了', 'star': 5}
{'descr': '还行吧 就是环境不是很好，价格还算合理。', 'star': 5}
{'descr': ' 住的是特价房，房间小，不隔音，很简陋，对付一宿吧，市区这个价格也就这个样吧。', 'star': 3}
{'descr': '很简陋,不过也就这个价格,还算相符,隔音非常差\n有小虫,发现n个,', 'star': 1}
{'descr': '房子尚可，也凉快，就是小点，', 'star': 3}
{'descr': '房间一般般，简单住住还可以，价格还行，离地铁站15分钟步行', 'star': 1}
{'descr': '交通还算方便，房间就是一般的私人旅店的感觉，没有正规连锁酒店的范', 'star': 1}
{'descr': ' 可能是有优惠所以房间好好好差的说', 'star': 3}
{'descr': '很不推荐，很吵，味道很大那种。感觉很脏的那种。一点没有连锁店的标准。', 'star': 1}
{'descr': '，我已住入蒲江之星宾馆，这里的网络不好，你们的网站都打不开，我还订两天的特价房，不知有吗？我要订27，28号的客房', 'star': 3}
{'descr': '网速太差，而且机器运转的声音很大，不值得', 'star': 1}
{'descr': '环境设施尚可，地方也还好，挺方便的。不过隔音有点差。晚上不能睡太好。', 'star': 5}
{'descr': '地理位置不错，离我朋友要去的地方很近，而且不远的地方有乐购，还有很多饭店，房间的话，面积小了点，不过还是很干净的，该有的都有，还是不错的。前台的业务办理速度也很快。', 'star': 5}
{'descr': '感觉挺干净…光线很黑！房间比较小…这个价位也还好。', 'star': 3}
{'descr': '交通便利，环境卫生都还好，只是房间有点小，而且没拖鞋。', 'star': 3}
{'descr': '我看了看大家的评论，我不知道是大家要求高呢，还是我没什么要求，我觉得房间还可以，设施还算齐全，房间也挺干净，卫生间非常好，24小时热水供应，只是相对房间小一点罢了，但毕竟是特价房。离七号线比较近，三号线四号线的出口过来相对远一点。周围超市、商店齐全。', 'star': 5}
{'descr': '先定了一间，很小。因为信号不好换了一间，同样的价格，换到一间很宽敞的，不知为什么差别那么大啊。', 'star': 1}
{'descr': '房间环境太脏，安静，电视机画面不是很好。', 'star': 5}
{'descr': '空间太狭小了!卫生也不好 墙上都是脚印.厕所还臭.118完全不值得 离3号线3号出口远,相对7号线4号出口还近点 ,总之 不划算', 'star': 1}
{'descr': '还可以，旁边很多商店。\n\n环境不错，价格便宜。\n\n坐地铁就可以到，我从日本归国第一站就是这里', 'star': 5}
{'descr': '便宜，房型欠佳', 'star': 3}
