{'短评内容': '卫生不错，很方便', '短评打分': 5}
{'短评内容': '环境还可以，设施比较简单', '短评打分': 5}
{'短评内容': '酒店位置很好，房间内要用的东西比较齐全，桌子看上去有点旧了，不过挺干净的，床软软的也比较舒服。。。。。。', '短评打分': 5}
{'短评内容': '虽然装修的早，但是卫生还可以，很干净，WIFI也不错能使有时候会卡一点，窗户超级大，很敞亮，而且离地铁站近，推荐。', '短评打分': 5}
{'短评内容': '位置好在地铁口，有停车场，方便。', '短评打分': 5}
{'短评内容': '房间很大，有点吵，一般吧', '短评打分': 3}
{'短评内容': '感觉蛮好的，就是网络不好，下次来了还会住。', '短评打分': 5}
{'短评内容': '一般一般一般', '短评打分': 5}
{'短评内容': '在京东订房就是优惠实在，关键是这位店家的房间干净宽敞！很好，这是第二次了?', '短评打分': 5}
{'短评内容': '条件一般，服务一般', '短评打分': 2}
{'短评内容': '基础设施有点差，花洒竟然是坏的。', '短评打分': 4}
{'短评内容': '过得去', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '地理位置还可以，就在长龙地铁站口', '短评打分': 4}
{'短评内容': '房间设施旧', '短评打分': 2}
{'短评内容': '设施较完善，环境还可以！外观一般般', '短评打分': 5}
{'短评内容': '出入比较方便，就在地铁口旁边，吃饭也比较方便', '短评打分': 5}
{'短评内容': '设施齐全，周边环境还可以，外观一般般', '短评打分': 5}
{'短评内容': '房间卫生还可以，设备较齐全，环境还不错', '短评打分': 5}
{'短评内容': '很好，很不错。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店环境好,清洁卫生...', '短评打分': 3}
{'短评内容': '遇上台风，断了两天的电，房间有点湿，爬了两天的楼有点小不方便，其它还好', '短评打分': 5}
{'短评内容': '酒店整体来说还算可以，如果把窗户的隔音做好一点就更好', '短评打分': 5}
{'短评内容': '还行，只是不小心遇上台风，有点小不顺，服务员的态度还是不错的', '短评打分': 5}
{'短评内容': '还不错,就在地铁口,早餐算挺丰富的.值的去住.', '短评打分': 5}
{'短评内容': '住的是套房，2房一厅，房间格局还不错，就是床单有点脏，喊服务员换的时候，态度很不好，不耐烦，走的时候还重重的关了下门，下次应该不会去了，换别家试试\n', '短评打分': 1}
{'短评内容': '酒店位址很好，在地鐵站旁，房間很衛生，床又大。 只是好像沒得上網…', '短评打分': 5}
{'短评内容': '经济实惠，酒店5楼餐厅实惠好吃，设施较旧，但也干净，交通便利，楼下就有公交车站和地铁', '短评打分': 5}
{'短评内容': '地理位置不错,交通便捷.房价经济', '短评打分': 3}
{'短评内容': '酒店环境不错，早餐可以！周围交通也还方便，唯一不足就是靠街道那边有点吵！', '短评打分': 5}
{'短评内容': '还行吧，平民招待所。对得起这个价格', '短评打分': 3}
{'短评内容': '房间环境不错，单人床够大，一米八宽，洗手间也够宽敞。唯一不足的是，毛巾、浴巾太过破烂陈旧了，看起来很不卫生的样子。', '短评打分': 5}
{'短评内容': '比想象中的好点。', '短评打分': 3}
