{'短评内容': '便宜嘛，对得起这个价位。', '短评打分': 3}
{'短评内容': '卫生一般，设施陈旧，服务态度和地理位置较好', '短评打分': 4}
{'短评内容': '位置离人民小学近，停车 也方便。服务态度也较好，就是装修和设施、卫生一般。', '短评打分': 4}
{'短评内容': '住了几次，都下午两点之后入住，早去了不方便。', '短评打分': 5}
{'短评内容': '性价比比较高  位置很好  交通方便。。', '短评打分': 5}
{'短评内容': '楼层高视野远房间大，自来水小，排水糟糕，房门锁保险坏，网速快。', '短评打分': 4}
{'短评内容': '住了很多年了，价格不高，房间卫生，周边环境也不错，原来无线网很差，现在升级了方便多了，感觉很不错，来重庆一直住这里！！', '短评打分': 5}
{'短评内容': '还不错吧，房间卫生，周边环境也不错，原来无线网很差，现在升级了方便多了，感觉很不错，住了好多年了！！', '短评打分': 5}
{'短评内容': '还不错吧，房间卫生，周边环境也不错，原来无线网很差，现在升级了方便多了，感觉很不错，住了好多年了！！', '短评打分': 5}
{'短评内容': '升级了无线网信号，比原来好多了', '短评打分': 5}
{'短评内容': '设施很齐全，附近就有轻轨站和公交车站，很方便。吃喝玩乐都很方便的地方。但设施有些旧了、不是冷暖空调。', '短评打分': 5}
{'短评内容': '因为国考定了，离考点非常近。 图片就不来了，因为实在是很low。 墙纸什么的，无所谓啦。关键是，下水道堵塞！马桶堵塞，松动，而且还会从地面漏水！上完厕所后的水呐。房间隔音不好。房间无窗，室内味道有点霉臭。sorry。实事求是 综合点评，还行！要是能把卫生设施好好搞一下就很好了！ 房间无线网速很快！电视剧频道非常多，而且很清晰！这个很好。', '短评打分': 3}
{'短评内容': '看得出来这家酒店曾经是非常不错的。但现状堪忧：硬件方面年久失修；软件方面管理不善。平心而论，已经不再具备对外营业的基本条件了！', '短评打分': 3}
{'短评内容': '很不错，已经住了很多次了，价廉物美。', '短评打分': 3}
{'短评内容': '交通方便，前台态度好。', '短评打分': 3}
{'短评内容': '因长期出差，在这里驻点，就基本包月住这里，环境不错，吃交通方便，其它也没什么，要是团购涨价就不在来了，因为之前的那个团购价，还算匹配这个设施，要是涨价了感觉不值，去别的宾馆吧合算。', '短评打分': 4}
{'短评内容': '挺不错。', '短评打分': 3}
{'短评内容': 'jiu酒店不错。。呵呵位置很好。设施都很齐全。。就是进门时的小心哦。。有个小台子。。我相信入住哪个酒店的每个人第一次进门都会被绊倒的哈哈大家小心了,,,,性价比不错', '短评打分': 5}
{'短评内容': '房间还可以。隔音效果不是很好…', '短评打分': 3}
{'短评内容': '入住体验尚可', '短评打分': 3}
{'短评内容': '酒店的房间挺不错，服务很好，房间面积也可以，就是下次把发票多准备点最好了，下次还会入住', '短评打分': 5}
{'短评内容': '还不错，在这个价位的宾馆算是达标吧，卫生间的布局让我很费解，直接是空挡。应该是新开的宾馆，登记时候帮忙优惠进去了电脑间，还算比较人性化。总体来说交通什么滴还是比较方便，但是因为出于大转盘这里，不关窗户比较吵。站在16楼看夜景还是不错的。', '短评打分': 5}
{'短评内容': '豪华简单的客房不错，服务热情。有停车位，就是收费，不太舒服（宾馆应该沟通以后给客人停车免费就好）。有机会还去住。', '短评打分': 5}
{'短评内容': '这个酒店很不错，比较好找，我定的128，虽然房间稍微有点小，但是设施很不错，交通很方便，去机场可以坐轻轨哟', '短评打分': 3}
{'短评内容': '地理位置蛮好的，酒店的服务也很不错，可以推荐大家去住。也希望店家越做越好。。。', '短评打分': 5}
{'短评内容': '很超值 装修也很不错 价格也便宜 服务态度非常好 房间也干净 唯一一点点不足的地方就是灯有一个坏的 有点点吵 但是没办法位置好！但是我是第一次遇见没星的宾馆 老板还这么谦虚的叫我给点意见 这个宾馆出差肯定长住了。', '短评打分': 5}
