{'短评内容': '客栈老板好人，环境也不错~~~推荐', '短评打分': 5}
{'短评内容': '很不错，环境很好', '短评打分': 5}
{'短评内容': '很不错，可以一住', '短评打分': 5}
{'短评内容': '国庆抢到比较便宜的价钱，一分钱一份货。总体还算满意。', '短评打分': 3}
{'短评内容': '老板很热情我们到的很晚，还帮我们留着房间，很好', '短评打分': 5}
{'短评内容': '老板人挺好，给我们介绍当地的风景名胜，床很舒适，睡得很好，今晚又住的这儿，明天去香格里拉玩', '短评打分': 5}
{'短评内容': '挺不错的，就是那个房间的水有点不好，隔音差，整体还行', '短评打分': 3}
{'短评内容': '让人感动的服务，让人宾至如归的感觉，非常满意的客栈，客栈设施很考究，床品，卫生间的用品体现了老板对品质的追求，感谢好客健谈的老板，下次咱再聊。', '短评打分': 3}
{'短评内容': '地理位置比较安静，适合居住，设施对的起这个价钱，性价比高。', '短评打分': 3}
{'短评内容': '挺好的，干净，住着舒适。', '短评打分': 3}
{'短评内容': '酒店环境非常不错，服务超赞，住的非常舒服，真的很好，值得推荐，老板人不错，值得来住，地理位置也方便。', '短评打分': 3}
