{'短评内容': '床很软，真的很软，别的也都不错', '短评打分': 5}
{'短评内容': '还不错！！', '短评打分': 4}
{'短评内容': '住了2天，用了个马桶垫3块，开包茶叶5块', '短评打分': 1}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '距离华清池较近，周围有小吃，位置很好找。条件要求不高的，可以选这家，服务很好。                   ', '短评打分': 4}
{'短评内容': '早餐就是稀饭馒头咸菜，房间很小，隔音不好，位置还行，在道边，有停车的地，老板人还好，就是设施太差了，携程应该把把关，毕竟要想做品牌，还是应该有标准的。', '短评打分': 3}
{'短评内容': '一般般，做学生生意的。', '短评打分': 5}
{'短评内容': '不错，挺干净的', '短评打分': 5}
{'短评内容': '可以好好', '短评打分': 2}
{'短评内容': '还行吧，符合一般人的正常需求。', '短评打分': 5}
{'短评内容': '定的商务套间，价格虽然便宜，但是设施严重不行，配了三个凳子坏了俩！', '短评打分': 3}
{'短评内容': '房间不大，下水道不通。', '短评打分': 3}
{'短评内容': '价格公道，卫生条件较好，房间空间较大，商务住宿可以考虑。', '短评打分': 4}
{'短评内容': '不错。位置很便利，来了很多次了', '短评打分': 3}
{'短评内容': '条件好，交通方便。', '短评打分': 5}
{'短评内容': '很不好！贵！卫生差！可气的是床上还有蚂蚁之类的小虫', '短评打分': 3}
