{'短评内容': '周围有施工半夜闹哄哄的', '短评打分': 4}
{'短评内容': '房间有点发霉的气味，冷水水压可以，热水水压不足，马桶蓄水有时会卡住，冲不了水，需打开马桶盖进行处理。', '短评打分': 4}
{'短评内容': '卫生还可以，交通还算比较方便，离步伊斯兰风情街比较近，酒店楼高五层，可惜没有电梯，携带行李上楼不方便。', '短评打分': 4}
{'短评内容': '挺好的，交通方便，早餐也不错', '短评打分': 4}
{'短评内容': '交通非常方便，停车方便，离景点近，周围的烧卖值得去吃', '短评打分': 4}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '哈哈他们服务态度挺好的，只可惜离医大附院远了', '短评打分': 5}
{'短评内容': '设施较陈旧', '短评打分': 4}
{'短评内容': '差就是差', '短评打分': 1}
{'短评内容': '酒店位置稍偏，洗澡的喷头漏水，早点不错，前台服务态度不错，保安兄弟非常热情给个赞。', '短评打分': 3}
{'短评内容': '挺好的，每次都住这，交通方便', '短评打分': 3}
{'短评内容': '步行街，很方便', '短评打分': 5}
{'短评内容': '酒店不错 很满意  下次还住这里 酒店不错 很满意  下次还住这里 酒店不错 很满意  下次还住这里 酒店不错 很满意  下次还住这里 酒店不错 很满意  下次还住这里 酒店不错 很满意  下次还住这里 酒店不错 很满意  下次还住这里 ', '短评打分': 5}
{'短评内容': '地点较偏僻，不怎么好找，在小巷中，早点不错，房间也挺干净，仍推荐一下', '短评打分': 5}
{'短评内容': '地理位置比较方便，房间明亮，整洁，整体感觉还好', '短评打分': 5}
{'短评内容': '地点较偏  价位合理  就是小了一点  早点较丰富都是特色', '短评打分': 5}
