{'短评内容': '总是不得已才会到这家，因为真的很旧。所以，房间总是有空。', '短评打分': 1}
{'短评内容': '该酒店 环境好 交通方便 火车站附近 市中心 ', '短评打分': 5}
{'短评内容': '太破太陳舊了，和想像中差距太大，比較無語，有種上當受騙的感覺。好像是上個世紀的產物，整個房間充滿了殘舊的氣息。席夢思怎麼像彈簧一樣硬邦邦的，只有花灑沒有蓮蓬頭，以後再也不敢去了。三百多住這種酒店，太崩潰了！', '短评打分': 1}
{'短评内容': '就是一个字“旧”.就是哪都是旧的，应该翻新一下。', '短评打分': 1}
{'短评内容': '在温州还算不错的酒店，挺显档次，服务和卫生挺好，位置也不错，下次去还会住的的。', '短评打分': 5}
{'短评内容': '这里管理挺好，安全性挺高，设施挺齐全，早餐是自助的，种类挺多的。', '短评打分': 3}
{'短评内容': '服务挺好，卫生挺好，设施挺齐全，还能提供早餐，这样的酒店值得推荐。', '短评打分': 5}
{'短评内容': '服务质量挺好，房间挺干净，床铺也挺干净，质量也挺好，睡着挺舒服。', '短评打分': 5}
{'短评内容': '这的早餐挺丰盛的，房间还好，住着还算舒适，停车场小了点，停车不太方便。', '短评打分': 3}
{'短评内容': '位置挺好，离火车站不远，周边交通挺便利，性价比方面还不错。', '短评打分': 3}
{'短评内容': '房间比较大，设施挺齐全，光线挺好，隔音也不错，晚上睡得挺舒适。', '短评打分': 5}
{'短评内容': '装修的挺好，面积也挺大，设施和洗漱用品都挺好，住的挺舒适。', '短评打分': 5}
{'短评内容': '酒店挺好的，没什么不满意的地方，价格上挺合理的。', '短评打分': 5}
{'短评内容': '房间挺宽敞的，落地式的窗户，采光很好，还可以看风景，感觉挺不错，价格也挺合理的。', '短评打分': 5}
