{'短评内容': '总体来说还不错，性价比较高', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店设施设备齐全，很温馨，刚到这里看到有差评，本来抱着试一试的心态，结果令人意外，前台服务员态度非常热情，房务中心阿姨做事也让人满意，早餐非常齐全，有特色，真的是意外的惊喜，下次路过还住这里，值得推荐！赞一个！', '短评打分': 5}
{'短评内容': '到酒店有一段路，非常难走，逆行的远光的……酒店外观很气派，但里面设施陈旧，有停车场，早餐不错，卫生很一般。我们办完入住手续把行李放到房间去楼下吃饭，回来居然发现房间有人进来过。问正在走廊的服务员，她说是进来过，稍微打扫了一下。非常费解，没听说晚上七点打扫房间的，关键是根本没有打扫过。真是闻所未闻啊。', '短评打分': 3}
{'短评内容': '早餐挺丰富，环境优美，前台服务态度超棒，下次还会来住！', '短评打分': 5}
{'短评内容': '前台服务好，环境好，建议大家来这里', '短评打分': 5}
{'短评内容': '前台服务很周到，环境也很好.', '短评打分': 5}
{'短评内容': '前台和楼层阿姨服务都很热情。房间舒适，早餐丰盛，强烈推荐', '短评打分': 5}
{'短评内容': '可以，安静', '短评打分': 5}
{'短评内容': '一般般，自助早餐还行！', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '在这个地方能有这样的酒店确实不错，设施很新，前台也热情，卫生也算比较干净，早餐还可以 ，地理位置也很方便', '短评打分': 5}
{'短评内容': '蛮好的', '短评打分': 5}
{'短评内容': '住了就不想再住祁阳其他酒店', '短评打分': 4}
{'短评内容': '服務很親切 環境乾淨', '短评打分': 4}
{'短评内容': '还可以啊', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '有点老了', '短评打分': 4}
{'短评内容': '这应该是家乡最好的酒店，跟大城市比，应该算便宜了。床铺很大，很舒服。就是服务略显生涩，如果再培训一下就更好了。以后回来还是会入住的。', '短评打分': 5}
