{'短评内容': '房间较小，但很干净。还不错。下次还会选择。', '短评打分': 5}
{'短评内容': '明明说是一米二的床，怎么变成一米的了？？这次和上次同等的价位，却明显没有上次的条件好，床明显与描述不符', '短评打分': 3}
{'短评内容': '有浴缸，可以泡澡。地段很好，交通便利。设施比较陈旧。晚上会有莫名其妙的电话。', '短评打分': 5}
{'短评内容': '订的是单人房怎么入住了却给的双人间', '短评打分': 3}
{'短评内容': '档次太低，那有2星，招待所小旅馆都比它好。', '短评打分': 3}
{'短评内容': '设施比较老， 房间有异味，空调噪音太大，卫生间太小，水温不够，椅子还是坏的，马上要散架了，优势是价格，楼下餐厅的饭菜还可以', '短评打分': 1}
{'短评内容': '宾馆晚上天天很准时的骚扰，希望以后改善。。。。。', '短评打分': 5}
{'短评内容': '酒店晚上骚扰电话很受不了。。。。。。。。。。', '短评打分': 5}
{'短评内容': '晚上电话很让人崩溃、、、。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '服务态度很好。。。。。。\n卫生间建议重装修。。。。。。', '短评打分': 5}
{'短评内容': '店里人的服务态度很好。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还是不错的  服务很好 就是晚上有电话打进问要不要足疗影响我睡觉', '短评打分': 5}
{'短评内容': '服务态度很好.。。。。。\n卫生间需要装修。。。。。\n\n', '短评打分': 5}
{'短评内容': '没有电梯不太方便,可能时间久了,墙体感觉有点老,卫生不错,位置也挺好的', '短评打分': 3}
{'短评内容': '酒店位置很好，有免费停车场，安全又方便，服务不错，环境OK！早餐一般，卫生有待改善！竟然在粥里看到小虫子，有点垃圾！', '短评打分': 5}
{'短评内容': '服务差的简直没边啦,再不会去住啦', '短评打分': 3}
{'短评内容': '非常好，住的很方便', '短评打分': 3}
{'短评内容': '入住酒店一晚，一般吧，地理位置还不错，硬件条件只能说是一般', '短评打分': 3}
{'短评内容': '房间小，设施陈旧，空调不管用，一般不会住那边了', '短评打分': 1}
{'短评内容': '第二次来这家酒店，环境不错，值得推荐，就是服务人员不咋地，服务态度有待改进哪', '短评打分': 5}
{'短评内容': '卫生不错，价位也合适！下次还来。呵呵', '短评打分': 3}
{'短评内容': '地段很不错，靠老市府，离火车站很近。从外地过来很好找，也很好走，不用进里面拥堵市区。卫生方面还很不错，房间设置都全乎，唯一的遗憾就是没早餐，需要自费10元，倒不是差那10块钱，只是觉的怎么和那些快捷酒店一个样不管早餐了。', '短评打分': 5}
{'短评内容': '不错，房间很干净，设施也不错，总体上比较满意，如果有机会还会再来。', '短评打分': 5}
{'短评内容': '设施较旧，还算干净，房间气味不太好。', '短评打分': 3}
{'短评内容': 'the room not bad,but is better if the wall paper of house get to decorate,the all furniture get renewal it will be change the volume of business, Gambatee ^^', '短评打分': 5}
{'短评内容': '客房一般，毛巾不干净，服务人员晚上在外大声喧哗，影响休息，尽量不去了', '短评打分': 3}
{'短评内容': '还不错哦 推荐入住 如果能够双早就更完美了 哈哈', '短评打分': 5}
{'短评内容': '在临沂这个价格的酒店算一般，早餐品种太少，其他水平一般情况了！', '短评打分': 5}
{'短评内容': '还好      。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '服务态度不错', '短评打分': 3}
{'短评内容': '  很满意 ', '短评打分': 3}
{'短评内容': '洗澡有点冷，空调不好，夜里还是冷，我还让服务员帮我找一床被子。', '短评打分': 1}
{'短评内容': ' 服务员的态度很好，房间比较干净，唯一不好的是卫生间没有洗澡拖鞋！', '短评打分': 5}
{'短评内容': '酒店不错，价位合理，早餐免费就好了~~~，希望下次去的时候', '短评打分': 5}
{'短评内容': '服务态度很好，让人感觉回到家的感觉', '短评打分': 3}
{'短评内容': '价格比较适中，服务也还可以，唯一不好的就是房间木地板有点缺陷', '短评打分': 5}
{'短评内容': '烂！120的房间也就50-70块钱的档次！\n用了二十多年的设备！旧！\n才住了一天停水几十次！经常没水，洗澡洗到一半竟然停水！说水压小上不来水！才4楼竟然说水上不来！\n不能上网！\n种种地方非常的不人性化，真不知道是让人住还是让人去受罪的地方！\n强烈建议朋友们千万别住这个旅馆！不然可后悔！\n', '短评打分': 1}
{'短评内容': '方便，貌似餐厅的自助花样太少，希望能增加一些花样，各种营养成分的菜品增加点好', '短评打分': 5}
{'短评内容': '还不错，服务态度挺好的...........', '短评打分': 5}
{'短评内容': '酒店交通较方便,服务还不错!', '短评打分': 3}
{'短评内容': '自助餐的花样太少，没有果汁或者可乐类的喝品', '短评打分': 5}
{'短评内容': '服务很热情，条件还可以。乘车也比较方便，下次过去还住那', '短评打分': 3}
{'短评内容': '房间有噪音密封差', '短评打分': 3}
{'短评内容': '总体上还不错，性价比很高，比较干净。推荐', '短评打分': 5}
{'短评内容': '室内温度舒适，收拾很及时！          推荐   推荐 推荐', '短评打分': 5}
{'短评内容': '酒店配置还可以，就是没有纯净水。烧水的电热壶有股怪怪的味道。507内门锁在里面锁不上，只有一个挂锁。其他的 都还可以吧，就是洗澡时刚开始有点冷，洗刷间没有暖气。', '短评打分': 5}
{'短评内容': '还不错，服务及时，早餐挺好，就是想能有中央空调就好了，每次进来都很冷一段时间才能带热', '短评打分': 5}
{'短评内容': '酒店年头已久，洗漱间看的让人倒胃口，不值这个价位，唯独有点好感的地方就是楼层服务员还是蛮热情的', '短评打分': 1}
{'短评内容': '比较舒服吧，室内很温  ^^^^^^^^^^^^^^^^^^^^^^', '短评打分': 5}
{'短评内容': '还可以，留机场近。下次出差还会再来！呵呵', '短评打分': 5}
{'短评内容': '不错 晚上送水果 打扫及时 楼下有超市 店内餐饮也不错', '短评打分': 5}
{'短评内容': '酒店服务热情周到，环境干净舒心，交通便利，安静', '短评打分': 5}
{'短评内容': '，我已经入住金坛宾馆，卫生、服务都很好！谢谢！', '短评打分': 3}
{'短评内容': '房间还可以,价格便宜。', '短评打分': 3}
{'短评内容': '环境不错小姐挺漂亮堂', '短评打分': 5}
{'短评内容': '总体性价比尚可 就是洗手间方面有点不尽人意', '短评打分': 3}
{'短评内容': '+卫生条件很好，卫生间特别干净，物超所值，价格实惠，下次还住这家！', '短评打分': 5}
{'短评内容': '感觉还不错，就是房间小点。', '短评打分': 5}
{'短评内容': '酒店还可以，离机场比较近，下次还会再来！', '短评打分': 3}
{'短评内容': '环境还可以', '短评打分': 5}
{'短评内容': '房间布置很漂亮，位置很好，服务也很不错，睡前还有免费水果，很实惠。以后会常住的。', '短评打分': 5}
