{'短评内容': '房间很干净。', '短评打分': 5}
{'短评内容': '一般般，吃住方便', '短评打分': 3}
{'短评内容': '好评，感觉到性价比很高，这个价位应该是很不错了，虽然在上海大都市，享受了高档的生活品质，非常的满意和满足，真诚的感谢酒店的服务。', '短评打分': 5}
{'短评内容': '酒店位置靠里面，比较安静', '短评打分': 4}
{'短评内容': '酒店位置不太好找的', '短评打分': 3}
{'短评内容': '房间干净整洁，位于徐汇区南丹东路，交通还比较方便，离徐家地铁站也比较近。离徐家汇商业中心也很近，购物也很方便。', '短评打分': 5}
{'短评内容': '好方便可以的好方便可以的', '短评打分': 5}
{'短评内容': '为江苏的亲戚订的，靠近徐家汇，出行很方便，酒店设施不错，性价比很高，早上也可以到附近去尝尝上海小吃，然后去徐家汇逛逛，真的很不错。', '短评打分': 5}
{'短评内容': '价格还是挺实惠的，就是厕所味道有点大，还有就是隔音效果实在太差，走廊有一点点声音都听得到，对于一个睡眠很浅的人来说是种折磨', '短评打分': 3}
{'短评内容': '环境差', '短评打分': 2}
{'短评内容': '还可以房间挺大的', '短评打分': 4}
{'短评内容': '位置挺好的，酒店也干净', '短评打分': 4}
{'短评内容': '不如快捷酒店，进房间的时候地上很脏，网络也会断，不推荐', '短评打分': 4}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '酒店环境意外的好，这个价位原以为会很一般，没想到房间还挺干净的，也挺大，床也不小，还有床。楼下就是超级好吃的酸菜鱼，转弯就是徐家汇，有电梯，出行很方便，而且晚上睡觉特别安静，非常不错。这次是帮外地来的朋友定的，离我家特别近，住的朋友也说很不错，以后要招待还会定这家。wifi是免费的，但需要缴纳100的押金领取一个无线路由器，用有线的就不需要。唯一不太好的就是台盆龙头出热水太小太慢了，然后洗澡没有拖', '短评打分': 5}
{'短评内容': '洗手间无法理解的恶臭。。难以入睡', '短评打分': 3}
{'短评内容': '竟然没热水大晚上大冬天，电话到前台前台说领导全休息日了她只是一个前台没办法别跟她急。', '短评打分': 1}
{'短评内容': '宾馆的一些细节做得很好，隔壁的火锅很不错，价格还凑合。卫生条件一般，房间不是很大，还没窗户的。', '短评打分': 5}
{'短评内容': '定的时候说是有窗还有早餐，到店已经晚上8点半才知道什么都没有，太累了勉强先住下，厕所连排气都没有，一晚上臭得睡不着，刚睡没一会，又被吵闹声吵到醒，没办法好好休息', '短评打分': 1}
