{'短评内容': '地方好找，房间比较大，性价比高', '短评打分': 5}
{'短评内容': '酒店比较好找，房间一般，服务可以，设施不全', '短评打分': 3}
{'短评内容': '宾馆有些老，但是着个价格也就这样了', '短评打分': 3}
{'短评内容': '房间设施一般，但是比较整洁，服务员的态度不错', '短评打分': 5}
{'短评内容': '宾馆位置比较方便，靠近地铁站，性价比较高。', '短评打分': 5}
{'短评内容': '很不错，就是门有点坏了，价钱便宜，空间很大', '短评打分': 5}
{'短评内容': '该酒店性价比很高，房间也很干净。服务也很到位。浦东的什么伸花酒店比它贵100还比不上它的房间。下次还住。', '短评打分': 5}
{'短评内容': '宾馆位置比较方便，靠近地铁站，性价比较高。', '短评打分': 5}
{'短评内容': '不错的。。。床很大。。。就是停车场不行。车停在那还被刮了\n\n\n', '短评打分': 5}
{'短评内容': '宾馆房间的价格经济实惠，朋友来上海旅游的时候都订这家的，交通方便，最近还重新装修了一下，感觉不错。', '短评打分': 5}
{'短评内容': '还可以吧，但是离老街说实话有点远。其他的都还好。床有点硬。', '短评打分': 5}
{'短评内容': '该酒店性价比很高，房间也很干净。服务也很到位。浦东的什么伸花酒店比它贵100还比不上它的房间。下次还住。', '短评打分': 5}
{'短评内容': '＋酒店很好环境不错很喜欢建义入住', '短评打分': 3}
{'短评内容': '住过很多次了，房间超大的，床野超大的，价格优惠，非常满意！', '短评打分': 3}
{'短评内容': '总体还可以吧。不过被子破了。太打击了。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间大，床大，很舒服，可能是因为比较偏僻吧，靠马路，有车过的声音，不过我睡觉喜欢听外面有车声的感觉有安全感。\n本来是找那个什么老街附近，可以吃美食，不过挺远的，而且也没什么好吃的。', '短评打分': 5}
{'短评内容': '因为订的早吧。酒店挺便宜就是临街了，比较吵。\n离机场不算远。打车27块就到了。', '短评打分': 5}
{'短评内容': '宾馆还可以，工作人员态度好。只是喝水发现水质太差，恐怕对肚子不好。对了，房间号码前面都有个8字，结果我当成了8层，哈哈！', '短评打分': 5}
{'短评内容': '容易找，而且离七宝老街很近，走过去大概15分钟的样子，房间蛮大的，就是设施比较陈旧，不过也还好，服务态度也蛮不错的..想去七宝的朋友可以选择这里', '短评打分': 5}
{'短评内容': '挺不错的，性价比高', '短评打分': 3}
{'短评内容': '感觉还可以，', '短评打分': 3}
{'短评内容': '吉宝，环境还蛮好的，地理位置也还不错。最主要的性价比高，去七宝玩的可以去试试', '短评打分': 3}
{'短评内容': '房间还蛮大的，地理位置不错，购物，逛街也都方便，住的是朝南的房间，阳光很好，而且夜间还蛮安静！就是卫生间小了点，而且排气功能稍显逊色，味道还蛮大的！但总体感觉不错！', '短评打分': 5}
{'短评内容': '实惠  不错  嘿嘿。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '春节期间 在晚上1点多到虹桥机场 打的过去 费用真的只是27元 在上海起步价都是18的情况下 真的很划算了 到了直接拿房卡付钱 进房 洗个热水澡 好好休息 5个小时后重新出发 一切都很满意 价格很划算 很方便 房间也很干净 只是可惜旅途短暂 不然可以好好休息的 下次回去希望有机会还是过去的 ', '短评打分': 5}
{'短评内容': '我们鼓励真实入住客人的点评，如果您最终未入住该酒店，您所发表的点评会被视为无效点评。\n', '短评打分': 5}
{'短评内容': '离虹桥不算远，搭个的还是可以的。离地铁也近。不错', '短评打分': 5}
{'短评内容': '便宜，交通方便。离七宝老街近。就是沿马路的房间太吵。', '短评打分': 5}
{'短评内容': '还不错，空调不给力', '短评打分': 3}
{'短评内容': '酒店房间虽然大，但是感觉是家族那种管理而非酒店式管理，尤其入口处直接是电梯，存在安全隐患！', '短评打分': 1}
{'短评内容': '性价比很高！空调不给力！希望能把空调换台新的.....地板不是很干净！其他还好....', '短评打分': 5}
{'短评内容': '房间比较大，设施比较落后，应该更新。价格还可以不算贵。希望重新装修。', '短评打分': 5}
{'短评内容': '房间太大了，空调都没用。走廊也不干净，很老的一个宾馆', '短评打分': 1}
{'短评内容': '空间够大 走廊地毯还不如不铺 靠近街道的一面稍微有点吵 整体不错', '短评打分': 5}
{'短评内容': '房间挺大的但有点破，空调太烂了！！', '短评打分': 3}
{'短评内容': '这个价位的话还可以，该有的也都有，就是有网线没电脑。另外一点就是有点冷', '短评打分': 5}
{'短评内容': '挺好的，干净整洁', '短评打分': 3}
{'短评内容': '价格便宜，环境很差，房间很大，离地铁站不是很远。', '短评打分': 1}
{'短评内容': '感觉不错，主要是价位还不错而且离市中心，火车站都不远。', '短评打分': 5}
{'短评内容': '＋房间大，隔音不好。', '短评打分': 3}
{'短评内容': '感觉还不错，卫生宽敞，网速还算给力。', '短评打分': 3}
{'短评内容': '如果赶时间的话住一晚上还可以，离机场很近打车30块钱左右，价钱便宜，就是宾馆地毯挺脏的', '短评打分': 5}
{'短评内容': ' 感觉还不错 就是窗外有点吵', '短评打分': 3}
{'短评内容': '离上海虹桥车站很远，坐地铁要转3趟，坐出租车就不知道了，没坐过；房间环境不怎么样，墙壁脱落，橱柜门都掉下来了，大概是我住的那间是这样吧。不推荐朋友住！', '短评打分': 1}
{'短评内容': '去七宝还算方便  主要还是便宜啊 七宝旁边有宾馆的呢  房间比较大  对卫生各种要求不高 就还可以去哈 比较值', '短评打分': 5}
{'短评内容': '酒店比较旧，卫生不太好，但是价格不贵，一分钱一分货啊。', '短评打分': 5}
{'短评内容': '离七宝站和古镇海还有蛮远一段路，而且环境不好', '短评打分': 1}
{'短评内容': '房间够大，价格实惠。但卫生条件一般，设施也一般', '短评打分': 3}
{'短评内容': '此酒店离虹桥机场还是很近的，打车21元就到了，可以步行去七宝老街享受美味小吃。\n房价很大，就是卫生稍差了点，不过价钱合适啊', '短评打分': 5}
{'短评内容': '服务：前台和清洁阿姨态度都很好，有什么需要直接打电话就会马上帮忙办理。\n酒店：大床房，挺宽敞的，电视、网线都很好。床很大，但很硬，睡惯软床的可能不习惯。卫生间用品齐全。但因为酒店较老了，桌椅较旧，卫生不是很干净。\n交通：距七宝老街一站路，走过去就可以了。但周围稍偏，没什么吃饭的地方，需要走1站多到七宝才可以。还有附近环境一般，临马路。不过虽然我住的房间靠马路，但关上窗户后还好，不怎么吵。\n因为价格', '短评打分': 5}
{'短评内容': '入住空间大', '短评打分': 3}
{'短评内容': '感觉还可以，就是有点偏，虽说离七宝比较近，但是还有一点距离。还有一点是有的房间太深，走廊七拐八拐的有些晕头转向。但是内部还是比较好的，房间挺大的。', '短评打分': 5}
{'短评内容': '第二天想想还是又来住这家宾馆。退房时间是下午1点，还不错。服务总体还可以。如果能再提高些真就不错了。宾馆大门口的移动门是否要修一下，关不住。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '还比较干净,装修旧点,价格还可以,大床果然很大', '短评打分': 3}
{'短评内容': '房间挺大，床也很大，就是地毯有点脏，不过总体还行，很有家的感觉，工作人员很热情。步行十分钟左右就是地铁站。', '短评打分': 5}
{'短评内容': '酒店看起来比较脏，而且有异味（据工作人员说是刚洗的地毯）。靠马路的一边非常吵杂。而且网络连接有问题。', '短评打分': 1}
{'短评内容': '酒店的环境很简陋，卫生情况也不太好。停车地方也没有。', '短评打分': 1}
{'短评内容': '空间蛮大的，床也挺大，就是有点硬。\n房间味道有点怪~', '短评打分': 5}
{'短评内容': '宾馆肯定黑了，黑。以后大家不去吉宝宾馆。', '短评打分': 1}
{'短评内容': '酒店卫生和环境都不行，比较差的，只有一点，距离七宝老街比较近', '短评打分': 1}
{'短评内容': '很好很强大，哈哈！房间很大，比偶预期的好。而且离七宝古镇蛮近的，问哈路人都知道，哈哈，七宝值得去逛逛，好多小吃哇^.^离地铁9号线星中路也就6、7分钟路程，强烈推荐。', '短评打分': 5}
{'短评内容': '房间很大，床也很大，感觉不错，就是离地铁远了点，以后还是会选择那里', '短评打分': 5}
{'短评内容': '，房间蛮大的，交通也方便，只是空调制冷不好，电视没有信号，一晚没电视看这些应该弄好。。', '短评打分': 3}
{'短评内容': '位置有些偏，离七宝老街近，周边环境不见好，酒店服务不错。', '短评打分': 5}
