{'短评内容': '价格便宜，其他很一般', '短评打分': 4}
{'短评内容': '还可以，外面车比较多。', '短评打分': 4}
{'短评内容': '看到大门的一刹那真的是心冷了，倒是里面还可以，总体还不错', '短评打分': 3}
{'短评内容': '离火车站不远，但离新南汽车站很远。离城墙很近，上去溜达了一圈，三个多小时都没走完，城墙值得一去。', '短评打分': 5}
{'短评内容': '房间很大，但是地板很脏，热水总是一会儿就没有了，网速也不太好！', '短评打分': 5}
{'短评内容': '还可以，没有早餐，要出去吃，不挑的人能接受', '短评打分': 3}
{'短评内容': '真的挺不错的，后面对着城墙呢，晚上逛着不错哦', '短评打分': 5}
{'短评内容': '性价比还可以 但是网络实在很难上去！！！！！！', '短评打分': 1}
{'短评内容': '房间环竟可以（三人间）外部城墙建好倒是蛮方便的', '短评打分': 3}
{'短评内容': '酒店内部设施完备,但不是很新,三人间是套房,不错!周围都在拆迁,导航指的路都被堵上了,绕了半天,旁边在建新城墙,不过晚上不吵;', '短评打分': 3}
{'短评内容': '虽然整个大同市都在大兴土木，但此宾馆现处于比较清静的地段，位于北城门外。宾馆内床单和毛巾很干净。虽然不提供早餐，但附近就有商业街，很容易找到卖早饭的摊位。宾馆的性价比不错，但只能用现金结账。', '短评打分': 5}
{'短评内容': '除了设施陈旧外，其它还好。服务员知道许多路线，打听地方很方便!', '短评打分': 3}
{'短评内容': '位置很好找，服务挺不错的，房间挺大的，赞一个。', '短评打分': 5}
{'短评内容': '设施其全，要是房间再大一点就好了。', '短评打分': 3}
{'短评内容': '价格便宜，但离中心有点距离。设施还算可以。', '短评打分': 5}
{'短评内容': '\n不错，很卫生干净，服务不错，价钱还算合理！', '短评打分': 3}
{'短评内容': '该酒店138元偏高了，卫生一般，傍边在拆房很吵，我退房时另一位客人来住该房间确收他110元。', '短评打分': 3}
{'短评内容': '还行吧，勉强对得起这价格。优点是，房间挺大的，洗浴也不错，厕所有小空调取暖；地理位置还不错，不远的地方有一条街满是各色饭店和小吃店，离火车站也蛮近的，打车起步价。缺点是，房间床单和枕套不干净，网速一般，服务人员态度有点爱理不理。', '短评打分': 5}
{'短评内容': ' 还可以，物有所值', '短评打分': 3}
{'短评内容': '前几天刚住了，感觉还行，比较安静，房间不是很大，但该有的都有，也比较干净卫生，就是那几天附近拆房屋，网线不能用，洗澡是电热水器，随时有热水，洗手间应加防滑措施，机打发票，价格公道，总体值得入住！', '短评打分': 5}
