{'短评内容': '还可以，', '短评打分': 5}
{'短评内容': '离连霍高速很近，下高速一会儿就到了。家庭式旅店，店主是对老夫妻，家人很热情。楼下是自己开的超市，对面有车位。', '短评打分': 5}
{'短评内容': '老板人很好，很热情，如果非要和标准的酒店比肯定是有差距的，但是这个价位肯定值了，除了地图导航的时候出了点问题，别的一切都好', '短评打分': 5}
{'短评内容': '离上山地点很近，老板是对老夫妻，人特好，他家开了个超市，东西也很便宜！推荐推荐！^_^^_^^_^', '短评打分': 5}
{'短评内容': '在华山周边算是非常经济实惠的，酒店老板是个大爷，人特别好，非常热情，他家还开个一个超市，价位不高，华山上东西超贵，在他家买很方便！！', '短评打分': 5}
{'短评内容': '很好，便宜，老板好，送了手套，出门就是玉泉院', '短评打分': 5}
{'短评内容': '离王泉院登山口很近，只要5分钟，老板人很好。吃往都方便。', '短评打分': 5}
{'短评内容': '离华山山门近，老板娘热情有宾至如归的感觉，下面她家自营的小超市也很便宜一点没有加价，值得推荐。', '短评打分': 5}
{'短评内容': '去爬华山提前一天住在玉泉院前面，店主是老奶奶和老头。热心的给我们介绍了实惠的吃饭的店。第二天早上五点多起来去爬山，行李寄存在楼下老大爷这，大爷态度非常好的。住的方面这个价位也可以，注意华山晚上都会突然停水。', '短评打分': 4}
{'短评内容': '离华山上山的道路很近，老板很热情服务也很好，只是住宿条件一般，总的来说价格合适。', '短评打分': 4}
{'短评内容': '房间很大，主人也很热情，地方也比较好找。', '短评打分': 3}
{'短评内容': '旅馆设施齐全，环境非常好。老板人很好很热情！主要是地段比较好，就在华山登上入口下面，很方便。', '短评打分': 5}
{'短评内容': '离玉泉院很近（就是徒步爬上的地方），自家超市买东西不贵，有关于爬山坐车的问题可帮助解决，也比较热情，还是挺不错的。', '短评打分': 5}
{'短评内容': '宾馆位置不太好找，房间很干净，设施简单，不过对于这个价位也不错了。老板娘很热情，可咨询华山相关旅行路线。', '短评打分': 4}
{'短评内容': '老板热情好客，人可好了。还送了我们一人一副手套爬华山呢！挺近，爬累了下山舒服一觉，棒棒哒', '短评打分': 5}
