{'短评内容': '很老的酒店', '短评打分': 3}
{'短评内容': '辣鸡辣鸡辣鸡辣鸡辣鸡辣鸡辣鸡辣鸡辣鸡辣鸡辣鸡辣鸡辣鸡辣鸡辣鸡辣鸡辣鸡辣鸡辣鸡辣鸡辣鸡辣鸡辣鸡辣鸡辣鸡辣鸡辣鸡辣鸡辣鸡辣鸡', '短评打分': 1}
{'短评内容': '毛巾永远都是破的', '短评打分': 1}
{'短评内容': '酒店位置很好，找餐厅很方便，楼下对面就是商场，很便利。', '短评打分': 5}
{'短评内容': '一般般&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '还行  一般般  房间小了一点', '短评打分': 5}
{'短评内容': 'v加工费吃好喝好换个风格黄金季节', '短评打分': 5}
{'短评内容': '该好好给发个v股海护航古古怪怪过', '短评打分': 5}
{'短评内容': '一般般吧，服务不热情，酒店10点半房卡就消磁，麻烦', '短评打分': 4}
{'短评内容': '环境好，交通很方便，服务超赞', '短评打分': 5}
{'短评内容': '还行吧 比较老 ', '短评打分': 4}
{'短评内容': '还可以，就是房间有点小，有蚊子。图片是wifi密码', '短评打分': 4}
{'短评内容': '地點好靜，旺中帶靜，價格合理，要裝修下更好', '短评打分': 3}
{'短评内容': '还行吧 性价比还可以', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '交通比较方便，总体不错。', '短评打分': 4}
{'短评内容': '服务态度很好。房间环境还可以。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '普普通通，房间较小，但价钱合理。如果想省钱的话，随便住一晚也是可以的。离沙头角口岸很近，附近吃的都很方便。', '短评打分': 4}
{'短评内容': '还不错的，环境比较安静', '短评打分': 4}
