{'短评内容': '白天忙，现在才来评价，前台服务态度很好，而且还是个大美女哦，住的比较满意，全部五星好评！我已经来即墨出差，下次还来这里住。', '短评打分': 5}
{'短评内容': '睡觉有点冷，空调不算给力', '短评打分': 5}
{'短评内容': '还行，这个价位的房子，凑合还是可以的！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 4}
{'短评内容': '简单的商务酒店，除了卫生间脚垫黏脚之外卫生基本及格，该有的用品都有。停车还好，一般都有位子。自助早餐15一位，两种粥，两种热菜，四种咸菜你，煮蛋豆腐脑，包括小包子，小馒头豆沙包之类中央厨房成品的四种面食，还有自主糊塌子之类的小饼，可以接受。。。基本满意。问题，临街的房间要受外面卖鞋的商场的大喇叭攻势直到晚八点。综合：商务旅行落脚一天可以接受。', '短评打分': 3}
{'短评内容': '还可以，比较方便', '短评打分': 5}
{'短评内容': '好..........', '短评打分': 5}
{'短评内容': '好......', '短评打分': 5}
{'短评内容': '6666666666666', '短评打分': 5}
{'短评内容': '6666666666666666666666', '短评打分': 5}
{'短评内容': '6666666666666', '短评打分': 5}
{'短评内容': '很好很强大        嗯', '短评打分': 5}
{'短评内容': '整体感觉不错，方便！', '短评打分': 4}
{'短评内容': '怎么说那，好几次房间没有热水，而且打扫也不干净，连之前的骨头都有，牙刷什么的都要在前台拿而且没有梳子，很不方便，而且携程订的都是给一些特价房，而且前台有一些小美女的态度真的不是一般的不好，让人挺心寒的。。。', '短评打分': 4}
{'短评内容': '一般般，经常住。。。', '短评打分': 4}
{'短评内容': '还不错，挺安静', '短评打分': 5}
{'短评内容': '还可以把。', '短评打分': 4}
