{'短评内容': '给亲戚订的，他们每次来都喜欢住这儿，应该还可以吧', '短评打分': 5}
{'短评内容': '朋友聚会！', '短评打分': 4}
{'短评内容': '12月份来开会，空调不错很温暖～这里距离南禅寺很近，地理位置好听说是名人故居，虽然建筑古老但是也很有感觉', '短评打分': 4}
{'短评内容': '酒店位置在无锡市中心，购物和美食很方便，酒店服务很贴心。', '短评打分': 5}
{'短评内容': '地理位置特别好，酒店服务整体也不错，是早年的政府接待场所改的。', '短评打分': 5}
{'短评内容': '没有住过 但是觉得评价很高 期待', '短评打分': 5}
{'短评内容': '还不错，房间干净，茶杯这些东西都有经过高温消毒', '短评打分': 5}
{'短评内容': '怎么说了，环境就跟普通的快捷酒店差不多，性价比不高', '短评打分': 3}
{'短评内容': '帮上海来的亲戚订的，以前来也一直住这，习惯了', '短评打分': 5}
{'短评内容': '想不到京东酒店订房这么方便，订单确认，酒店电话通知，还有优惠了40元，比其他的***站还专业，以后就在京东上订购旅游产品了，**给你个赞?', '短评打分': 5}
{'短评内容': '在市区 交通很方便 不过房间没想象中的好', '短评打分': 5}
{'短评内容': '酒店服务可以  不过确实是比较老旧的酒店  房间略小', '短评打分': 5}
{'短评内容': '位置地鐵好', '短评打分': 5}
{'短评内容': '环境很不错', '短评打分': 5}
{'短评内容': '环境很不错', '短评打分': 5}
{'短评内容': '环境很不错', '短评打分': 5}
{'短评内容': '非常便利，值得推荐！', '短评打分': 5}
{'短评内容': '价格实惠', '短评打分': 4}
{'短评内容': '酒店的位置非常好，离八佰伴特别近，就隔一条街。价格也比较合适，信价比很高，晚上还要贴心的粥或银耳汤，但因为回来的比较晚都凉了，就没有喝，看样子还不错。', '短评打分': 5}
{'短评内容': '第四季度设计师大哭大哭', '短评打分': 5}
{'短评内容': '酒店位于无锡市的市中心，交通便利，特别是早上打车方便。酒店周围有学校，商场，超市，医院，菜场，派出所，教堂。', '短评打分': 4}
{'短评内容': '之前已多次入住。还是一如既往的好。满意。', '短评打分': 4}
{'短评内容': '交通方便，设施良好，环境优雅，值得推荐哦！', '短评打分': 4}
{'短评内容': '每次来无锡都喜欢住这家酒店。100多年的别墅，有小庭院，还有许多藏书，很有味。个人觉得这里早餐的小笼包比家本地名老店做的好吃。只是这段在装修，这次没吃到小笼包，但是早餐的面条也不错。', '短评打分': 5}
{'短评内容': '去无锡经常去住的酒店，环境很好，周边购物也很方便。', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 3}
{'短评内容': '性价比较高，园林式的酒店，环境超好。\n房间隔音有待改善。', '短评打分': 5}
{'短评内容': '房间一般，但很干净，隔音效果不是很好。\n室外环境很好，古典园林，不错', '短评打分': 5}
{'短评内容': '卫生间有异味，导致整个房间都有。装修陈旧，电视都有点花。感觉不好。', '短评打分': 1}
{'短评内容': '酒店就在市区，出行很方便，晚上没看到银耳汤送，很不爽啊，朋友上次去住还有小礼物送，这次我没收到哦，但总体来说还是不错的！', '短评打分': 5}
{'短评内容': '很好的的酒店，闹市里难得的，早餐人很多，餐厅再大些吧。下次还会住的！', '短评打分': 5}
{'短评内容': '酒店位置很好，晚上有甜品和饮料赠送，餐厅的菜口味很好。但是可能由于之前的餐厅在装修的缘故，早餐感觉不如之前丰富了。但在此价位，还是值得推荐。', '短评打分': 5}
{'短评内容': '酒店位置很好，晚上听说有甜品和饮料赠送。但是我们房间并没有拿到，早餐感觉不丰富。但在此价位，还是值得推荐。', '短评打分': 5}
{'短评内容': '酒店位置很好，晚上有甜品和饮料赠送，餐厅的菜口味很好。但是可能由于餐厅在装修的缘故，早餐感觉不丰富。但在此价位，还是值得推荐。', '短评打分': 5}
