{'短评内容': '这家店真的很不给力。', '短评打分': 1}
{'短评内容': '客观评价，本人住过的最差的一个7天，好评全是刷出来的，隔音超差，整晚听到隔壁人说话，一晚睡不好。离地铁挺远，做便民车也要等半天。卫生很不好，被子都有异味。设施破旧，哎，不想多说了，写评论只是不希望太多人被坑。店老板对不起啦，你也要多多加油，优质的资源和服务才能吸引回头客哦。', '短评打分': 2}
{'短评内容': '好很好非常好', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '地理位置好好，就在林和西B口对面都不用找的，周边商店多，不错的选择，床也挺舒服的，浴室比例大，没有早餐', '短评打分': 5}
{'短评内容': '很好 服务可以。', '短评打分': 5}
{'短评内容': '不错，经常光临', '短评打分': 5}
{'短评内容': '好，好，好，好，好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '服务态度非常好哈哈哈', '短评打分': 5}
{'短评内容': '买的放心，用的舒服，值得购买，京东好评(o^^o)。', '短评打分': 5}
{'短评内容': '总体来说还不错，可以一住，而且也确实住了几次，还是挺满意的，谢谢！', '短评打分': 5}
{'短评内容': '服务态度好，卫生干净，房间简单。住得很舒服', '短评打分': 5}
{'短评内容': '服务态度很好，阳光很充足。很舒服的一次出行。下次还会来', '短评打分': 5}
{'短评内容': '热水器坏了，房间墙壁有发霉痕迹，隔壁房开空调时主机噪音嘈得无法入睡', '短评打分': 3}
{'短评内容': '还不错、下次还会再来、、、、    、、、            下次开会还来.....................', '短评打分': 5}
{'短评内容': '酒店位置离地铁挺远的', '短评打分': 4}
{'短评内容': '交通方便，服务热情。很好', '短评打分': 5}
{'短评内容': '空调嘎嘎响', '短评打分': 4}
{'短评内容': '一般！ _。', '短评打分': 2}
{'短评内容': '价格实惠，房间整体还好，一分钱一分货；隔音效果较差，交通不是特别方便', '短评打分': 4}
{'短评内容': '很方便', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 5}
