{'短评内容': '真的很不错，以后还会再来！', '短评打分': 5}
{'短评内容': '非常好 微笑服务', '短评打分': 5}
{'短评内容': '前台Jack Max 服务非常不错.有机会会再过来。', '短评打分': 5}
{'短评内容': '加床可以，收费也合理。', '短评打分': 5}
{'短评内容': '不错很好的不错很好的。。。。。。。。', '短评打分': 5}
{'短评内容': '很好的酒店，京东的预订规格很高，升级了副总统套房，非常的满意', '短评打分': 5}
{'短评内容': '好               一', '短评打分': 5}
{'短评内容': '刚建好的时候公司组织来过一次，感觉现在设备旧了，而且庭院也没好好打理，枝叶乱生。订的房间有一间空调打不起来温度，水龙头也是坏的。早饭还可以，该有的都有了，味道也不错。离灵山景区蛮近的。', '短评打分': 4}
{'短评内容': '后来才发现价格比去哪儿定贵了整整100每间。气愤！', '短评打分': 1}
{'短评内容': '酒店太旧了，除了外面看上去好，其他真的不好，房间设施差。因为其他酒店都订满了，如果在了玩不会选这家。', '短评打分': 3}
{'短评内容': '真的挺好的', '短评打分': 5}
{'短评内容': '高檔酒店，硬體很好，但是服務比較跟一般酒店差不多，可以再提升', '短评打分': 4}
{'短评内容': '服务达不到5星', '短评打分': 5}
{'短评内容': '环境优美，儿子非常喜欢', '短评打分': 5}
{'短评内容': '环境不错，自助餐也不错，很????江南风味，可以一住', '短评打分': 5}
{'短评内容': '去灵山烧香住的，很方便，上海自驾过去风景非常赞', '短评打分': 5}
{'短评内容': '酒店很不错，环境服务各方面都很好，而且设施很齐全，也适合小朋友玩，还送了小饼干。位置也很好，去灵山大佛很近，下次还会入住。', '短评打分': 5}
{'短评内容': '酒店设施一般，订了两间房，一间提供的吹风机是坏的，一间提供的吹风机脏的不得了，失望！早餐、晚餐的品种也是少的可怜，以后不会去了', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '风景很美，酒店的大堂也很别致，门口的装饰也很有意思。', '短评打分': 5}
{'短评内容': '呵呵，面向湖景，春暖花开~ 就是阳台上的小蚊虫多了一些，入住的旅客尽量少开窗户哈。', '短评打分': 5}
{'短评内容': '很幽静，比较舒适，这个天气蚊子比较多，不建议去阳台看风景', '短评打分': 5}
{'短评内容': '酒店的硬件设施很不错，大堂的设计也很特别，休息的椅子做成船的样子。\n定的是湖景房，阳台和浴缸面对着太湖，很赞。\n离市区有点距离，开车要40-50分钟。\n周末的早餐是到11点结束的，有点在东南亚度假的感觉了', '短评打分': 5}
{'短评内容': '非常不错的酒店早餐也很丰盛。', '短评打分': 3}
{'短评内容': '还有很大部分在施工，附近什么都没有，出行不方便', '短评打分': 3}
{'短评内容': '因为身处风景区，环境还不错，但酒店整体管理并不觉得有五星标准，餐厅服务员聚众聊天给人感觉不是太好！房间隔音也不好，隔壁说话这边听的清清楚楚，影响休息！况且房间离大堂登记也未免太远了些！', '短评打分': 1}
{'短评内容': '风景好，离佛近', '短评打分': 3}
{'短评内容': ' 很不错的DoubleTree，适合度假啊，安静', '短评打分': 3}
{'短评内容': '除了节假日人多价高之外其他一切都不错，最好在室外屋与屋拐角处设置一些指示牌，方便找地方', '短评打分': 5}
{'短评内容': '离灵山很近，服务态度不错。但是作为希尔顿旗下的酒店和别的地方还是有差距的。硬件方面厕所下水很慢，一间房间出现堵塞情况。浴室龙头非常小，很不舒服。阳台窗子透风，拉上窗帘还是有点冷；淋浴房门不密封，洗澡后满地水；早餐品种少。感觉酒店应该在细节上多下功夫，才能对得起那么漂亮的景色。还有，大冷天千万别住,太冷了，只能在车库里在各个楼间穿行，浪费了大好的风景。', '短评打分': 5}
{'短评内容': 'Great service!Great food!....', '短评打分': 5}
{'短评内容': '整体不错，就是房间可能入住率不高，里面的设施都坏了，电视机，电灯，门，尽然都有问题，由于第一天半夜到的，所以只能第二天再联系安排修理，好在服务态度都不错。', '短评打分': 5}
{'短评内容': '很好，湖景无敌。房间设施一流。但是早餐与三亚的同等度假酒店相比有较大差距。', '短评打分': 5}
{'短评内容': '挺好的，设施一流，就是早餐还有待改进。旁边的丽星温泉很棒，', '短评打分': 5}
{'短评内容': '很好的房间，早餐一般。', '短评打分': 3}
{'短评内容': '第二次入住，觉得很不错，服务也很好，喜欢那里…', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '到处都是幽暗的灯光，非常适合2人去度假。因为入住的时候下雨，就泡在酒店里，舒服的躺着看电视，后来睡着了居然。。。醒来用送的大堂咖啡吧的劵去吃点点心，没想到居然吃饱了，真是太偷笑了。。。周四晚上有歌手驻唱，唱得不错就听了会儿，然后2人就去游泳了，虽然要走一条室外的长廊才能到，但是还是很值得的，因为就我和先生2个人，太色一了，水温也非常舒服，包场包场~~', '短评打分': 5}
{'短评内容': '去的时候 美中不足的是游泳池在维修 其他都不错 ', '短评打分': 5}
{'短评内容': '酒店不错，服务还可以，设施也可以，可以考虑再次选择\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '酒店环境还不错就是早餐不好用餐内容实在和五星不符', '短评打分': 3}
{'短评内容': '环境不错，早晨起来可以看到太湖，心情很好。床品也不错。服务人员都面带微笑。早餐也很丰盛，送的曲奇也好吃，总体都很好，就是缺少点个性，度假酒店，适合全家人来玩。', '短评打分': 5}
{'短评内容': '酒店依山傍水，环境非常好。房间干净有设计感，离灵山大佛等景区很近，性价比高。自早餐和中餐厅水平一般', '短评打分': 5}
{'短评内容': '优点：房价便宜，离景点近但离火车站超远。酒店住客可以8折购买灵山胜境的门票。赠送的曲奇饼很好吃。中餐厅的菜式很多，口味也不错。\n确定：Check in太慢太慢，check完了，说房间还没打扫好，还要我们等一小时，这是5星级服务哦。逸林房太小，阳台没有必要那么大，毕竟不是湖景房，没人会在阳台上坐看对面的楼房。没有室外游泳池，只有室内的而且很小。早餐实在不敢恭维，是我吃过5星级里最难吃的\n总结：对得起', '短评打分': 5}
{'短评内容': 'Nice view,good service', '短评打分': 5}
{'短评内容': '酒店很大，风景也不错。服务人员的服务也很贴心，周到。\n就是酒店偏了点，其它都还挺满意的，很适合度假。', '短评打分': 5}
{'短评内容': '这次住的是逸林客房，帮豪华湖景房相比房间小了很多呢，不过床还是挺舒服的，用套餐内的券去了隔壁温泉，觉得不过如此，都是人造池子，都是露天的，冬天去实在不大适合。', '短评打分': 5}
{'短评内容': 'check-in 和check-out的速度很慢。\n酒店整体很不错，池子里的荷花都开了。送的曲奇饼很好吃。随园的东西好吃又不贵。婆婆说排骨比三凤做的好。\n游泳池人很多，都是家长带着孩子来玩的。\n灵山大佛门票打8折。开车过去就10分钟。\n总体来说很好。下次还会来。', '短评打分': 5}
{'短评内容': '酒店周边环境特别好，就是餐厅食物量小价高，总体不错-------', '短评打分': 5}
{'短评内容': '湖景的风光很好，能直接看见太湖，周围环境很好，很安静。有免费的游泳池，服务也不错。早餐品种多，不过酒店价格很高，所以要预订能有折扣。', '短评打分': 5}
{'短评内容': '不错的酒店，比较满意。\n美丽的湖景，卫生间安排的比较合理。非常适合度假。', '短评打分': 5}
{'短评内容': '早餐不行，品种不多，阳台卫生差一点，其他还可以', '短评打分': 5}
{'短评内容': '  酒店房间很好，从火车站坐的士要坐一个小时才能到，太远不方便。餐厅出品好垃圾。猪扒是用油炸的，咬都咬不动。', '短评打分': 5}
{'短评内容': 'good', '短评打分': 3}
{'短评内容': '东南亚风格，木船主题。毕竟是希尔顿，气势宏伟。偌大的酒店不见几个服务生，却一切井井有条。住在面对太湖的房间，偶遇6月第一场雨，云烟浩瀚，风声，雨声，灵山脚下心静如宁夏。。。早餐丰富，泳池清澈，服务生笑容亲切。。。因为下雨又多留了一天。', '短评打分': 5}
{'短评内容': '整体感觉不错，大堂挺气派，住的时候下雨，在不同楼之间都有带顶棚的花园小径连接，比较方便。\n游泳池和儿童乐园都不错，特别是儿童乐园，应该晚上八点半下班，我们八点多才去，里面的女服务员态度很好，不催我们，让小孩子多玩了半小时，孩子们很开心。\n不足之处是：早餐时服务员的服务跟不上，加把椅子要等半天；而且阳台好像不怎么打扫。', '短评打分': 5}
{'短评内容': '除了離大佛近，沒有什麼亮點，酒店客房區域分散，游泳池太臟。', '短评打分': 1}
{'短评内容': '比较遗憾没有定到湖景房，虽然只定到普通的房间，可是我和我的家人们都很喜欢那里。平时工作压力大，那里给人的感觉很好。下次有时间，一定要好好的去那里度个假。位置不觉得很偏啊，太繁华的地段反而让人不安宁。因人而异吧，反正我们都很喜欢。', '短评打分': 5}
{'短评内容': '酒店位置不错，工作人员的服务也很热情，但早餐太差，完全没五星的水准，也就两三星的水平，不知是否因为五一的关系。还有酒店答应可以八折买灵山大佛的门票，一行人兴冲冲地拿着酒店的房卡来到团购门票窗口时被告知不能享受优惠，很是扫兴，也不能这么忽悠人吧！', '短评打分': 1}
{'短评内容': '酒店位置不错，工作人员的服务也很热情，但早餐太差，完全没五星的水准，也就两三星的水平，还有酒店答应可以八折买灵山大佛的门票，一行人兴冲冲地拿着酒店的房卡来到团购门票窗口时被告知不能享受优惠，很是扫兴，也不能这么忽悠人吧！', '短评打分': 1}
{'短评内容': '酒店位于美丽的太湖之滨，紧临无锡灵山风景区。酒店环境真的很好，森林氧吧，空气清新。但是早餐很一般，希望加强。', '短评打分': 5}
{'短评内容': '酒店很偏，不容易找到。我的城际通GPS也指错了路。酒店里很漂亮，值得推荐', '短评打分': 5}
{'短评内容': '位于美丽的太湖畔，无锡灵山风景区核心位置，离太湖近在咫尺。刚开业不久，服务一般。早餐不好，希望改进。', '短评打分': 5}
{'短评内容': '是太湖周边比较好的度假酒店，设施和服务不错，边上的温泉也不错。', '短评打分': 5}
{'短评内容': '酒店环境不错，设施也不错，非常适宜家庭周末度假。', '短评打分': 5}
{'短评内容': '风景无限好，一望无际的太湖，太美了吧。', '短评打分': 3}
{'短评内容': '已经入住第二次了，挺好的。比较休闲风格的度假式酒店，就在灵山脚下，面朝太湖。可惜酒店内部的娱乐设施比较少，希望有进一步提高。最近施工比较频繁，但不影响睡觉。\n我会推荐朋友入住，也会带爸妈来住。', '短评打分': 5}
{'短评内容': '环境很好 住着舒服 但早餐不是太满意 希望改进', '短评打分': 5}
{'短评内容': '设施和服务都较到位，离开灵山景区很近，很方便。', '短评打分': 5}
{'短评内容': '酒店不错，离灵山大佛很近，而且还有班车可以去，门票还能打折，呵呵 ', '短评打分': 5}
{'短评内容': '很好舒服......................', '短评打分': 5}
{'短评内容': '环境清雅，服务尚可，早餐一般般', '短评打分': 3}
{'短评内容': '冲着旁边新开的温泉去的，酒店位子比较偏，到无锡市区要开起码半个小时。房间还是不错的，订的湖景房，窗口望出去是酒店的内湖，隔条马路才是太湖，天气不好的话雾蒙蒙的就看不清了。不过浴室设计不错，对这大窗台泡澡还是很惬意的。唯一不满的是酒店楼层设计不合理，主楼电梯在楼中间，一排前后头尾毛60个房间，走死人了！杯具的是入住时候那个服务员还把我跟朋友的房间放在了一头一尾！鄙视一下', '短评打分': 5}
{'短评内容': '酒店环境优美，设施高档，非常舒适，适合周末带家人度假。', '短评打分': 3}
{'短评内容': '酒店的前台结算超慢，我们预订的是豪华湖景房，可前台说是普通的，郁闷！结算的时候又误说我们消费了迷你吧的饮料，很让人觉得不开心，不知道他们是怎么核对的，房间的卫生状况还可以，早餐还不错！', '短评打分': 1}
{'短评内容': '设施非常好，给我升了湖景房，曲奇饼干女儿也很喜欢。湖景房的浴缸在阳台可惜没有暖气冬天要泡澡就有些冷了。酒店游泳也很舒适水温也较高。自助早餐品种不算多。', '短评打分': 5}
{'短评内容': '冲着温泉去的，价格是有点贵，晚上洗温泉的感觉真好，人也不多，只是现在的温泉都是地下水吗？哪来那么多温泉水？', '短评打分': 5}
{'短评内容': '很不错的酒店，已经是第二次入住了。就是晚饭时遇到点问题：一开始说没有预订，后来等了半个多小时连叫的饮料都不送上来，唉，同五星服务不匹配，还收15%服务费！可能是人太多了，可以原谅。', '短评打分': 5}
{'短评内容': '特意在除夕之夜携家人入住，本是带着对希尔顿一贯的信任，可却令人有些失望。Check-in 的小男生除了会说对不起、不好意思应该不会有更让你满意的答复，我们住的是豪华湖景房，除夕之夜，家中老人还是有看春晚的习惯，谁知道进了房间才知道，电视机是在床的侧面的，也就是说你要躺在床上看电视的话，必须扭头，斜眼，估计这样看完春晚直接可以去医院了，与酒店交涉，被告知所有房间都这样，要调整到电视对着床没可能，要换', '短评打分': 1}
{'短评内容': '酒店设施很不错，服务态度也很好，check in的时候还赠送了两块香喷喷热腾腾的曲奇饼干，很大块，里面还夹杂着好多果仁，非常可口。貌似还有铁罐装的卖，标价108元。\n\n早餐中规中矩，但是和五星级的水平还略显差距，可能也是现在人气还不旺的原因，所以品种比较少，味道也一般般。\n\n房间装修的很有味道，特别是住的5楼的湖景房，可以看着太湖美景泡澡，非常浪漫。', '短评打分': 5}
{'短评内容': '我应该多次点评这个酒店了吧。我住过很多酒店，足够挑剔了，而挑剔的标准，都是和这家酒店比较－－这家酒店，我只能说让我十分满意，我无法挑出哪怕一点的毛病。我已经是这里的老顾客，他们甚至拍了我的照片，这样在下次订房入住的时候，员工就会认识我。对这里，我满意，并心存感激。我想酒店的人也能看到我的点评，希望借此平台祝毛经理和酒店员工新年快乐！', '短评打分': 5}
