{'短评内容': '没有想象的好，没有停车场', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '酒店位于小吃街，每天爬峨眉山，遊大佛景区回来，最需要的就是选些可口的歺食吃一吃，然后就是休息。酒店满足了这些需求。还不错', '短评打分': 4}
{'短评内容': '看图即可，基本真实', '短评打分': 4}
{'短评内容': '和图上基本一致', '短评打分': 4}
{'短评内容': '酒店位置很好，就是服务不咋的，要啥没啥，吹风机，衣架跟前台要都没有。。', '短评打分': 4}
{'短评内容': '酒店还算不错的，十月黄金周出行前一周定的酒店，楼下就是好吃街，吃东西，买纪念品很方便，酒店服务也好！', '短评打分': 5}
{'短评内容': '还可以，价格便宜，服务一般，建议住市里，也近，而且吃的便宜又好', '短评打分': 4}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '酒店的位置有点不好找，在好吃街里面，不过价格很亲民，房间设施也不错。我们住的2楼，基本听不见楼下好吃街的吵闹声。不足的是没有停车场，只能停在温泉谷或者景区专门的停车场，一晚上30元，比较吭爹。另外酒店位置与导航位置不一致，难找。', '短评打分': 5}
{'短评内容': '楼下太吵了', '短评打分': 3}
{'短评内容': '挺好的，在峨眉山脚下，好吃街里面，交通便利，环境还可以，价格也不是很贵', '短评打分': 5}
{'短评内容': '环境不错，交通吃住方便', '短评打分': 5}
{'短评内容': '不错，中式风格！好吃街就在楼下，但也安静！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
