{'descr': '还行 就是 有股味', 'star': 4}
{'descr': '还可以，新装修的酒店，干净，价格不贵下次还可以选 择', 'star': 5}
{'descr': '环境一般  住宿条件还凑合 北京这价位估计也就这样子', 'star': 1}
{'descr': '位置是闹中取近，房间也还不错，值得入住。就是房间紧张...', 'star': 5}
{'descr': '两次来北京，都住这里。这个价位在市中心还算不错啦，知足吧。可以感受胡同文化。闹中取静，去哪儿都方便。', 'star': 5}
{'descr': '已经入住.', 'star': 3}
{'descr': '哎..怎么评呢.太一般了.桌子都快塌了.房间太小了.卫生间不是很干净.我是不会在去住了。', 'star': 1}
{'descr': '小标间很卫生、很安静，房间空气清新，住的很舒心，我和妈妈在这里休息的很好。非常满意！', 'star': 3}
{'descr': ' 这里可能住着精神病人呢，天不亮就满楼道大喊大叫', 'star': 3}
{'descr': '环境一般，卫生条件还可以，价位合适。', 'star': 3}
{'descr': '酒店好象是个人老板开的，在一很狭窄的胡同内，打车到胡同口还要往里走三、四百米，房间特别暗。在网上预定的，5月16日到了前台就后悔了，家里的味道不好，换了一间，被褥看上去也不干净，墙、地、顶棚都很旧，家里蚊子挺多，随处可见蚊子的残骸，凑合了一晚，而且不能刷卡，必须现金，第二天早上6点就退了房。晚上有些房间开着门聊天，到12点了都没有人管，特别吵。此地地去前门还得倒车，没有直达的。', 'star': 1}
{'descr': '服了，这地方，48元我以后也不会住，太恶心了，味道让人受不了，服务老不好了，千万别去.', 'star': 5}
{'descr': '哎，地理位置不错，在一条很有特色的胡同里，宾馆一墙之隔就是大使馆，可是......\n宾馆里的卫生太差，被子很黑，卫生间也不是很安静，热水很不给力，害的我一晚上没有睡好，也没敢盖被子，结果感冒了...', 'star': 1}
{'descr': '位置是闹中取近，房间也还不错，值得入住。就是房间紧张...', 'star': 5}
{'descr': '。已入住，就北京而言感觉还可以。', 'star': 3}
{'descr': '房间比较干净，算性价比比较好的酒店了，工作人员态度热情', 'star': 5}
{'descr': '点评：\n1、位置很好，闹中取静，周边是居民区，出门右转就是卢森堡驻华使馆，有武警站岗，非常安全，穿过一片平房的小巷，大概100米，就是东单大街，离王府井商业区很近\n2、房间大小一般，卫生条件还行，\n3、对于自助旅游，希望住在商业中心，不追求奢华酒店的游客来说，这里性价比很好。', 'star': 5}
{'descr': '设备陈旧，要换生了，位置离地铁站较近', 'star': 3}
{'descr': '＋房间挺干净，周围环境也挺安静', 'star': 3}
{'descr': '还是不错的。性价比比较高。交通也方便。。。', 'star': 5}
{'descr': ' 不错，既优惠，又干净，舒适，值得再来。', 'star': 3}
{'descr': '酒店很不错，送肯德基早餐，服务很好,很热情，走的时候东西寄存在那里，现在应该还给保管，等着下次去去！', 'star': 5}
{'descr': '是团购的，超值哦。住的很舒服，比其他的小宾馆服务也要好些', 'star': 5}
{'descr': '可能是曾经沧海难为水或者是特价房的原因吧 比起其他酒店 床跟房间小了点 地面是地毯 可能不易彻底打扫 订单确认有点慢 希望改进 下次再住的话可能会选个高级套房或豪华房', 'star': 1}
{'descr': '还不错呢，当时旅游几天，作为学生的我们为了省钱，就定了这家酒店，是出于对速8酒店之前的认可，就定下了。定了一个我们可以接受的价格，一开始担心无窗的房间不行的，结果发现还是不错的，速8还是值得推荐的。', 'star': 5}
{'descr': '还不错，卫生可以，有空调，有热水，隔音效果一般，其他还好。', 'star': 5}
{'descr': '酒店还好，就是在一个巷子里，很冷清，不过到是满静的，适合清净的人', 'star': 3}
{'descr': '位置好，其他的一般，没有暖气也不冷，对得起这个价格', 'star': 5}
{'descr': '还不错，就是洗澡的地方下水道有点堵了，以后有机会还会去', 'star': 5}
{'descr': '北京卫生局招待所服务热情,地段好,交通方便.很不错.唯一', 'star': 3}
{'descr': '订的房间没有了，酒店给免费调换了一间大的，服务很好。位置稍有些偏，早上不好打车。', 'star': 5}
{'descr': '位置有点偏，订的特价房，隔音特别差，以后再也不想去住了！', 'star': 1}
{'descr': '特价房也蛮大的，就是空调不怎么给力，服务挺好', 'star': 5}
{'descr': '还可以，很安静，也很干净，就是房间小了点，空调嗡嗡响', 'star': 5}
{'descr': '卫生间的下水道有些堵，隔音效果不是很好。总的来说还是不错的', 'star': 3}
{'descr': '每次去徐州都住速8  服务态度没得说  客房也很干净  只是隔音效果不太好 早上没醒呢  打扫客房的声音 就吵醒了', 'star': 5}
{'descr': '性价比很高的房子，热水充足，也很安静，离地铁也不算远。冬天入住，没发现有异味，可能夏天会有', 'star': 3}
{'descr': '空调有问题,吱吱声响了整晚,根本没法睡', 'star': 3}
{'descr': '晚上很安静，除了房间稍小外，其他都还不错', 'star': 5}
{'descr': '位置有些偏，房间很整洁，可能是特价房的原因，房间有些小', 'star': 5}
{'descr': '很干净！~离火车站和公交车站都比较近！价格也实惠！~', 'star': 5}
{'descr': '距离火车站很近，对于外出出差的人比较方便，其他尚可', 'star': 5}
{'descr': '不错，房间挺大，前台妹妹有个很养眼!网速很不错，只是有的时候隔音不太好，不过这个事快捷酒店的通病了，可以原谅，下次会接着住！', 'star': 5}
{'descr': '房间比一般的大一些，但是空调不太给力，晚上有点冷', 'star': 5}
{'descr': '服务挺好，房间也不错，干净舒适，打算下次还入住，希望房间里可配备洗澡时用的拖鞋', 'star': 5}
{'descr': '住过很多次的酒店~~胡同内的小旅社，挺干净的，老板看起来也很好哈', 'star': 5}
{'descr': '不错的酒店，服务态度好，蛮干净的，以后还要继续来哦，呵呵', 'star': 5}
