{'短评内容': '还行，离西湖很近', '短评打分': 5}
{'短评内容': '没有早饭', '短评打分': 5}
{'短评内容': '宾馆离西湖很近，出行方便，门口就是公交站，房间，卫生间干净，值得推荐。', '短评打分': 5}
{'短评内容': '没有早餐，门前可以短时间停车。老板和服务员都很好。位置还是很好的。', '短评打分': 4}
{'短评内容': '就是隔音稍微有点问题', '短评打分': 5}
{'短评内容': '不错    ', '短评打分': 5}
{'短评内容': '位置好，出门就是西湖。停车方便，我早起退房后，车就放在门口，玩到下午四点再开车回程，都没有问题。关键是酒店那里不存在限行问题。很好，很不错。', '短评打分': 5}
{'短评内容': '房间还可以，没早餐不太方便', '短评打分': 5}
{'短评内容': '方便，比同程便宜，酒店干净，环境舒适，就是价格稍贵。方便，比同程便宜，酒店干净，环境舒适，就是价格稍贵。', '短评打分': 5}
{'短评内容': '给姐姐订的，应该还不错吧！', '短评打分': 5}
{'短评内容': '订单速度很快。很给力。房间很好，服务也很好。干净', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '位置非常好，环境优美，价格合适。就是房间里味道太重！', '短评打分': 3}
{'短评内容': '房间虽小但挺干净，关键是好停车，离西湖风景区很近很方便。', '短评打分': 5}
{'短评内容': '好！！！！', '短评打分': 5}
{'短评内容': '西湖美景近在咫尺', '短评打分': 4}
{'短评内容': '位置好，价格偏贵', '短评打分': 3}
{'短评内容': '这个酒店性价比一般。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '离西湖景区很近，近雷峰塔，周边环境不错！', '短评打分': 5}
{'短评内容': '旅游季节选一家性价比还不错的酒店', '短评打分': 3}
{'短评内容': '还可以，就是房间太小了', '短评打分': 4}
{'短评内容': '环境不错离西湖近离河坊街也近', '短评打分': 5}
{'短评内容': '地处南山路和万松岭附近，公交方便，游览西湖的好住处，我每天都沿南山路从万松岭走到苏堤，杭州真是人间天堂', '短评打分': 5}
{'短评内容': '地域好，但是服务较差...服务真的不够热情', '短评打分': 5}
{'短评内容': ' 可以说 快捷酒店的质量都还不错 这家店离着西湖很近 近海底世界', '短评打分': 3}
{'短评内容': '房间干净，宽敞，很舒适，隔音还可以，交通方便，距离西湖和河坊街都不算远。', '短评打分': 5}
{'短评内容': '环境一般，挺干净的，面积有点小，但是很方便，西湖近在咫尺。', '短评打分': 5}
{'短评内容': '酒店环境很好，价格适中，很好，下次还住！', '短评打分': 3}
{'短评内容': '酒店舒适精致干净', '短评打分': 3}
{'短评内容': '临近西湖，交通便利，住宿较好，干净卫生，房间略小，但让人住宿放心.\n--------------------------------------------------------------------------------', '短评打分': 5}
{'短评内容': ':临近西湖，交通便利，住宿较好，干净卫生，老板员工均好，遗物帮助寄返，虽房间略小，但让人住宿放心，推荐', '短评打分': 3}
{'短评内容': '酒店的地址很好，很方便。不过南山路很堵，你出行不是很方便', '短评打分': 5}
{'短评内容': '地理位置还行，靠近柳岸闻莺  但是其他的就不咋的了\n首先隔音很差，走道里的声音听得清清楚楚 \n地板薄，楼上有人走过有震动感，自己在楼道里走也觉得地板不结实\n尽管只凑合了一晚，但是睡的不是很舒服', '短评打分': 1}
{'短评内容': '酒店位置非常好就在西湖边，性价比高；唯一不好是所在南山路白天基本塞车，不惯走路的朋友要考虑。', '短评打分': 5}
{'短评内容': '距离西湖一路之隔，去古街也很近，价格合适，环境还好，就是房间有点小', '短评打分': 5}
{'短评内容': '家庭房房间很冷，有些露风，房间较小，下次不会选择该处了。', '短评打分': 3}
{'短评内容': '干净、服务态度不错，交通方便，值得推荐，入住后面的，好像不吵', '短评打分': 5}
{'短评内容': '整体不错，挺干净，就是隔音稍微差点，晚上睡觉也能听到外面的声音。如能改善就更好了，下回还会订 ~', '短评打分': 5}
{'短评内容': '服务不错,环境好,', '短评打分': 3}
{'短评内容': '入住格林豪泰杭州西湖店.感觉酒店位置很好，房间也很干净，就是房间的玻璃隔音不好，下次去还是考虑住这店。', '短评打分': 3}
{'短评内容': '感谢提供便携，方便旅游西湖美景。', '短评打分': 3}
{'短评内容': '有两点还是值得赞一下，一是房间卫生状况是不错的，卫生间也打扫得很干净，二是电视机坏了，窗户锁不上了，宾馆服务人员立刻修好了。不过，该宾馆最最大的问题就是窗户的隔音，我住的房间紧靠一家KTV,由于窗子不是隔音窗户，晚上旁边的KTV声音非常响，整个晚上基本无法安稳入睡，如果宾馆能把窗户隔音的问题解决了，我会强烈推荐各位入住的。 \n', '短评打分': 1}
{'短评内容': '入住的房间干净整洁，卫生间也打扫得很干净，唯一的问题也是非常大的问题是住的房间外就是南山路，由于窗子不是隔音窗户，晚上路上车来车往声音非常大，对于睡眠浅的住客基本无法入睡，强烈建议宾馆将沿南山路的一排窗户换成中空的隔音玻璃，这样就完美了', '短评打分': 1}
{'短评内容': '满意!', '短评打分': 3}
