{'短评内容': '大体可以', '短评打分': 4}
{'短评内容': '挺好的地方', '短评打分': 5}
{'短评内容': '位置不错！', '短评打分': 5}
{'短评内容': '不太好', '短评打分': 2}
{'短评内容': '装修有点旧了，毕竟历时有七八年了，但是卫生间抽风机坏的，证明酒店管理还是存在问题，希望提出的建议酒店领导层能看到并为之改善', '短评打分': 5}
{'短评内容': '不怎么样。。房间里烟味好重，一进去难受', '短评打分': 5}
{'短评内容': '非常一般的酒店！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '常住地方，习惯了', '短评打分': 4}
{'短评内容': '不好', '短评打分': 1}
{'短评内容': '常住酒店，继续', '短评打分': 4}
{'短评内容': '房间太旧了', '短评打分': 4}
{'短评内容': '还不错，下次还会考虑', '短评打分': 5}
{'短评内容': '办事方便，交通便利！早餐一般', '短评打分': 4}
{'短评内容': '办事方便，交通便利！早餐一般', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '大动肝火舅舅家富贵花几块锤击发个回i让他与i哦电饭锅八年级i出击许褚法国红酒吃v不回家看看', '短评打分': 3}
{'短评内容': 'good good good  good', '短评打分': 5}
{'短评内容': '洗手间太小，床上有不知名的小虫，被咬了好几个包！老公没被咬！总结出，男的可以入住这间酒店!', '短评打分': 3}
{'短评内容': '交通方便，物有所值', '短评打分': 3}
{'短评内容': '房间很大，服务不错，设施略有不足，没有早餐', '短评打分': 5}
{'短评内容': '客房宽敞明亮，只是木地板太滑了，被子不是很干净还好重新更换了的，总体还说还算不错！', '短评打分': 5}
{'短评内容': '性格比高性格比高性格比高性格比高性格比高性格比高性格比高性格比高', '短评打分': 5}
{'短评内容': '住的客人很杂，电梯等的时间很长，电梯、走道内抽烟的人很多，对面房间房开着，有好多人在里面打麻将、抽烟，一直闹到凌晨。优点是房间比较大，性价比还行。', '短评打分': 1}
{'短评内容': '很不错。干净舒适实惠。房内设施也很好', '短评打分': 3}
{'短评内容': '条件非常好，房间很大，设施也很好，服务也很好，值得推荐！', '短评打分': 5}
{'短评内容': '酒店位置在常德不算中心，但因为城市不是很大，可以接受！酒店大堂一般，看不出4星得感觉。房间不错！很大！装修也好不错！比较新！', '短评打分': 5}
{'短评内容': ' 不错', '短评打分': 3}
{'短评内容': '硬件设施不错，但无早餐，位置也稍微偏了点！！！', '短评打分': 5}
{'短评内容': '酒店设施比较新，性价比较高。美中不足的是这次入住觉得返潮很厉害，地板都是湿乎乎的。', '短评打分': 5}
{'短评内容': '很到位的酒店，设施，装备，和服务都好。前台服务人员热忱有礼，工作效率亦高。', '短评打分': 5}
