{'短评内容': '没有任何另外收费，服务不错，房间也很不错', '短评打分': 5}
{'短评内容': '算是经济实惠了，内窗的房间很小，隔音一般。配套不是很齐全，入住时没沐浴露和洗发水，还好找了前台要了一次性的。对住房要求不高的推荐咯。', '短评打分': 5}
{'短评内容': '简洁，干净，就是落地玻璃窗窗帘能更密室点最好', '短评打分': 5}
{'短评内容': '宾馆高级兮，吾无福用矣！尽此一次兮，不二矣。马桶蹲于浴室外兮，不爽矣。毛巾有长发兮，吾料美女原味也。不时有空姐亲吻兮，自带和弦矣', '短评打分': 1}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', '短评打分': 5}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '京东商城自营放心', '短评打分': 5}
{'短评内容': '价格挺优惠的。', '短评打分': 5}
{'短评内容': '厕所没看过是和床对著没隔开', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行吧   里面浴巾没有    洗发水也没有', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '乾淨、舒適，連鎖酒店該有的品質都有，服務員也不錯', '短评打分': 5}
{'短评内容': '交通方便,离BRT站较近,但设施陈旧，马桶竟然在房间里.', '短评打分': 4}
{'短评内容': '环境还OK，在厦门火车站附近，去哪里都比较方便。关键是价格比较实惠，哈哈。下次有去厦门，还选择你们家。', '短评打分': 5}
{'短评内容': '还不错 性价比高～', '短评打分': 5}
