{'短评内容': '服务质量比较差、早餐品种太少，总体感觉还是不错的，', '短评打分': 5}
{'短评内容': '酒店一般，还算干净,就是武汉过江的车太难打了，害得我差点误点。', '短评打分': 5}
{'短评内容': '武汉扬子江饭店(归元寺店)早餐丰富，被褥干净，交通方便，性价比好。', '短评打分': 3}
{'短评内容': '地方清洁，在市中心，交通方便，有房间有烟味，睡覚前先幵窗幵门', '短评打分': 5}
{'短评内容': '酒店设备有点陈旧，酒店服务态度不错，设施较齐全。周边安静，但酒店窗户应该及时翻新，安全系数不高。', '短评打分': 1}
{'短评内容': '离归元寺近   价格不高   但是酒店设施也一般', '短评打分': 5}
{'短评内容': '地点不错，交通方便，离归元寺很近，也不是很吵！', '短评打分': 5}
{'短评内容': '这个价位的酒店还算可以吧，近归元寺比较近，服务还不错！', '短评打分': 5}
{'短评内容': '基本可以，就这个价格，比较便宜。缺点就是房间卫生死角太多，早餐不太好', '短评打分': 5}
{'短评内容': '归元寺店总的来说还不错 我住二楼 后面本来是非常幽静的 谁知隔壁院养了一只狼狗 不停叫唤 影响心情 标准间还较新 较干净  ', '短评打分': 3}
{'短评内容': '房间干净，舒适。但是隔音效果不太好。自助早餐比较丰富。', '短评打分': 5}
{'短评内容': '服务很好 但是房间暖气不太够 开了两个小时还是很冷 希望改进 ', '短评打分': 5}
{'短评内容': '去归元寺很近，服务也还行。主要是价格便宜，感觉整个外观也挺好看的。适合要求不高的年轻人居住。', '短评打分': 5}
{'短评内容': '酒店服务态度不错，舒适度在这个价位还算不错。\r\n特别是离归元寺非常近。\r\n非常适合去归元寺游玩的旅客。', '短评打分': 5}
{'短评内容': '房间的环境我特别喜欢，挺干净的，而且离我要去的地方也蛮近的，价格实惠，我挺满意', '短评打分': 3}
{'短评内容': '服务、环境挺好的，很舒服', '短评打分': 5}
{'短评内容': '服务人员很热情，交通方便，我很满意。', '短评打分': 5}
