{'短评内容': '很不错的，干净舒适，安静安全', '短评打分': 5}
{'短评内容': '很不错的，干净舒适，安静安全', '短评打分': 5}
{'短评内容': '早餐不什麼樣', '短评打分': 4}
{'短评内容': '在十字路口，旁边是汽车修理店。环境一般。酒店服务比较头疼  没有时间观念，早餐延迟，赶时间的人慎选', '短评打分': 3}
{'短评内容': '自助早餐很丰盛，带小孩也很合适，房间很宽敞', '短评打分': 5}
{'短评内容': '第一次京东定酒店！结果被飞机了，睡马路', '短评打分': 1}
{'短评内容': '走五分钟就是华发商都，特别方便', '短评打分': 5}
{'短评内容': '走五分钟就是华发商都，特别方便', '短评打分': 5}
{'短评内容': '服务还不错。。旁边好多吃的。。', '短评打分': 5}
{'短评内容': '还算不错，早餐的云吞面孩子很喜欢，另外酒店旁边的夜宵很好生蚝很棒，就是酒店位置有点偏', '短评打分': 5}
{'短评内容': 'The room is a little bit old but ok for the price. Good bed, stuffs didnt speak a good English but they are very helpful. I recommend if you gonna be for one night.', '短评打分': 3}
{'短评内容': '已经是第二次入住了前台服务态度很好几乎是有求必应酒店内部环境很棒，基本的设施设备齐全只是无线网信号不好，但是可以叫前台提供路由器问题就解决了总的来说  我对这家酒店挺满意的下次来还是会住这儿', '短评打分': 5}
{'短评内容': '已入住N次了', '短评打分': 5}
{'短评内容': '这个价格，非常好', '短评打分': 5}
{'短评内容': '订房时没注意有“不可取消”的标签，跟携程沟通不退房，跟酒店沟通也不退房，大家以后订房时要注意这些小陷阱', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '房间环境不错', '短评打分': 5}
{'短评内容': '交通方便，还可以吧', '短评打分': 4}
{'短评内容': '为朋友定的，评价可以', '短评打分': 5}
{'短评内容': '出行方便，酒店没有大亮点，也没有大缺点，属于中规中矩的那种', '短评打分': 5}
{'短评内容': '干净，离格力很近', '短评打分': 5}
{'短评内容': '位置还算好找，出行比较方便，服务态度也不错，只是网速小慢，还有就是床的席梦思不算好，表面太薄，感觉身体直接睡在了弹簧上，挺难受的别的没有了', '短评打分': 5}
{'短评内容': '一般，就是比较吵', '短评打分': 3}
{'短评内容': '环境一般，临街比较吵。性价比适中', '短评打分': 3}
{'短评内容': '酒店里装修及配套设施太差，跟小旅馆比相差无几，收费却跟经济旅馆一样，其他却赶不上。', '短评打分': 1}
{'短评内容': '碧湾房间很大，空间很宽敞，很舒适', '短评打分': 3}
{'短评内容': '酒店靠近马路，单人房间比较大，没有宽带，卫生条件一般', '短评打分': 1}
{'短评内容': '酒店还可以，周边出行蛮方便的，性价比高，房间舒适度很合适', '短评打分': 5}
{'短评内容': '碧湾酒店差', '短评打分': 3}
{'短评内容': '酒店还可以，周边出行挺方便的，房间硬件设施齐全，就是有些陈旧，服务一般。卫生条件比较好，住宿环境还可以', '短评打分': 3}
{'短评内容': '环境不错，就地理位置偏了点~~还是值得推荐的', '短评打分': 5}
{'短评内容': '性价比不错，应该还是可以考虑的，就是位置稍微偏了点', '短评打分': 5}
{'短评内容': '经济实惠，本来觉得不会太好，但是这个价位的酒店还算不错了，挺好', '短评打分': 5}
{'短评内容': '稍旧点', '短评打分': 3}
{'短评内容': '还行吧，对得起这个价格。只是房间设计有些不合理，小房间有个很大的洗手间，但浴缸里却还有头发；大房间有个很小的洗手间，冲凉的时候会把马桶全部弄湿', '短评打分': 3}
{'短评内容': '旁边有一个KTV，比较吵。订了两间房，有一间开了房，但还没入住，结果酒店把房间又给了别人，一开房门居然一个男的在里面，把我吓了一跳。酒店方先是称那间房空调坏了要帮我换一间豪华房，原来是酒店方自己弄错了。豪华房间很大，但洗手间超小，而且洗手间的卫生一般，浴缸里还有头发，设施有点陈旧。', '短评打分': 5}
{'短评内容': '服务好，但是位置一般，因为近路边晚上睡觉比较吵', '短评打分': 5}
