{'短评内容': '还可以还可以', '短评打分': 5}
{'短评内容': '没有去定错了时间', '短评打分': 5}
{'短评内容': '还可以一般般', '短评打分': 5}
{'短评内容': '就在大学城附近，地理位置还可以，进出办事挺方便的..房间设施一般，但是蛮干净的。下个月出差来这里，还会来再住的。', '短评打分': 5}
{'短评内容': '网速有点差，，。。。。。楼下有点小吵，，，，。。还有人塞小卡片。。。。。。。。其他都还可以。？？？？', '短评打分': 5}
{'短评内容': '房间大小还行，有窗，就是宽带太慢了，上传个文件急死人&hellip;&hellip;', '短评打分': 5}
{'短评内容': '性价比高。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '不错 离开会的地方很近', '短评打分': 5}
{'短评内容': '还可以的 就这样', '短评打分': 5}
{'短评内容': '环境有些乱，周边吃喝玩乐很方便，但是房间略小，性价比有些低了，只能凑合住吧，要求比较高的就不要考虑了', '短评打分': 4}
{'短评内容': '酒店天花板好多老鼠，服务态度差', '短评打分': 2}
{'短评内容': '环境还不错，也很干净，周边吃的不少', '短评打分': 5}
{'短评内容': '大床房是真小。。', '短评打分': 4}
{'短评内容': '挺好的 又安静！', '短评打分': 5}
{'短评内容': '周边有点吵，有个ktv唱到半夜比较闹心', '短评打分': 4}
{'短评内容': '~啊啊啊~啊啊啊~啊~啊啊', '短评打分': 3}
