{'descr': '一般般，房间不大', 'star': 5}
{'descr': '莫泰都差不多，可以', 'star': 4}
{'descr': '房间挺大的，也挺好找的。服务员态度挺热情的，距离市中心也不是太远。就是卫生间太差，给我的房间是个淋雨房间，人在里面洗澡都站不直！', 'star': 4}
{'descr': '挺不错的，好的好的', 'star': 5}
{'descr': '附近交通混乱，电瓶车肆无忌惮', 'star': 3}
{'descr': '这个价位还可以', 'star': 4}
{'descr': '交通方便，在路边，但是不吵，房间挺宽敞的，我是住了一圈到这里的。空调下的晾衣服杆子挺实用的，很人性化。下次还会来的。', 'star': 5}
{'descr': '很方便，可惜设备老化了，网络比较慢', 'star': 4}
{'descr': '卫生很差，靠近马路体育馆很吵！', 'star': 2}
{'descr': '还不错', 'star': 5}
{'descr': '好好好高岗斌好好好好好好好好好好好好', 'star': 5}
{'descr': '不错！', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '房间很不错，要比汽车总站那家好很多，床睡的很舒服', 'star': 5}
{'descr': '111111111111111111111111111111111111111111111111111111111111111111111111', 'star': 5}
{'descr': '住了几次了，房间空间很不错，住的挺好。。。', 'star': 5}
{'descr': '相当不错，房间很大很干净。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '酒店大堂很敞亮，住7楼，房间很大，房间窗外是体育馆，灯火通明，煞是好看。卫生间特别是淋浴间很宽敞，服务很好。', 'star': 5}
{'descr': '给人的总体感觉还不错，价格也不是很高！', 'star': 3}
{'descr': '酒店空间比较大，比旁边住过的汉庭宽敞多了，设备也不错。就是卫生间洗澡的地漏不好，水下不去。', 'star': 5}
{'descr': '酒店空间比较大，比旁边住过的汉庭宽敞多了，设备也不错。就是卫生间洗澡的地漏不好，水下不去。', 'star': 5}
{'descr': '酒店的服务态度还是很不错的，进出电梯，所有工作人员都会让顾客先行，一个细微的动作，我很感动。', 'star': 5}
{'descr': '酒店的服务态度还是很不错的，进出电梯，所有工作人员都会让顾客先行，一个细微的动作，我很感动。', 'star': 5}
{'descr': '蛮舒服的，不错。', 'star': 3}
{'descr': '蛮舒服的，不错。', 'star': 3}
{'descr': '盐城泡吧首选', 'star': 3}
{'descr': '盐城泡吧首选', 'star': 3}
{'descr': '房间大挺好', 'star': 3}
{'descr': '房间大挺好', 'star': 3}
{'descr': '第二次入住了，感觉还好。优点：干净，空间比较大，暖和，水龙头很好，洗澡比较舒服；缺点：没有电脑', 'star': 5}
{'descr': '第二次入住了，感觉还好。优点：干净，空间比较大，暖和，水龙头很好，洗澡比较舒服；缺点：没有电脑', 'star': 5}
{'descr': '地点还可以，但是靠近大庆路的房间，隔音不好，实在很吵！\n浴室热水也不够热，下水道还堵住。。。唯一就是便宜。', 'star': 1}
{'descr': '地点还可以，但是靠近大庆路的房间，隔音不好，实在很吵！\n浴室热水也不够热，下水道还堵住。。。唯一就是便宜。', 'star': 1}
