{'短评内容': '干净，大床', '短评打分': 5}
{'短评内容': '非常不错，舒适干净', '短评打分': 5}
{'短评内容': '酒店外面还有一条酒吧街，可惜那个公园要门票。里面有人洗衣服。温泉面积不大，房间里面可以泡，但是放水的时候注意别溢出来，否则流不走那么快。', '短评打分': 5}
{'短评内容': '说实话，贵了点儿，房间里面有个池子，跑水跑不赢呢！温泉面积不大。', '短评打分': 5}
{'短评内容': '环境优美，不错', '短评打分': 5}
{'短评内容': '看评论时心里有些犹豫，不过看价格和环境还是选择了这家。从长沙自驾到福泉山庄，走京珠转平汝高速，不仅车流少，而且路况也特别好，5个多小时就到了。check in时，给了一间1楼刚退的房，说好先去吃完饭再回来房间就会弄好，结果1个半小时回来后，里面一片狼藉，前台的解释是：生意太好了，等了半小时后换到了2楼房间，幸好房间不错，自带温泉池。修整了一下午之后去泡温泉，池子不多，没有想要的鱼池，有点儿失望，而', '短评打分': 5}
{'短评内容': '山庄的环境很棒，周边餐饮也多。酒店是2016年重新装修，非常新，有地暖有热力衣架，房间有独立泡池。旁边有个温泉博物馆，须另外买票，25元/人，可在温泉眼处体验煮鸡蛋。', '短评打分': 5}
{'短评内容': '酒店在2016年重新装修，房间有独立的泡池，旁边是一个温泉博物馆', '短评打分': 5}
{'短评内容': '房间有泡池很舒服，宾馆里的泡池人太多不干净，有股子尿骚味！', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '酒店装修不错，温泉也很赞！可惜房间的电脑不仅仅是坏的，而且要使用还得另外缴费，不解…', '短评打分': 3}
