{'短评内容': '不错的选择，下次再来玩的话也会选择这里。', '短评打分': 4}
{'短评内容': '房间卫生真的是很差，房间连纸巾都没有，客房服务爱答不理，客房服务差，床上还有虫，天花板都快掉下来，对心理健康造成影响，有图有真相！', '短评打分': 2}
{'短评内容': '来南岳住金瑞酒店，离景点近,房间卫生特别不错，清洁也很及时，周边环境也很安静 ，酒店服务人员态度也非常不错，有贵宾的感觉.', '短评打分': 4}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '非常好！', '短评打分': 5}
{'短评内容': '酒店位置交通方便，离南岳大庙和衡山旅游中心非常近，酒店服务员态度热情', '短评打分': 5}
{'短评内容': '总体来说还行，这个酒店就在大庙附近！', '短评打分': 4}
{'短评内容': '靠近南岳，有免费停车场，房间可以！', '短评打分': 3}
{'短评内容': '靠近南岳，有免费停车场，房间可以', '短评打分': 4}
{'短评内容': '环境不错，服务态度也很好，下次有机会还会去', '短评打分': 5}
{'短评内容': '方便，离景区超近。', '短评打分': 4}
{'短评内容': '总体来说还满意，只是有一小插曲，前台同意按这价格给我订房，我以为一样的，结果是228元，后来前台服务员说要我重下订单，钱不是由她们返的，为这订单前台脸都黑了，没了之前的笑脸，把房都换了。唉！高高兴兴去求菩萨，弄一这插曲真心不爽！', '短评打分': 5}
{'短评内容': '环境可以，好贵……………', '短评打分': 3}
{'短评内容': '因为是旺季的原因吧房价贵了', '短评打分': 3}
{'短评内容': '住了一晚，虽然不是太豪华，但还算过的去', '短评打分': 3}
{'短评内容': '就在衡山脚下，交通方便，价格公道。但是老酒店了，稍旧。', '短评打分': 5}
{'短评内容': '离南岳衡山100米左右，但酒店没有一次性牙膏牙刷，设施陈旧，吃饭也不便宜，推荐共和酒店或三星的电信宾馆。', '短评打分': 3}
{'短评内容': '酒店的位置不错，紧挨着大庙，离山门也很近，对不挑剔的游客，就OK啦。', '短评打分': 5}
