{'短评内容': '一进门味道很臭', '短评打分': 2}
{'短评内容': '附近就是大型商场，吃饭购物玩耍都很方便', '短评打分': 5}
{'短评内容': '前台很不耐烦 差点就吵起来了', '短评打分': 3}
{'短评内容': '挺干净的，又实惠', '短评打分': 5}
{'短评内容': '位置有点不上不下，离地铁站和动物园都有一段距离，不过周边环境可以，吃的东西比较多，乐购超市比较大，我们？的房间比较里面，还是很安静的，就是有一点不好，我定的2米的床，实际上只有1.8米，其他总体不错', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '酒店一般吧，价格在这里', '短评打分': 5}
{'短评内容': '房间很干净，服务态度也很好。入住很舒适，不是第一次入住了，很满意，价格也很优惠，总的来说还是很好的。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '酒店还好了，一般了。出差没有办法，只能随便住了，。酒店还好了，一般了。出差没有办法，只能随便住了，。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '好，周边设施齐全，吃喝玩乐。', '短评打分': 5}
{'短评内容': '环境还不错，空间蛮宽敞的，很舒服，价格实惠', '短评打分': 5}
{'短评内容': '很好，下次再惠顾', '短评打分': 5}
{'短评内容': '就在乐购旁边，相对来说是地理位置很棒得了，地铁站下来打个车起步价吧，走走路也就大概20分钟就到了。 周围有乐购，必胜客，巴贝拉，烤肉，鲜芋仙。还是不错的选择', '短评打分': 5}
{'短评内容': '隔音差就算了，给弄到最远的房间，走好久才到，就因为是用手机订的，少点不是钱啊！', '短评打分': 2}
{'短评内容': '挺干净的 服务态度不错', '短评打分': 5}
{'短评内容': '还是不错的。', '短评打分': 3}
{'短评内容': '酒店挺好，环境不错', '短评打分': 5}
