{'短评内容': ' 很有特色的酒店。位置好，服务好。值得推荐。', '短评打分': 5}
{'短评内容': '很好，床大。卫生不错。', '短评打分': 3}
{'短评内容': '在塔尔寺正对面，很方便', '短评打分': 3}
{'短评内容': '酒店正对着塔尔寺，位置非常棒，条件也不错，性价比很高！', '短评打分': 3}
{'短评内容': '酒店位置是一個絕佳的優勢。不過貌似宗喀有兩家店，我們入住的就是塔爾寺對面的，缺點是不能上網。一樓住宿有點潮，清潔程度真的一般般了，勉強接受。涉外賓館地毯都已經破爛掉色了，感覺有些簡陋啊……建議住這家店的人提前跟店家聯繫詢問停車場位置，不然在門口掉頭非常麻煩~', '短评打分': 5}
{'短评内容': '酒店设施太陈旧，不卫生，门锁居然不是卡式的，很不安全，价位也不低', '短评打分': 1}
{'短评内容': '酒店距离塔尔寺很近，早上八点之前可以免费进去~~~~。。。(*^__^*) 嘻嘻……省去了门票。早餐也还算比较可口。', '短评打分': 5}
{'短评内容': '从西宁中心广场拼车到这家宾馆需要15元，时间大概是40分钟。宾馆的门口前面就是塔尔寺了。早上7点半到塔尔寺所有景点都是免费的。可以看见喇嘛们在做早课或者念经。看见有空的喇嘛还可以和他们聊天。晚上在附近的步行街有不少喇嘛三三两两的在餐厅吃饭，他们可以吃肉，不像汉传佛教那样禁肉。坐到他们旁边的位置，他们还邀请一起吃。登上后山，也有喇嘛在山上端坐，不过由于海拔2600米，登山觉得很累。', '短评打分': 5}
{'短评内容': '就在塔尔寺大门对面，非常方便。早餐很不错的，经济实惠。', '短评打分': 5}
{'短评内容': '宾馆离塔尔寺最近，窗户可以看到塔尔寺，早餐卫生。但是房间设施比较陈旧，卫生间新装修过，但是我们入住后被告知锅炉坏了没有热水，到第二天也没有热水，心情郁闷。附近的小酒店80-108元就可以住，干净24小时热水。似乎为宾馆的位置买单了一半的价格', '短评打分': 1}
{'短评内容': '服务卫生方面还好，酒店有停车场，停车也挺方便的，位置也挺好的。', '短评打分': 3}
{'短评内容': '藏式形式的酒店，住的还不错，性价比挺高的。', '短评打分': 5}
{'短评内容': '房间还好，住的还比较舒适，位置挺好，离塔尔寺挺近，游玩挺方便。', '短评打分': 3}
{'短评内容': '外观很一般，内部装修还好，挺有藏族气息的，卫生打扫的还不错，家具设施也还好，住的还算舒适。', '短评打分': 5}
{'短评内容': '外观不是很起眼，内部装修挺有藏族特色，也挺干净卫生的。', '短评打分': 3}
{'短评内容': '位置挺好，环境也不错，干净卫生，性价比挺高。', '短评打分': 5}
{'短评内容': '位置挺好，离塔尔寺挺近，步行可以到达。', '短评打分': 3}
{'短评内容': '酒店有停车的地方，挺方便的，房间类似于炕形式的，设施也还好，住的还算舒适。', '短评打分': 3}
{'短评内容': '酒店还不错， 内部装修的挺好，卫生做得也不错，总体感觉挺舒适。', '短评打分': 5}
{'短评内容': '房间布置的挺有藏族特色的，家具设施还好，住的挺舒适的。', '短评打分': 5}
