{'短评内容': '一般般吧，房间不是很大', '短评打分': 4}
{'短评内容': '评价来晚了，酒店房间干净卫生，非常满意的一次入住', '短评打分': 5}
{'短评内容': '不想再去', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '总之不错，就是早餐差了点', '短评打分': 5}
{'短评内容': '住过最差的酒店', '短评打分': 1}
{'短评内容': '服务员态度很好，交通、附近吃饭很方便。房间卫生舒适。', '短评打分': 4}
{'短评内容': '交通方便，周围吃东西也方便', '短评打分': 4}
{'短评内容': '房间有点小，洗手盆与卫生间、淋浴房分开，淋浴房没有放毛巾和衣服的地方，不太方便早餐很简单。馒头很硬，没什么好吃的，', '短评打分': 4}
{'短评内容': '算是这里最好的了', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '非常好，早餐也不错，好选择。', '短评打分': 5}
{'短评内容': '不错，值得推荐', '短评打分': 5}
{'短评内容': '很好，干净，整洁，服务热情！', '短评打分': 5}
{'短评内容': '房间布局不合理，早餐一般', '短评打分': 3}
