{'短评内容': '还可以房间大', '短评打分': 2}
{'短评内容': '酒店房间很大，服务态度很好，在社会科学院内，相对来说很安静，距三元里地铁口离酒店不到300米，大赞，下次出差还会住这里。', '短评打分': 5}
{'短评内容': '非常非常好房间很大', '短评打分': 5}
{'短评内容': '非常好的酒店', '短评打分': 5}
{'短评内容': '非常好的酒店', '短评打分': 5}
{'短评内容': '非常好的酒店', '短评打分': 5}
{'短评内容': '大大的好评，环境舒适，有种流连忘返的感觉！期待下次旅游入住！', '短评打分': 5}
{'短评内容': '交通方便，环境不错，设备一般，服务态度还可以。', '短评打分': 4}
{'短评内容': '到市中心非常方便，而且性价比好', '短评打分': 5}
{'短评内容': 'CP值佳的選擇', '短评打分': 5}
{'短评内容': '这个酒店是又续住了一天，在社会主义学院大院里面，住宿很安静，空间也很大，酒店服务人员服务质量很好，！', '短评打分': 5}
{'短评内容': '地理位置很好， 离地铁站很近。 早餐略显简单。 总之这个价位也算不错的宾馆。 其他环境还不错， 不过需要注意看才能找到', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店看起来是刚装修完，挺干净的，周边也有吃饭的地方，还算方便', '短评打分': 5}
{'短评内容': '已经是第五次住鸿源酒店，住的是标准双人房，房间很大服务态度好，干净卫生。地理位置较偏了些，房内设施一般，早餐一般，工作需要，下次可能还得来。', '短评打分': 4}
{'短评内容': '干净卫生，服务态度好', '短评打分': 4}
{'短评内容': '周边配套一般，设备老旧，卫生情况良好', '短评打分': 4}
