{'descr': '酒店位置很好，附近可以免费停车', 'star': 5}
{'descr': '特价房。卫生有点差', 'star': 1}
{'descr': '不好', 'star': 2}
{'descr': '不适合带孩子，房间潮湿有异味', 'star': 2}
{'descr': '这可能是北京最差的宾馆了！门窗估计是哪个工地拆来的旧货，大小尺寸不合适，关上和不关区别不大！纱窗千疮百孔，就这样还补了一块20平方厘米的胶布！两扇窗户之间有个空间，蚊子自由出入，真的理解了前台说的平开窗，开灯会招蚊子（床头灯本来就不亮），一股腐朽的房间气味和卫生间传来阵阵恶臭轮番袭击着鼻子！电视是18寸台式（绝对的文物），图像基本是马赛克构成的！灰色的床单，被套，浴巾最好别用了，原来好像是白色！2', 'star': 2}
{'descr': '还可以吧，价格便宜', 'star': 5}
{'descr': '一般，', 'star': 3}
{'descr': '其他还可以，就是房间比预订时的照片看起来小太多，感觉应该不是预订时的那一类房间，不知道是宾馆房间弄错了，还是网上的照片有问题。', 'star': 4}
{'descr': '其他还可以，就是房间比预订时的照片看起来小太多，感觉应该不是预订时的那一类房间，不知道是宾馆房间弄错了，还是网上的照片有问题。', 'star': 4}
{'descr': '老式的宾馆，有点像民宿，房间真的特别小，三角间，放了箱子就没处下脚了。床不大，电视是老式的大屁股电视，卫生间超级让我无语，简直辣眼睛！马桶下水不畅，面盆开裂，我头发长，在里面转个身，头发都能甩墙上，各种不满意！床单破了个洞，被单有点旧，完全不敢皮肤裸露直接接触……还有拖鞋，不是一次性的，竟然是塑料的，还是破的！和照片上完全不一样！提前退了，不会再去了。', 'star': 2}
{'descr': '位置很方便，在附近逛逛还是挺不错的，距离奥体近', 'star': 3}
{'descr': '不小心预定了京硕酒店。然后立刻联系宾馆和艺龙网。后来他们互相推卸责任。我到宾馆说理 没想前台服务极差。我说 让和艺龙网协商一下。前台说 看我态度。 后来我要经理。她说经理不在 她也不管。说要是等就让我等几天！真是让人愤怒', 'star': 3}
{'descr': '第二次了！不错～！！！推荐给大家', 'star': 3}
{'descr': '位置很好，出地铁站没走多远就到了 公交车站也不远  周围各种设施都比较齐全，饭店也挺多  感觉设施有点陈旧，但是还比较干净整洁  这个位置来说性价比算是比较高了  ', 'star': 4}
{'descr': '住过一次就不想住第二次了', 'star': 1}
{'descr': '单人间，虽不带独立卫生间，但是其他都还好，很安静，对得起这个价格了！', 'star': 5}
{'descr': '还可以  服务挺周到的  睡着觉也会来打扫  挺客气', 'star': 5}
{'descr': '位置可以，感觉不是正规酒店，管理方面比较落后', 'star': 1}
{'descr': '房间有点小,设施有点久,这么多钱不太值啊', 'star': 3}
{'descr': '一般的环境，公共浴室。', 'star': 3}
{'descr': '房间比较小,但是还比较干净', 'star': 3}
{'descr': '198的房间有窗户 环境还可以\n距离惠新西街北口地铁站比较近  交通还算方便 距离需要办事的地点很近 ', 'star': 5}
{'descr': '房间很干净，设施齐全，就是有点儿小，其他的都好，给予好评', 'star': 5}
{'descr': '房间有网，服务态度好，房间干净整洁，交通方便，附近有小吃', 'star': 5}
{'descr': '离鸟巢水立方挺近，看完演唱会回来不用坐车，走着就可以回来，很方便！', 'star': 5}
{'descr': '酒店在小区里，房间设施齐全，价钱也不贵，附近早点和各种饭店，出门做公交要走10分钟的样子，有窗户，但房间还是很闷。性价比还是可以。', 'star': 5}
{'descr': '价格挺便宜的，就是房间小点，但基本设施都有，交通也方便，总的来说还行', 'star': 5}
{'descr': '还行，离鸟巢水立方挺近，离公交地铁也很近，价格也不是很贵', 'star': 5}
{'descr': '离鸟巢很近，走路15分钟即到。但宾馆卫生一般，厕所有一股霉味。热水器的水也不热的。不会再选择入住了。', 'star': 1}
{'descr': '给人一种回家的感觉，很温馨，服务周到热情，很喜欢', 'star': 5}
{'descr': '房间还算干净，服务也挺好，就是电脑房少了一点，建议多配几间电脑房', 'star': 5}
{'descr': '房间挺好的，设施齐全，阳光充足，价钱也不贵，出来旅游的人住很合适，强雷推荐！！1', 'star': 5}
{'descr': '不错，位置好，距离北京鸟巢水立方很近，乘坐地铁方便，很适合来京旅游的游客！ 干净卫生，价格合理，比较热情、到位。周边配套也可以。', 'star': 5}
{'descr': '房间很干净，设施齐全，前台客房服务也很热情，附近还有各种小吃，交通也很方便，简直就是出门旅游的首选酒店，下次还来住', 'star': 5}
{'descr': '性价比很高。房间打扫的挺干净，距离北京鸟巢水立方很近，交通方便，老板人不错服务好。强烈推荐！', 'star': 5}
{'descr': '有点贵，性价比不高，房间太小，不值这个价', 'star': 1}
{'descr': '房间还行，就是有点小。', 'star': 3}
{'descr': '不推荐，已经上图，不解释。不推荐，已经上图，不解释。不推荐，已经上图，不解释。', 'star': 1}
{'descr': '距离北京鸟巢水立方很近，乘坐地铁方便，很适合来京旅游的游客！', 'star': 5}
{'descr': '位置不错，距鸟巢、科技馆打车10元即到，房间很小，晚上有些吵，服务还行。', 'star': 1}
{'descr': '房间还算干净，就是有点小，特价的没有独立卫生间，位置不是太好找。', 'star': 3}
{'descr': '不错，交通方便。干净，吃饭很方便离亚运村很近\n', 'star': 5}
{'descr': 'too small, and room smelly..................,,,,,,,,,', 'star': 1}
{'descr': '主要是位置好，离鸟巢进，看球回来方便，其他的一般。', 'star': 5}
{'descr': '老式国营酒店的感觉，房间很小，卫生间龙头是坏地，隔音很差，环境差！', 'star': 1}
{'descr': '还不错，干净整洁，但是单人间真的太小太小了。。三人间还比较靠谱一点', 'star': 5}
{'descr': '价位合适，位置很好，靠近鸟巢，交通比较方便。周边配套也可以。', 'star': 5}
{'descr': '非常好', 'star': 3}
{'descr': ' 条件好，服务好，强烈推荐！', 'star': 3}
{'descr': '性价比不错，交通不是特别方便！18点以后做了信用卡担保！', 'star': 5}
{'descr': '地方有点难找，问路一般问不到。服务还可以，比较热情、到位。', 'star': 5}
{'descr': '很不错 服务态度好 房间也很整洁 性价比高', 'star': 5}
{'descr': '还可以，单人间比较小，卫生还可以，老板人不错，标准间可以便宜还比较划算  ', 'star': 3}
{'descr': '设备挺全，服务也热情，但卫生条件不是很好，有大虫子', 'star': 3}
{'descr': '还不错，比较实惠。就是没有单独卫生间，网络是无线的，单人间比较小连个放包的地方都没得，后来换了个大点的。', 'star': 5}
{'descr': '这家宾馆非常干净整洁，价格适中。但比较难找，建议宾馆把地点描述的更加清楚易懂。', 'star': 5}
{'descr': '设施很简单，网线有问题，窗钩也坏了，大床是两小床拼的，还是应该住连锁店。', 'star': 3}
{'descr': '服务比较到位，地理位置不错，交通方便。', 'star': 3}
{'descr': '离国际会议中心比较近，办事方便，就是房间小了点！', 'star': 5}
{'descr': '酒店位置不错，周边出行方便，房间不是很大，硬件设施齐全，网速较快，卫生条件还是挺好的', 'star': 5}
{'descr': '房间打扫的挺干净，通风效果蛮好的，基础设施很齐全，但有些陈旧，其他都还好', 'star': 3}
{'descr': '房间收拾的挺干净，通风效果挺好，基本设施都有，就是有些陈旧，总体感觉还好。', 'star': 3}
{'descr': '酒店位置不错，挺适合出差旅游人士选择的。', 'star': 5}
{'descr': '房间不大，设施挺齐全，宽带能上网，感觉挺不错。', 'star': 3}
{'descr': '客房还算干净舒适，有的还配备电脑，使用挺方便的。', 'star': 3}
{'descr': '酒店规模不大，卫生和服务还好，位置很好，交通挺便捷的。', 'star': 5}
{'descr': '环境还好，挺安静的，设施简单了点，位置挺好，出行挺方便。', 'star': 3}
{'descr': '房间干净整洁，住的挺舒适的。位置也不错，出行挺方便。', 'star': 5}
{'descr': '服务态度挺热情的，位置挺好，交通挺便利，离鸟巢也挺近，游玩挺方便。', 'star': 5}
