{'descr': '。。。。。。。。‘’。。。。。。。。。。。一般般', 'star': 5}
{'descr': '不错，离三十中学很近', 'star': 5}
{'descr': '服务态度好', 'star': 4}
{'descr': '还可以吧！', 'star': 5}
{'descr': '，睡的很舒服，卫生也很好，早晨直接坐酒店大巴去机场，特别方便，下次玩还会选择这种经济方便舒适的酒店！', 'star': 5}
{'descr': '还不错，有早餐', 'star': 5}
{'descr': '还好吧。就是房间没有想象中的大', 'star': 5}
{'descr': '很不错。很干净', 'star': 5}
{'descr': '很好，交通方便，离重庆路很近，周围吃的挺多的，环境还好。', 'star': 5}
{'descr': '方便', 'star': 5}
{'descr': '环境不错，位置也比较好找，服务很周到', 'star': 5}
{'descr': '满意', 'star': 5}
{'descr': '温馨舒适满意', 'star': 5}
{'descr': '挺好的一次入住', 'star': 5}
{'descr': '方便，没有电脑', 'star': 4}
{'descr': '如家快捷酒店(长春人民广场锦水路店) 挺好的 服务热情', 'star': 4}
{'descr': '特别好', 'star': 5}
{'descr': '不错', 'star': 4}
{'descr': '不错', 'star': 3}
{'descr': '就是位置难找点，房间安静，价钱便宜，适合住宿', 'star': 4}
{'descr': '干净卫生房间还可以，吃饭也方便就隔壁也可吃。但位置略偏不好找。', 'star': 5}
{'descr': '价格实惠，安静，但房价光线不好', 'star': 5}
{'descr': '服务都还好，就是冬天住得有点冷', 'star': 4}
{'descr': '提前在网上订的，不需要再多跑一趟。价格也很低，比会员还要便宜将近二十块钱。如家的服务也很好。总之我很满意，对京东商城更是满意。', 'star': 5}
{'descr': '不错不错不错，经济实惠', 'star': 5}
{'descr': '不错的地理位置，价格实惠，离长春繁华的地段重庆路很近，房间很满意！', 'star': 3}
{'descr': '环境很好  前台态度也很好   很适合旅行爱好者入住', 'star': 5}
{'descr': '酒店不错，交通蛮方便，地理位置也不错！办事挺方便的！', 'star': 5}
{'descr': '酒店都很不错，就是不太好找。附近超市，商场都很多，万达广场走着就到了', 'star': 5}
{'descr': '感觉很好，很不错的好店。', 'star': 3}
{'descr': '物美价廉。', 'star': 3}
{'descr': '服务态度很好', 'star': 3}
{'descr': '玻璃都不干净。屋子小，暗。。。。。。。。', 'star': 1}
{'descr': '房间很不错就是水不热', 'star': 3}
{'descr': '离重庆路非常近，交通便利，酒店内部非常干净，服务态度也很好，而且价格还非常便宜，推荐。', 'star': 5}
{'descr': '住了五天了，正好朋友来长春，所以推荐了一下，感觉还可以吧！', 'star': 5}
{'descr': '总体来说还是不错的，这个位置应该是商业圈吧，出行购物什么的挺方便的！挺安静，服务态度也很好！', 'star': 5}
{'descr': '总体来说还不错吧，干净，卫生，服务热情，就是房间没有说的20平，约15平吧，另电视太老点了，其他的还行，吃饭出行都挺方便的！', 'star': 5}
{'descr': '如家现在真是不行啊，房内简陋不说，看着那25寸老电视就觉得自己回到了90年代初，修了两次才修好。两人标间网线才一根，还不能拉扯。。比起前天住的同价位的汉庭真是被甩出2条街去。长春住了两家如家，全一个样', 'star': 3}
{'descr': '很好！半月内第二次入住、', 'star': 3}
{'descr': '还好，就是有几只小强！', 'star': 3}
{'descr': '很满意！房间很干净、服务态度很好！', 'star': 3}
{'descr': '离重庆路很近，吃饭购物什么的很方便，周围蛮安静，服务么，跟别的如家差差不多', 'star': 5}
{'descr': '酒店太冷，而且噪音太大，不太满意！', 'star': 3}
{'descr': '还不错，挺干净卫生的，环境也不错，交通方便', 'star': 5}
{'descr': '距离地铁站非常近，房间也很干净，就是总有卡片塞进来', 'star': 5}
{'descr': '从虹桥机场打车27块就到了，离地铁3、4和10号线很近，离交大安泰学院步行10分钟的路程，有网线电视也可以点播热水一直有，就是靠马路有点吵', 'star': 5}
{'descr': '隔音太差了，而且房间很小。不过服务人员态度很好。', 'star': 1}
{'descr': '＋还不错，就是水不是太热！其他都还好！呵呵！', 'star': 3}
{'descr': '不错哦，干净整齐，就是有一点不太隔音。这个价格还可以啦。', 'star': 5}
{'descr': '位置不错，离虹桥路地铁站走路几分钟。在安顺路和凯旋路交叉口附近，附近饭店、便利店、网吧等等生活非常方便，我入住的时候本来定的是特价房，但是由于上个定特价房的房客一直没有退房，前台用特价房的价格安排了个标准房让我入住的，我连住了3天，好赚便宜，呵呵，房间宽敞，窗户明亮，很满意。', 'star': 5}
{'descr': '。还可以吧。就是空调声有点大。', 'star': 3}
{'descr': '酒店环境还可以，但前台服务人员态度很好，很热心～  ', 'star': 5}
{'descr': '不错，虽然小点，但还是很温馨的，附近也比较方便，距离地铁站很近，距离徐家汇也非常近，服务员态度比较客气', 'star': 5}
{'descr': '说是说商务大床房，其实设备很一般，墙角也没打扫干净，隔音效果极差', 'star': 5}
{'descr': '服务好，房间还帮升级了，网络问题也在帮忙积极解决：）', 'star': 3}
{'descr': '价格较合理，房间空间还可以，除了没有窗户，不过临时住下还是可以接受的~~', 'star': 5}
{'descr': '干净卫生，安静，交通便利靠近地铁站。服务态度好。', 'star': 5}
{'descr': '因为当天开车下错了路口,浪费了很多时间,晚上八点多才赶到莫泰,酒店的位置在一单行线,开车去的话会在附近的小区提供免费停位...感觉实际的房间没有图片上的大,而且特价大床房房间里有点墙柱的...因为当天晚到特价房已满,还说给我们升级到普通的大床房,房间是在三楼还要爬几层楼梯,感觉房间不是很清爽...不过有窗户...空气较好...住了一晚就结帐换酒店了....总体一般吧...后来住的七天感觉比这里干净', 'star': 1}
{'descr': '交通便利，服务优良，可房间太小，床铺太窄，早晨有人在练嗓，应该是隔壁的居民，不含早餐', 'star': 1}
{'descr': '价格适中，', 'star': 3}
{'descr': '位置和卫生条件还不错，离地铁站和东华大学的侧面门很近。', 'star': 5}
{'descr': '莫泰挺好 就是这家店前台不行 到店说没有预订个记录 明明前一晚才确认了2次  等了半小时才办理入住 到房间一看 阿姨还在打扫 隔音不好', 'star': 5}
{'descr': '性价比不错, 位置也还好, 房间大小也可以.这是第三回来住了', 'star': 5}
{'descr': '\n位置不错，离地铁站和高架都比较近，房间比较干净', 'star': 3}
{'descr': '还不错。。继续居住。。定定看特价大床房。。', 'star': 5}
{'descr': '好..........性价比高。。。。。', 'star': 5}
{'descr': '真是一个差字形容，卫生间的脚印都没淸理干净，桌上有灰尘，毛巾发黄，还有可能是如家通病热水不热，本要住三天，第二天立即更换酒店', 'star': 3}
{'descr': '就是小了点，但是对得起这个价格，位置也不错，出行方便。', 'star': 5}
{'descr': '宾馆空间很大，就是稍微有点陈旧的感觉，尤其是电视机', 'star': 3}
{'descr': '出行比较方便，晚上也蛮安静的，离虹桥路地铁站近。', 'star': 5}
{'descr': '第三次住了,酒店干净,安静,交通很方便周围有地铁十号线地铁四号.', 'star': 5}
{'descr': ' 地段很好 150M外就是老昌春饼', 'star': 3}
{'descr': '交通便利。环境挺好。房间挺大的。服务也不错。出行就选如家', 'star': 5}
{'descr': '这家店的服务还是很好的，离重庆路卓展不算远，在市宾馆的南门，交通还算便利，唯一的缺点是不太暖和，空调是好使的，就是温度一般', 'star': 5}
