{'短评内容': '没有早餐的，位置不错', '短评打分': 5}
{'短评内容': '不错的，房间大，环境不错，妹纸漂亮，漂亮，漂亮', '短评打分': 5}
{'短评内容': '都不错，就是晚上多蚊子。', '短评打分': 5}
{'短评内容': '不错的，环境不错。', '短评打分': 5}
{'短评内容': '适合出差', '短评打分': 5}
{'短评内容': '卫浴设施不好，毛巾品质较差。', '短评打分': 3}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '周边环境一般，在马路边，没有停车场，我只能停到另一家酒店的停车场。', '短评打分': 4}
{'短评内容': '位置不错挺方便的，房间干净卫生，前台服务还好，周边交通方便，吃的也挺多的喜欢别的朋友可以选择，下次还会入住！', '短评打分': 5}
{'短评内容': '不错，不错。', '短评打分': 5}
{'短评内容': '房间大灯光柔和、床又舒服！我已经入住好多次啦~还有很喜欢酒店的墙绘。。。', '短评打分': 4}
{'短评内容': '干净，位置便利，值得推荐！', '短评打分': 3}
{'短评内容': '房间挺大的，安静，有台球娱乐', '短评打分': 3}
{'短评内容': '非常不错，性价比真心高，空间大', '短评打分': 3}
{'短评内容': '总体还可以吧。。毛巾什么的不用检查的。。破了还放在那里。。电视也很模糊。。房间比较大。。这个是不错的。。', '短评打分': 5}
{'短评内容': '临街太吵了， 房间有蚊子最让人手不了。 服务还可以， ', '短评打分': 1}
{'短评内容': '干净卫生，便宜。网络不怎么给力。没有早餐提供不太爽。', '短评打分': 5}
{'短评内容': '地方很干淨.很舒服.很好', '短评打分': 3}
{'短评内容': '一楼，二楼还在搞整修，吵死了。就一个电梯还出故障，你能忍受中途突然停电么，想要活命的话，就不要再去住了。反正我是怕了。', '短评打分': 1}
