{'短评内容': ' 每次来尽量住这里，交通方便。楼下有吃饭的上岛和足浴。', '短评打分': 3}
{'短评内容': '离车站很近，交通比较方便，服务不错，值得推荐', '短评打分': 5}
{'短评内容': '房间还可以，卫生没有以前好了，前台服务挺好的', '短评打分': 5}
{'短评内容': '订的家庭房，不错，地理位置很好，靠步行街很近！', '短评打分': 5}
{'短评内容': '姑環境不錯，旁邊就是汽車站，交通便捷，前台服務也好', '短评打分': 5}
{'短评内容': '位置很好，就是价格有点高了，周边还行。。。。', '短评打分': 5}
{'短评内容': '，房间异味太重，无线网络差，服务还好', '短评打分': 3}
{'短评内容': ' 每次基本住这家，房间大，卫生尚可，略有异味。', '短评打分': 3}
{'短评内容': '床单脏的。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': ' 靠港城车站，交通方便。', '短评打分': 3}
{'短评内容': '这家来过很多次了 很不错 就在市中心 很好 服务也很好', '短评打分': 5}
{'短评内容': '我入住的时候，酒店还停电，房间里有小强！', '短评打分': 1}
{'短评内容': '环境一般  价格便宜 有点像情人旅馆 还有房间有点冷。总体来说还算可以', '短评打分': 5}
{'短评内容': '房间挺大的，卫生间如果隔起来就好了', '短评打分': 3}
{'短评内容': '还不错了，在张家港，装修有点老，过于简单了点', '短评打分': 5}
{'短评内容': '酒店很一般，床和床品都很一般，墙角破烂，看着恶心。', '短评打分': 1}
{'短评内容': '性价比比较好，但服务一般化。要注意提升服务质量。', '短评打分': 5}
{'短评内容': '小但干净，但无窗不可。设备较齐全，性价比比较好。', '短评打分': 5}
{'短评内容': '调换一间大床房间，设施齐全，整洁干净，因窗户临街，有噪音干扰，总体感觉还不错，赞一个', '短评打分': 5}
{'短评内容': '特价房面积虽小些，设施齐全，环境整洁安静，赞一个', '短评打分': 5}
{'短评内容': '还行，已经有了不小的改善，还要继续努力！', '短评打分': 5}
{'短评内容': '酒店还算干净，楼下就有和上岛咖啡，可以签单在酒店房费中，也可以送餐。美中不足房间有点味，可能这个季节，南方都有点潮吧', '短评打分': 5}
{'短评内容': '入住特价房，房间是小了点，进了有点闷开空调就好了，总体是不错的选择', '短评打分': 3}
{'短评内容': '真遗憾，空调是坏的，维修人员来修过，没有修好，一晚冻死了', '短评打分': 5}
{'短评内容': '果然如之前所说，是圆床，就是没给升级成商务滴，但后来看到商务房就不是圆床了，想想也算了吧。这个房间不像商务标房配备电子称的，然后觉得被子满薄的，空调开着暖气不给力，冷了一晚上，总的还行吧，一进门，房间倒是满香的', '短评打分': 5}
{'短评内容': '那天去的时候，免费升级成了商务标准房，没想到房间设施都有，连电吹风每个房间都配备了，而且还有电脑，这个给力，地理位置也不错，一边港城汽车站，一边是步行街，不错不错啊', '短评打分': 5}
{'短评内容': '性价比还不错，停车位有点紧张。。。。。。。。。。。', '短评打分': 5}
{'短评内容': ' 还不错,干净', '短评打分': 3}
{'短评内容': '特价房价格便宜，但是没有窗户，太闷！但是还位置不错，离步行街只有四五分钟路程。', '短评打分': 5}
{'短评内容': '圆床很有风情，只是房间里烟味太浓，有点年久失修的味道', '短评打分': 1}
{'短评内容': '靠马路的房间有点吵。楼下停车位不够。管理还行。', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '这是我入住过的最脏的连锁分店，住的还是商务大床房，第一个房间墙裙子下面都霉变，隔音不好，换了个房间，等到晚上准备睡觉发现传单下面有黑色痕迹，打开一看，我的妈，长短头发污渍。吓死人。感觉床垫倒还干净，裹着被子凑合一晚上吧。不是临近长途站，第二天一早就走，我坚决换地方。厕所不知道怎么设计的门子，门子一开就挡住了洗手台，另一面却特别空阔什么也没有，不关门，别想洗手。厕所地面太滑，容易滑倒。有客人不敢如厕', '短评打分': 1}
{'短评内容': '大圆床比较有特色，地方也还算好，就是价格有点小贵。', '短评打分': 5}
{'短评内容': '很好的酒店，房间比较大，房间还是很干净的，值得推荐。', '短评打分': 5}
{'短评内容': '对我个人而言，这个价位对应这样的酒店，不会住第二次！', '短评打分': 1}
{'短评内容': '还行，位置好', '短评打分': 3}
{'短评内容': '除了位置好，其他没什么', '短评打分': 5}
{'短评内容': '位置还不错，酒店房间有点小，浴室没窗帘', '短评打分': 3}
{'短评内容': '交通很方便 服务也好 下次还会选择', '短评打分': 5}
{'短评内容': '客房服务员态度很好，有问必答，房间也蛮安静的，就是桌上的热水壶要注意清洁，没敢烧水喝。下次还会再住。\r\n大门推着有点累，呵呵，原以为是感应式的', '短评打分': 5}
{'短评内容': '新点,都很好', '短评打分': 5}
{'短评内容': '位置比较好，出行方便。', '短评打分': 1}
{'短评内容': '酒店从环境，地段，价位来讲都是很不错的，呵呵，喜欢那的圆床。', '短评打分': 5}
{'短评内容': '位置不错，旁边就是车站，离步行街也很近 住的都还不错！', '短评打分': 5}
{'短评内容': '还好，就是不明白刚装修新开店的，为什么墙角就出现脱皮水漏现象，还有卫生间排水排不出去，不知道其他房间会不会那样', '短评打分': 5}
{'短评内容': '一切都不错，只是电梯只能通到6楼，住在七楼的还要爬楼梯，好像楼梯间还没有灯。', '短评打分': 5}
{'短评内容': '环境不错。', '短评打分': 3}
{'短评内容': '整体感觉不错', '短评打分': 5}
