{'短评内容': '最近楼外在装修，比较吵', '短评打分': 4}
{'短评内容': '特特特特特特特特好啊', '短评打分': 5}
{'短评内容': '总体还行，卫生间小了点。', '短评打分': 4}
{'短评内容': '酒店很干净，床垫很柔软。房间里的有食品和饮料，挺不错的。最重要的是前台的美女和餐厅的阿姨的服务态度非常的好,也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。值得推荐的好酒店。', '短评打分': 5}
{'短评内容': '很好啊很强大！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错，环境优美，很干净。如果能和京东合作免去押金那就更好了。', '短评打分': 5}
{'短评内容': '房间很闷 而且也没有看到套房里的浴缸 睡了一晚上 第二天起来次的皮疼 过两天发现身上都烂了 床单不舒服', '短评打分': 5}
{'短评内容': '月末入住经理答应的事月初不算数了，别的都满分', '短评打分': 5}
{'短评内容': '蛮便宜，出行方便', '短评打分': 4}
{'短评内容': '挺好，挺卫生的', '短评打分': 5}
{'短评内容': '卫生条件不错', '短评打分': 4}
{'短评内容': '酒店环境不错 ', '短评打分': 5}
{'短评内容': '卫生好，环境好，服务好，设施好。', '短评打分': 4}
{'短评内容': '卫生好，环境好，服务好，设施好。', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '棒棒哒', '短评打分': 5}
{'短评内容': '还好，挺卫生的，就是晚上会有骚扰电话，交通也挺便利', '短评打分': 5}
{'短评内容': '酒店设施不错，交通方便，服务质量态度都很好', '短评打分': 3}
{'短评内容': '位置还不错，交通便利，选的商务豪华标间，房价微微有些高，早餐能吃饱，质量……你懂的。', '短评打分': 5}
{'短评内容': '还行吧，就是有点小', '短评打分': 3}
{'短评内容': '整体还是凑合的，位置比较不错，算是新市区中心，吃饭购物方便，附带的早餐能吃饱，还算满意', '短评打分': 3}
{'短评内容': '房间隔音太差，隔壁聊天到深夜都听的很清楚，周围车来车往也吵的厉害。', '短评打分': 1}
{'短评内容': '环境很好，性价比合适。酒店位于乌鲁木齐繁华CBD中心。值得推荐', '短评打分': 5}
{'短评内容': '成功入住，感觉还好，比较干净，方便，值得一住。北京路算是主道了，对面就有购物广场和娱乐场所，吃饭也方便。用得来说，还是不错的', '短评打分': 3}
{'短评内容': '酒店很干净，就是隔音效果不太好，外面正常说话都能听得到！', '短评打分': 5}
{'短评内容': '酒店位置不错，周边超市、餐饮密布，甚是方便。房间偏小，独立卫浴特别小，个子稍大洗澡转不过来身。', '短评打分': 5}
{'短评内容': '房间太小，有点吵，很难打到车。。。。。。。。\n', '短评打分': 5}
{'短评内容': '酒店环境很好，又是在市中心，总之一句话值得推荐！', '短评打分': 5}
{'短评内容': '总体来说服务还不错，性价比也可以,位置和房间都不错的', '短评打分': 5}
{'短评内容': '虽然靠近路边晚上有点吵，但关上窗户后可以忽略不计。服务温馨，周到。', '短评打分': 5}
