{'descr': '房间小，电视小，双人房是架子床。', 'star': 2}
{'descr': '好评好评好评好评好评好评好评好评', 'star': 5}
{'descr': '好评好评好评好评好评好评好评好评', 'star': 5}
{'descr': '十五字十五字十五字十五字十五字', 'star': 5}
{'descr': 'NICE，不错的店哦~价格实惠。虽然不在五角场内，但是从五角场步行10-15分钟就到了，感觉棒棒哒！！！', 'star': 5}
{'descr': '还不错。。。。。。。。。。。。', 'star': 4}
{'descr': '空间太小', 'star': 4}
{'descr': '还好', 'star': 4}
{'descr': '不好', 'star': 1}
{'descr': '房子挺小的！', 'star': 4}
{'descr': '长期来说是好选择！', 'star': 5}
{'descr': '这个价格住这样房子已经很满意了，毕竟在上海这种地方。', 'star': 5}
{'descr': '这个价格在上海已经不好找了，适合我们这样不挑剔的，只要住一晚就行了的', 'star': 5}
{'descr': '环境、服务都差。给3分', 'star': 4}
{'descr': '房间太潮，一开门就有一股霉味，而且枕头套都没有，叫服务员换说没有了，后来只是盖 一床床单在枕头上，凑合过了一晚上，抽风的开了一晚上，一会不开就感觉闷，这个价钱也只有这样了', 'star': 3}
{'descr': '性价比很高，服务态度也很好，还是值得一住的\n', 'star': 5}
{'descr': '不错，听干净，就是房间有点小,价格还可以，可以上网，麻雀虽小，五脏俱全', 'star': 5}
{'descr': '总体还可以.但隔音实在太差.一晚睡不着.', 'star': 1}
{'descr': '虽然小了点，还挺干净的，主要性价比高', 'star': 3}
{'descr': '还可以。比较安静，外窗；只是面积比较小，没有电话。。', 'star': 5}
{'descr': '超级干净，很有艺术气息，挺适合住人的，超出了我的预期，虽然小，但五脏俱全～值得一住', 'star': 5}
{'descr': '经济实惠，客人是第二次入住了,什么样的价位就什么样的服务', 'star': 5}
{'descr': '距离机场远啊，挺简单的房间，适合短住，总体上来说还是不错的把', 'star': 5}
{'descr': '不错，不过小了一点。挺安静的，就是隔音效果不那么好', 'star': 5}
{'descr': '价格很便宜，不过环境很一般，隔壁小破孩吵死人了，隔音很差，还有一次性用品很不卫生 特别毛巾有霉斑', 'star': 1}
{'descr': '房间还可以，就是有点小，不过挺便宜的。', 'star': 3}
{'descr': '象小家一样的温馨，经济实惠。建议增加洗浴物品置物架，更方便住客！', 'star': 5}
