{'短评内容': '位置很好，出行方便', '短评打分': 5}
{'短评内容': '房间小，对不起这个价格……', '短评打分': 4}
{'短评内容': '太垃圾了，真心的，吃的不好，住的吵闹！！', '短评打分': 1}
{'短评内容': '挺方便一地儿', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '还行房间太小', '短评打分': 4}
{'短评内容': '一般一般一般般 难评难评难难评', '短评打分': 3}
{'短评内容': '酒店在市中心，较小，电梯比较慢。民族特色鲜明，大堂装饰华丽。兰州交通太差，堵不堪言，还限行。自驾的客人需注意时间段，避免耽误行程。离店时巧遇藏胞婚礼，中西结合，大开眼界。', '短评打分': 4}
{'短评内容': '朋友反咉条件一般，服务也一般，值得提升的空间大！停车场还要收费，有些不可思议，兰州的酒店服务业提升的空间太多了！', '短评打分': 4}
{'短评内容': '酒店不错，风格独特，设计精巧，藏氏风格，珍藏着美得享受和好的记忆。', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '挺好的不错', '短评打分': 4}
{'短评内容': '位置在市中心，出门比较方便，早餐一般', '短评打分': 4}
{'短评内容': '非常好，藏式宫殿，富丽堂煌，服务员训练有素，彬彬有礼，很满意的。', '短评打分': 5}
{'短评内容': '出差住这里', '短评打分': 5}
{'短评内容': '藏式酒店，早餐特别丰富，交通便利，值得推荐！', '短评打分': 5}
{'短评内容': '酒店大堂装修有特色，地理位置优越，交通方便，离正宁路小吃街也近，房间也不错，早餐要是能丰盛些就更好了。', '短评打分': 5}
